Date,rate_QCOM_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence
2023-07-14,114.22,44.74,69.48,34.59,-1.85
2023-07-28,125.91,46.58,79.33,38.8,6.33
2023-08-11,100.78,43.86,56.92,29.21,-5.38
2023-08-25,93.53,42.51,51.02,26.69,-12.11
2023-09-11,93.47,44.56,48.91,25.78,-3.43
2023-09-25,93.72,41.06,52.66,27.39,0.7
2023-10-09,96.03,40.69,55.34,28.53,2.75
2023-10-23,90.73,37.86,52.87,27.48,0.09
2023-11-06,109.77,41.47,68.3,34.08,5.55
2023-11-20,125.96,45.95,80.01,39.09,11.61
2023-12-05,128.06,46.52,81.54,39.75,5.67
2023-12-19,149.15,51.35,97.8,46.7,7.61
2024-01-04,137.22,49.07,88.15,42.58,2.83
2024-01-19,163.9,52.67,111.23,52.45,5.75
2024-02-02,146.55,55.53,91.02,43.8,1.22
2024-02-16,165.14,56.77,108.37,51.23,-1.22
2024-03-04,188.58,59.84,128.74,59.95,16.15
2024-03-18,189.19,60.38,128.81,59.98,8.75
2024-04-02,196.15,61.42,134.73,62.51,2.56
2024-04-16,191.99,57.74,134.25,62.3,2.32
2024-04-30,187.38,57.39,129.99,60.48,-2.03
2024-05-14,226.45,62.49,163.96,75.02,12.72
2024-05-29,259.05,63.18,195.87,88.67,28.19
2024-06-12,271.1,66.8,204.3,92.28,17.26
2024-06-27,236.9,68.42,168.48,76.95,-11.72
2024-07-12,249.2,71.2,178.0,81.03,-11.25
2024-07-26,211.38,67.5,143.88,66.42,-10.53
2024-08-09,185.06,64.77,120.29,56.33,-24.7
