Date,rate_SYK_5D,rate_VOO_20D
2016-01,3.8525,0.7475
2016-02,-0.3804,0.3631
2016-03,6.8936,6.1635
2016-04,6.847,4.8532
2016-05,7.2886,5.5092
2016-06,14.502,4.9516
2016-07,9.2196,8.0529
2016-08,7.7156,7.2728
2016-09,7.9667,6.525
2016-10,6.22,4.0384
2016-11,4.1597,7.3996
2016-12,9.8937,9.0221
2017-01,12.5188,10.0556
2017-02,16.0822,13.4646
2017-03,18.0964,12.6934
2017-04,21.1046,13.0265
2017-05,25.7109,13.8264
2017-06,21.0072,13.7461
2017-07,26.8973,15.2839
2017-08,20.7165,14.8547
2017-09,20.6113,16.4705
2017-10,30.4303,18.391
2017-11,30.0918,21.1572
2017-12,28.3144,21.8357
2018-01,34.9486,27.5767
2018-02,28.0227,19.4887
2018-03,23.9422,15.9328
2018-04,28.33,14.9578
2018-05,30.8348,17.1859
2018-06,26.2975,17.444
2018-07,21.2233,20.9505
2018-08,25.0457,24.1299
2018-09,30.6966,24.1209
2018-10,21.3881,14.1084
2018-11,27.3503,15.0224
2018-12,13.5479,4.4886
2019-01,28.1769,12.5608
2019-02,35.2727,15.8612
2019-03,41.037,17.612
2019-04,34.0721,21.8639
2019-05,29.1861,16.0646
2019-06,44.4096,19.9808
2019-07,46.3002,21.2252
2019-08,44.6485,18.3328
2019-09,39.4768,20.1882
2019-10,38.3808,20.3259
2019-11,30.3565,24.2116
2019-12,33.3304,27.349
2020-01,33.1301,26.2815
2020-02,26.2055,19.8213
2020-03,23.2589,15.7478
2020-04,38.4387,30.3559
2020-05,34.2156,35.9447
2020-06,24.267,35.2146
2020-07,30.2134,39.5903
2020-08,28.2544,48.5304
2020-09,29.6666,40.6583
2020-10,27.9832,35.284
2020-11,31.6372,43.8758
2020-12,32.5298,48.4488
2021-01,25.1964,45.6177
2021-02,27.9128,42.6536
2021-03,25.3828,44.2697
2021-04,34.7387,51.1309
2021-05,28.4537,46.9645
2021-06,30.4291,49.5312
2021-07,35.5512,52.4159
2021-08,38.0983,56.1018
2021-09,32.1389,48.0813
2021-10,29.7308,56.0144
2021-11,15.0213,53.5374
2021-12,29.8939,55.8343
2022-01,23.8605,46.4571
2022-02,27.4541,38.1483
2022-03,22.467,42.2675
2022-04,11.511,34.5494
2022-05,10.9467,36.0289
2022-06,-5.5927,21.1749
2022-07,1.9593,31.8752
2022-08,-2.5908,26.0562
2022-09,-3.9649,14.2993
2022-10,3.5615,23.2183
2022-11,-1.209,29.7022
2022-12,0.9269,24.5108
2023-01,-0.6943,29.2932
2023-02,-3.8497,25.9536
2023-03,0.8677,29.4041
2023-04,5.829,31.1074
2023-05,1.4823,31.3785
2023-06,11.4922,39.5074
2023-07,3.4979,43.6112
2023-08,3.1955,39.288
2023-09,-0.6111,32.2789
2023-10,-0.7882,29.0551
2023-11,8.7613,40.4823
2023-12,10.106,46.4584
2024-01,23.1817,48.2956
2024-02,27.8948,55.4714
2024-03,29.8814,59.9707
2024-04,26.2982,54.3559
2024-05,27.8881,58.7198
2024-06,27.5999,63.7565
2024-07,22.5508,62.4775
2024-08,28.2821,65.2821
2024-09,27.891,63.7333
2024-10,25.1656,61.5953
2024-11,37.4178,70.4058
2024-12,26.2339,65.7986
2025-01,36.8604,69.6123
2025-02,34.7454,66.3646
2025-03,28.7297,60.3871
2025-04,29.172,59.1236
2025-05,31.9058,68.5307
2025-06,33.123,76.5585
2025-07,31.8517,79.9077
2025-08,27.4617,82.9229
2025-09,21.5113,88.6543
2025-10,15.2909,92.3724
2025-11,19.9499,92.0168
2025-12,13.707,91.3981
2026-01,14.9573,93.9446
