Date,rate_302450_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Expected_Return
2019-01-02,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2019-01-30,4.5,4.1,0.4,98.13,-1.87,1.66,0.03
2019-03-05,3.58,7.96,-4.38,91.03,-7.1,1.66,0.15
2019-04-02,3.74,8.67,-4.93,90.22,-0.81,1.66,0.16
2019-04-30,4.69,12.87,-8.18,85.39,-4.83,1.66,0.24
2019-05-30,-1.1,7.55,-8.65,84.7,-0.69,1.66,0.25
2019-06-28,2.29,12.07,-9.78,83.02,-1.68,1.66,0.28
2019-07-26,0.09,15.42,-15.33,74.78,-8.24,1.66,0.42
2019-08-26,-5.09,11.9,-16.99,72.32,-2.46,1.66,0.46
2019-09-25,0.35,15.09,-14.74,75.66,3.34,1.66,0.4
2019-10-25,0.92,14.27,-13.35,77.72,2.06,1.66,0.37
2019-11-22,1.35,18.05,-16.7,72.75,-4.97,1.66,0.45
2019-12-20,4.75,20.82,-16.07,73.68,0.93,1.66,0.44
2020-01-22,8.01,24.49,-16.48,73.07,-0.61,1.66,0.45
2020-02-21,4.47,28.07,-23.6,62.51,-10.56,1.66,0.62
2020-03-20,-19.6,-6.46,-13.14,78.03,15.52,1.66,0.36
2020-04-20,-5.09,5.62,-10.71,78.3,0.27,4.53,0.98
2020-05-21,-1.07,10.95,-12.02,76.44,-1.86,4.53,1.07
2020-06-18,4.42,22.49,-18.07,67.82,-8.62,4.53,1.46
2020-07-16,6.21,18.67,-12.46,75.81,7.99,4.53,1.1
2020-08-13,16.31,24.62,-8.31,81.72,5.91,4.53,0.83
2020-09-11,14.13,32.85,-18.72,66.9,-14.82,4.53,1.5
2020-10-15,12.91,26.15,-13.24,74.7,7.8,4.53,1.15
2020-11-12,17.37,22.83,-5.46,85.78,11.08,4.53,0.64
2020-12-10,27.38,36.12,-8.74,81.11,-4.67,4.53,0.86
2021-01-12,43.83,38.25,5.58,97.78,16.67,7.2,0.16
2021-02-09,42.38,43.47,-1.09,88.63,-9.15,7.2,0.82
2021-03-12,40.93,46.11,-5.18,83.02,-5.61,7.2,1.22
2021-04-09,43.7,44.65,-0.95,88.82,5.8,7.2,0.8
2021-05-10,47.73,52.96,-5.23,82.95,-5.87,7.2,1.23
2021-06-08,47.08,53.64,-6.56,81.13,-1.82,7.2,1.36
2021-07-06,48.72,53.64,-4.92,83.38,2.25,7.2,1.2
2021-08-03,45.72,56.34,-10.62,75.56,-7.82,7.2,1.76
2021-09-01,44.2,63.94,-19.74,63.05,-12.51,7.2,2.66
2021-10-05,35.46,62.45,-26.99,53.11,-9.94,7.2,3.38
2021-11-03,35.45,58.18,-22.73,58.95,5.84,7.2,2.96
2021-12-01,32.7,69.91,-37.21,39.09,-19.86,7.2,4.39
2021-12-29,37.61,70.2,-32.59,45.43,6.34,7.2,3.93
2022-01-27,24.32,69.04,-44.72,28.79,-16.64,7.2,5.13
2022-03-02,27.3,61.69,-34.39,42.96,14.17,7.2,4.11
2022-03-31,29.29,50.78,-21.49,60.65,17.69,7.2,2.83
2022-04-28,25.83,63.68,-37.85,38.21,-22.44,7.2,4.45
2022-05-27,24.46,48.9,-24.44,56.6,18.39,7.2,3.12
2022-06-28,16.93,46.15,-29.22,50.05,-6.55,7.2,3.6
2022-07-26,17.13,34.67,-17.54,66.07,16.02,7.2,2.44
2022-08-24,18.63,46.76,-28.13,51.54,-14.53,7.2,3.49
2022-09-23,12.19,44.02,-31.83,46.47,-5.07,7.2,3.85
2022-10-25,10.09,29.81,-19.72,63.08,16.61,7.2,2.66
2022-11-22,16.96,34.11,-17.15,66.6,3.52,7.2,2.4
2022-12-20,13.85,39.48,-25.63,54.97,-11.63,7.2,3.24
2023-01-18,16.22,34.2,-17.98,65.46,10.49,7.2,2.49
2023-02-17,19.78,39.33,-19.55,63.31,-2.15,7.2,2.64
2023-03-20,16.87,43.04,-26.17,54.23,-9.08,7.2,3.3
2023-04-17,24.33,38.55,-14.22,70.62,16.39,7.2,2.12
2023-05-17,21.55,44.89,-23.34,58.11,-12.51,7.2,3.02
2023-06-16,26.32,43.23,-16.91,66.93,8.82,7.2,2.38
2023-07-14,26.4,52.24,-25.84,54.68,-12.25,7.2,3.26
2023-08-11,25.02,56.11,-31.09,47.48,-7.2,7.2,3.78
2023-09-11,23.2,54.47,-31.27,47.24,-0.24,7.2,3.8
2023-10-16,19.06,55.12,-36.06,40.67,-6.57,7.2,4.27
2023-11-13,17.74,49.22,-31.48,46.95,6.28,7.2,3.82
2023-12-11,22.03,50.05,-28.02,51.69,4.74,7.2,3.48
2024-01-11,23.31,56.95,-33.64,43.99,-7.7,7.2,4.03
2024-02-08,25.8,60.23,-34.43,42.9,-1.09,7.2,4.11
2024-03-12,28.34,69.04,-40.7,34.3,-8.6,7.2,4.73
2024-04-09,29.93,74.73,-44.8,28.68,-5.62,7.2,5.14
2024-05-10,30.36,76.5,-46.14,26.84,-1.84,7.2,5.27
2024-06-11,29.21,70.78,-41.57,33.11,6.27,7.2,4.82
2024-07-09,35.32,78.55,-43.23,30.83,-2.28,7.2,4.98
2024-08-06,22.69,85.48,-62.79,4.0,-26.83,7.2,6.91
2024-08-30,28.17,86.83,-58.66,9.67,-8.67,7.2,6.5
