Date,rate_TGTX_5D,rate_VOO_20D
2015-01,-9.3866,-3.5197
2015-02,-3.0169,1.8044
2015-03,3.9763,-0.4337
2015-04,-8.7894,0.3137
2015-05,2.1587,1.1276
2015-06,6.6855,-1.1499
2015-07,11.2085,0.7758
2015-08,-19.2761,-5.2144
2015-09,-33.1461,-6.8385
2015-10,-26.2761,1.456
2015-11,-19.7629,1.6267
2015-12,-31.1217,-1.547
2016-01,-51.0869,-5.7531
2016-02,-46.8043,-5.5897
2016-03,-43.203,1.0514
2016-04,-36.8933,1.2766
2016-05,-45.453,2.8694
2016-06,-54.2419,3.0125
2016-07,-52.8328,6.6033
2016-08,-46.538,6.4107
2016-09,-32.4248,6.0754
2016-10,-52.5557,3.9171
2016-11,-46.877,7.5494
2016-12,-55.359,9.4609
2017-01,-51.9046,10.9259
2017-02,-40.5819,14.726
2017-03,24.2926,14.3055
2017-04,16.9467,14.9549
2017-05,18.5174,16.0331
2017-06,4.7892,16.1995
2017-07,19.4539,18.019
2017-08,31.3693,17.7916
2017-09,21.7046,19.6329
2017-10,-16.7718,21.8061
2017-11,-11.5869,24.8473
2017-12,-15.3284,25.7591
2018-01,19.0605,31.9951
2018-02,30.8858,23.8183
2018-03,40.0729,20.2635
2018-04,37.1301,19.4213
2018-05,27.2326,21.8063
2018-06,23.997,22.1657
2018-07,10.1862,25.9246
2018-08,18.8794,29.3314
2018-09,-47.7357,29.4255
2018-10,-56.6948,22.2068
2018-11,-50.9177,23.3167
2018-12,-59.2933,11.9431
2019-01,-58.2124,20.5081
2019-02,-29.1184,23.9911
2019-03,-15.5539,25.8605
2019-04,-16.2696,30.3858
2019-05,-33.3314,21.7197
2019-06,-7.7697,29.6454
2019-07,-20.0721,30.9764
2019-08,-33.1375,28.3144
2019-09,-39.2082,30.3463
2019-10,-25.155,32.6433
2019-11,-10.0048,36.8628
2019-12,21.8922,40.2808
2020-01,55.2738,39.5678
2020-02,36.5474,27.6738
2020-03,7.6044,13.7983
2020-04,30.2213,28.8259
2020-05,105.8735,34.4952
2020-06,113.3183,36.4312
2020-07,112.6707,43.8393
2020-08,167.083,53.1513
2020-09,185.5079,46.6896
2020-10,167.1209,42.3008
2020-11,197.0959,52.48
2020-12,421.2171,57.4141
2021-01,378.4608,54.5505
2021-02,326.261,53.2933
2021-03,346.2641,59.5159
2021-04,309.7599,67.1173
2021-05,222.499,63.1968
2021-06,255.6263,66.0542
2021-07,217.8546,69.2541
2021-08,144.1459,73.3422
2021-09,197.8624,64.4041
2021-10,177.1707,75.0902
2021-11,33.8589,72.8856
2021-12,66.5719,74.9008
2022-01,0.9129,64.895
2022-02,-13.8089,56.9857
2022-03,-22.3655,61.5358
2022-04,-32.0032,52.0569
2022-05,-59.3841,54.9384
2022-06,-64.7677,36.9452
2022-07,-49.4853,49.0697
2022-08,-51.2792,45.7103
2022-09,-53.9234,40.1987
2022-10,-54.6922,45.6601
2022-11,-34.0345,53.1737
2022-12,-20.5196,45.6599
2023-01,-6.885,52.3474
2023-02,8.6397,48.2542
2023-03,6.4469,51.8024
2023-04,63.8624,53.6828
2023-05,92.1093,53.8786
2023-06,86.5802,63.3156
2023-07,53.1828,68.0452
2023-08,-22.2579,63.1618
2023-09,-37.7717,54.8585
2023-10,-41.928,50.9761
2023-11,-3.4966,64.2515
2023-12,28.5406,71.1453
2024-01,12.7926,68.502
2024-02,13.4705,76.5945
2024-03,0.3459,81.6555
2024-04,-3.6263,75.2278
2024-05,4.9043,80.2558
2024-06,11.034,85.9352
2024-07,24.6785,84.4488
2024-08,40.6131,88.839
2024-09,29.3308,85.735
2024-10,33.1275,83.2676
2024-11,84.4156,87.6881
2024-12,71.8569,81.6347
2025-01,74.2399,82.4329
2025-02,66.6799,78.9337
2025-03,97.6851,73.1645
2025-04,118.8286,72.4129
2025-05,65.6507,80.6718
