Date,rate_CHRW_5D,rate_VOO_20D
2016-01,1.0458,-0.2222
2016-02,7.9525,-0.538
2016-03,11.3797,5.4876
2016-04,3.9789,4.3009
2016-05,8.58,5.0489
2016-06,6.9181,4.5571
2016-07,-0.6984,7.6935
2016-08,-0.3555,6.9533
2016-09,0.8952,6.2375
2016-10,-2.5701,3.7854
2016-11,7.0237,7.1677
2016-12,4.8171,8.807
2017-01,8.3545,9.8558
2017-02,13.9399,13.2781
2017-03,9.368,12.5186
2017-04,2.3839,12.862
2017-05,-4.7061,13.671
2017-06,-2.234,13.5989
2017-07,-6.5976,15.144
2017-08,1.3457,14.7216
2017-09,9.1161,16.3433
2017-10,12.1057,18.2694
2017-11,22.7692,21.041
2017-12,25.9137,21.7242
2018-01,28.0253,27.4695
2018-02,25.0108,19.3615
2018-03,25.2301,15.7832
2018-04,22.1449,14.8108
2018-05,15.531,17.0438
2018-06,10.5849,17.3176
2018-07,21.4287,20.8062
2018-08,25.6976,23.987
2018-09,27.78,23.9821
2018-10,18.7222,13.9627
2018-11,22.5391,14.891
2018-12,11.7476,4.3997
2019-01,15.0131,12.4657
2019-02,20.0034,15.764
2019-03,13.772,17.5172
2019-04,4.2116,21.7565
2019-05,2.3189,15.9825
2019-06,8.9589,19.9006
2019-07,7.9473,21.1479
2019-08,4.8002,18.2717
2019-09,3.7972,20.1285
2019-10,-8.1253,20.2617
2019-11,-6.5122,24.1404
2019-12,-4.1408,27.2792
2020-01,-11.3899,26.2131
2020-02,-15.2872,19.7543
2020-03,-17.2829,15.6821
2020-04,-11.1434,30.2617
2020-05,-3.0072,35.8523
2020-06,-5.5791,35.1239
2020-07,10.0125,39.5012
2020-08,12.3241,48.4406
2020-09,11.7357,40.57
2020-10,1.8635,35.226
2020-11,4.4662,43.8337
2020-12,4.8579,48.4074
2021-01,-2.161,45.5769
2021-02,-0.7591,42.6135
2021-03,4.7754,44.2303
2021-04,6.4738,51.092
2021-05,5.4889,46.9262
2021-06,-0.5922,49.4935
2021-07,-6.2479,52.3787
2021-08,-5.2545,56.0652
2021-09,-7.8826,48.0452
2021-10,2.7635,55.9789
2021-11,0.7004,53.5023
2021-12,10.364,55.7997
2022-01,8.8191,46.4229
2022-02,8.7825,38.1146
2022-03,21.4517,42.2235
2022-04,13.6748,34.5061
2022-05,10.9221,35.9861
2022-06,2.6543,21.1493
2022-07,8.9715,31.8499
2022-08,12.2569,26.0177
2022-09,-4.6765,14.2613
2022-10,-3.2288,23.1597
2022-11,-0.6855,29.6167
2022-12,-7.1857,24.435
2023-01,-0.2812,29.2005
2023-02,-1.0496,25.863
2023-03,-1.2302,29.3114
2023-04,-0.2448,31.0157
2023-05,-4.4926,31.2861
2023-06,-4.5794,39.4108
2023-07,1.3477,43.5156
2023-08,-5.7442,39.1934
2023-09,-10.1773,32.2074
2023-10,-14.5493,28.9933
2023-11,-13.5426,40.4062
2023-12,-8.8563,46.3831
2024-01,-11.2063,48.2211
2024-02,-20.9008,55.3929
2024-03,-18.4798,59.893
2024-04,-23.7758,54.279
2024-05,-7.0834,58.6437
2024-06,-4.5243,63.681
2024-07,-3.4992,62.4028
2024-08,12.0827,65.2032
2024-09,13.3876,63.6745
2024-10,9.1028,61.537
2024-11,6.5787,70.3476
2024-12,4.7811,65.7569
2025-01,0.8483,69.5588
2025-02,2.99,66.3116
2025-03,4.401,60.3346
2025-04,-9.5464,59.0646
2025-05,-2.6516,68.4722
2025-06,-3.4717,76.5005
2025-07,14.8386,79.8502
2025-08,28.0095,82.8659
2025-09,23.7771,88.5978
2025-10,24.3393,92.3152
2025-11,28.0753,91.9565
2025-12,29.8381,91.3383
2026-01,41.6308,93.2969
