Date,rate_006400_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Expected_Return
2019-01-02,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2019-01-31,0.12,4.11,-3.99,87.39,-12.61,3.72,0.47
2019-03-07,0.4,5.88,-5.48,84.96,-2.43,3.72,0.56
2019-04-04,-0.9,10.34,-11.24,75.54,-9.42,3.72,0.91
2019-05-07,4.54,10.59,-6.05,84.03,8.49,3.72,0.59
2019-06-05,0.53,8.53,-8.0,80.84,-3.19,3.72,0.71
2019-07-05,4.31,14.29,-9.98,77.6,-3.24,3.72,0.83
2019-08-02,7.89,12.02,-4.13,87.16,9.56,3.72,0.48
2019-09-03,6.44,11.21,-4.77,86.12,-1.04,3.72,0.52
2019-10-04,-1.26,12.44,-13.7,71.52,-14.6,3.72,1.06
2019-11-04,2.67,17.25,-14.58,70.08,-1.44,3.72,1.11
2019-12-03,3.72,17.9,-14.18,70.73,0.65,3.72,1.09
2020-01-03,1.91,22.64,-20.73,60.02,-10.71,3.72,1.49
2020-02-05,31.71,26.39,5.32,100.0,39.98,5.32,0.0
2020-03-05,34.74,14.68,20.06,100.0,0.0,20.06,0.0
2020-04-02,3.24,-4.42,7.66,75.1,-24.9,29.25,7.28
2020-05-07,23.53,9.1,14.43,82.9,7.8,29.25,5.0
2020-06-05,61.05,21.01,40.04,86.6,3.7,55.12,7.39
2020-07-06,67.47,19.88,47.59,93.31,6.71,55.12,3.69
2020-08-03,77.95,24.09,53.86,98.88,5.57,55.12,0.62
2020-09-01,93.83,32.86,60.97,84.75,-14.13,82.28,12.55
2020-10-05,85.68,27.74,57.94,82.58,-2.17,82.28,14.33
2020-11-03,94.34,26.13,68.21,89.93,7.35,82.28,8.29
2020-12-02,130.87,37.39,93.48,98.63,8.7,95.57,1.31
2021-01-04,177.43,37.91,139.52,100.0,1.37,139.52,0.0
2021-02-02,208.16,42.33,165.83,92.24,-7.76,184.61,14.33
2021-03-08,166.37,42.07,124.3,75.08,-17.16,184.61,46.0
2021-04-06,161.94,50.69,111.25,69.69,-5.39,184.61,55.96
2021-05-04,163.79,53.83,109.96,69.16,-0.53,184.61,56.93
2021-06-04,151.37,55.98,95.39,63.14,-6.02,184.61,68.05
2021-07-02,189.15,59.63,129.52,77.24,14.1,184.61,42.02
2021-08-02,196.81,60.6,136.21,80.0,2.76,184.61,36.92
2021-08-31,214.23,65.67,148.56,85.11,5.11,184.61,27.49
2021-10-05,168.87,57.97,110.9,69.55,-15.56,184.61,56.21
2021-11-03,186.88,69.04,117.84,72.41,2.86,184.61,50.93
2021-12-02,168.22,65.91,102.31,66.0,-6.41,184.61,62.77
2022-01-04,153.86,72.67,81.19,57.27,-8.73,184.61,78.88
2022-02-07,123.39,61.24,62.15,49.41,-7.86,184.61,93.39
2022-03-10,96.97,53.0,43.97,41.9,-7.51,184.61,107.26
2022-04-07,126.99,60.91,66.08,51.03,9.13,184.61,90.4
2022-05-10,129.63,42.75,86.88,59.62,8.59,184.61,74.55
2022-06-10,117.1,39.1,78.0,55.96,-3.66,184.61,81.3
2022-07-12,105.09,35.63,69.46,52.43,-3.53,184.61,87.82
2022-08-09,134.57,46.21,88.36,60.24,7.81,184.61,73.4
2022-09-08,118.47,42.03,76.44,55.31,-4.93,184.61,82.5
2022-10-12,131.02,26.22,104.8,67.03,11.72,184.61,60.87
2022-11-09,173.66,32.24,141.42,82.16,15.13,184.61,32.93
2022-12-08,157.29,39.76,117.53,72.29,-9.87,184.61,51.16
2023-01-10,129.05,37.48,91.57,61.56,-10.73,184.61,70.96
2023-02-10,168.19,43.36,124.83,75.3,13.74,184.61,45.6
2023-03-14,164.76,37.34,127.42,76.37,1.07,184.61,43.62
2023-04-12,176.5,42.76,133.74,78.98,2.61,184.61,38.81
2023-05-12,143.0,43.7,99.3,64.76,-14.22,184.61,65.06
2023-06-13,167.07,52.16,114.91,71.2,6.44,184.61,53.17
2023-07-13,157.28,56.28,101.0,65.46,-5.74,184.61,63.76
2023-08-10,126.46,54.67,71.79,53.39,-12.07,184.61,86.05
2023-09-11,110.05,55.17,54.88,46.4,-6.99,184.61,98.95
2023-10-16,90.69,50.53,40.16,40.32,-6.08,184.61,110.18
2023-11-13,59.61,51.67,7.94,27.01,-13.31,184.61,134.75
2023-12-12,68.15,59.64,8.51,27.25,0.24,184.61,134.3
2024-01-12,56.08,63.48,-7.4,20.67,-6.58,184.61,146.45
2024-02-14,49.1,70.62,-21.52,14.84,-5.83,184.61,157.21
2024-03-15,60.6,74.52,-13.92,17.98,3.14,184.61,151.42
2024-04-16,48.5,71.37,-22.87,14.28,-3.7,184.61,158.25
2024-05-17,61.69,79.77,-18.08,16.26,1.98,184.61,154.59
2024-06-18,44.45,85.76,-41.31,6.66,-9.6,184.61,172.31
2024-07-18,37.18,86.59,-49.41,3.32,-3.34,184.61,178.48
2024-08-16,33.23,86.65,-53.42,1.66,-1.66,184.61,181.55
2024-09-13,41.59,88.73,-47.14,4.26,0.9,184.61,176.75
