Date,rate_IBM_5D,rate_VOO_20D
2016-01,-8.0019,-3.28
2016-02,0.185,-2.376
2016-03,14.623,4.071
2016-04,7.5472,3.4463
2016-05,12.9608,4.5141
2016-06,9.8316,4.1644
2016-07,14.785,7.3333
2016-08,12.8573,6.6525
2016-09,11.4878,6.013
2016-10,6.9685,3.6115
2016-11,13.2396,7.182
2016-12,14.9194,8.8567
2017-01,19.5718,10.0774
2017-02,22.7587,13.6125
2017-03,17.4385,12.8284
2017-04,7.209,13.2286
2017-05,2.7996,14.0432
2017-06,3.4445,13.9758
2017-07,-2.862,15.5728
2017-08,-2.8388,15.1519
2017-09,-1.3761,16.7674
2017-10,4.6845,18.6971
2017-11,5.4382,21.4906
2017-12,4.8201,22.1742
2018-01,11.5674,28.0253
2018-02,6.8819,22.3109
2018-03,5.0613,18.5822
2018-04,-0.7883,18.439
2018-05,-2.1747,20.6342
2018-06,-3.2376,20.8295
2018-07,0.4545,24.4195
2018-08,2.6233,27.64
2018-09,5.8473,27.5571
2018-10,-19.1788,18.148
2018-11,-11.4093,19.8158
2018-12,-18.6713,8.7803
2019-01,-3.3892,17.0692
2019-02,0.4706,20.3898
2019-03,2.5684,22.1512
2019-04,1.872,26.4471
2019-05,-6.5926,17.8766
2019-06,1.5012,25.6026
2019-07,8.9861,26.8029
2019-08,0.6738,24.165
2019-09,7.9856,26.0707
2019-10,-0.767,28.2682
2019-11,0.9441,32.2632
2019-12,0.6506,35.5066
2020-01,7.8456,34.7146
2020-02,-1.2422,23.2206
2020-03,-15.8119,7.5857
2020-04,-4.3257,21.2139
2020-05,-3.4579,26.5664
2020-06,-6.5742,28.3643
2020-07,-4.7522,35.3077
2020-08,-3.1473,44.0007
2020-09,-4.3834,37.8818
2020-10,-12.1193,33.7409
2020-11,-1.3627,47.6567
2020-12,0.5368,52.3191
2021-01,-4.8238,49.9619
2021-02,-3.6143,53.2489
2021-03,7.9335,59.3139
2021-04,14.7465,66.7128
2021-05,17.3027,66.7978
2021-06,19.3382,69.5264
2021-07,14.5,72.593
2021-08,15.1081,76.58
2021-09,13.7581,67.3306
2021-10,2.2684,78.0118
2021-11,1.4947,75.6346
2021-12,15.7403,82.5203
2022-01,15.4279,71.9304
2022-02,7.1119,65.8784
2022-03,13.5582,71.2418
2022-04,15.2802,55.3862
2022-05,22.2512,55.0693
2022-06,24.0068,41.677
2022-07,14.6333,54.0588
2022-08,13.8416,47.0803
2022-09,5.1523,33.1115
2022-10,22.1972,43.3799
2022-11,32.6904,50.707
2022-12,25.2073,41.5455
2023-01,19.4722,49.9054
2023-02,15.9175,45.6128
2023-03,17.3465,50.431
2023-04,12.9848,52.2262
2023-05,16.2523,52.3734
2023-06,20.7284,61.6123
2023-07,29.803,66.208
2023-08,33.3446,62.8182
2023-09,27.0727,54.4786
2023-10,30.6899,50.5707
2023-11,44.354,63.7242
2023-12,48.3702,70.5007
2024-01,66.0087,72.5028
2024-02,68.0436,80.6678
2024-03,72.6576,85.7322
2024-04,49.7334,77.499
2024-05,51.3338,85.5862
2024-06,56.3469,91.319
2024-07,73.0108,92.6342
2024-08,82.7563,96.3435
2024-09,98.9797,99.6776
2024-10,85.2322,96.8805
2024-11,104.3318,107.4927
2024-12,96.6085,101.7132
2025-01,127.5567,106.1747
2025-02,124.9853,102.6383
2025-03,120.5389,90.4787
2025-04,113.4433,88.1311
2025-05,129.0357,99.0692
2025-06,159.2048,108.4087
2025-07,121.5234,112.1972
2025-08,113.5656,115.6241
2025-09,146.3041,122.2463
2025-10,166.9405,126.4867
2025-11,168.012,125.9202
2025-12,155.975,125.0582
2026-01,151.4758,126.4133
