Date,rate_IVZ_5D,rate_VOO_20D
2016-01,0.0,-3.28
2016-02,-7.669,-2.376
2016-03,7.3227,4.071
2016-04,5.6945,3.4463
2016-05,6.6754,4.5141
2016-06,-14.1048,4.1644
2016-07,0.4898,7.3333
2016-08,8.2983,6.6525
2016-09,7.6262,6.013
2016-10,-4.0914,3.6115
2016-11,8.2155,7.182
2016-12,4.0721,8.8567
2017-01,-0.7914,10.0774
2017-02,11.2075,13.6125
2017-03,4.967,12.8284
2017-04,12.4958,13.2286
2017-05,8.5129,14.0432
2017-06,19.5725,13.9758
2017-07,16.9961,15.5728
2017-08,10.3486,15.1519
2017-09,17.2999,16.7674
2017-10,18.8763,18.6971
2017-11,20.2073,21.4906
2017-12,20.5164,22.1742
2018-01,19.1652,28.0253
2018-02,7.5498,22.3109
2018-03,5.5877,18.5822
2018-04,-4.5108,18.439
2018-05,-8.7485,20.6342
2018-06,-11.0678,20.8295
2018-07,-9.2884,24.4195
2018-08,-17.589,27.64
2018-09,-21.7085,27.5571
2018-10,-25.0871,18.148
2018-11,-28.0467,19.8158
2018-12,-40.1738,8.7803
2019-01,-34.8862,17.0692
2019-02,-28.711,20.3898
2019-03,-28.0912,22.1512
2019-04,-17.4192,26.4471
2019-05,-24.9487,17.8766
2019-06,-20.8374,25.6026
2019-07,-25.2689,26.8029
2019-08,-36.9993,24.165
2019-09,-32.1198,26.0707
2019-10,-31.6909,28.2682
2019-11,-26.6959,32.2632
2019-12,-24.2682,35.5066
2020-01,-27.1321,34.7146
2020-02,-37.5198,23.2206
2020-03,-60.1429,7.5857
2020-04,-60.6568,21.2139
2020-05,-61.5516,26.5664
2020-06,-46.4989,28.3643
2020-07,-49.1096,35.3077
2020-08,-46.5021,44.0007
2020-09,-39.1453,37.8818
2020-10,-29.1949,33.7409
2020-11,-10.8965,47.6567
2020-12,-4.1473,52.3191
2021-01,13.2269,49.9619
2021-02,23.7911,53.2489
2021-03,38.4788,59.3139
2021-04,47.4799,66.7128
2021-05,55.8566,66.7978
2021-06,45.2462,69.5264
2021-07,31.7723,72.593
2021-08,37.2146,76.58
2021-09,30.0896,67.3306
2021-10,36.5586,78.0118
2021-11,20.3491,75.6346
2021-12,23.7724,82.5203
2022-01,21.4577,71.9304
2022-02,14.4639,65.8784
2022-03,24.2256,71.2418
2022-04,-1.2774,55.3862
2022-05,4.866,55.0693
2022-06,-12.578,41.677
2022-07,-3.6955,54.0588
2022-08,-9.549,47.0803
2022-09,-24.6486,33.1115
2022-10,-15.4471,43.3799
2022-11,6.7288,50.707
2022-12,0.3463,41.5455
2023-01,3.2461,49.9054
2023-02,-0.5192,45.6128
2023-03,-7.6045,50.431
2023-04,-3.3831,52.2262
2023-05,-17.7121,52.3734
2023-06,-3.6363,61.6123
2023-07,-3.6781,66.208
2023-08,-7.5418,62.8182
2023-09,-15.6152,54.4786
2023-10,-24.442,50.5707
2023-11,-15.4068,63.7242
2023-12,5.847,70.5007
2024-01,-6.0782,72.5028
2024-02,-7.3388,80.6678
2024-03,-0.1877,85.7322
2024-04,-14.7444,77.499
2024-05,-4.0867,85.5862
2024-06,-8.6261,91.319
2024-07,5.5301,92.6342
2024-08,5.7079,96.3435
2024-09,8.5803,99.6776
2024-10,7.1609,96.8805
2024-11,12.9519,107.4927
2024-12,9.0046,101.7132
2025-01,19.9171,106.1747
2025-02,9.5779,102.6383
2025-03,-4.4285,90.4787
2025-04,-12.2054,88.1311
2025-05,-7.4199,99.0692
2025-06,1.0463,108.4087
2025-07,34.5688,112.1972
2025-08,41.2177,115.6241
2025-09,47.9267,122.2463
2025-10,52.3333,126.4867
2025-11,57.9946,125.9202
2025-12,69.1444,125.0582
2026-01,82.8573,126.4133
