Date,price,Open,High,Low,Close,Volume,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_down_ta,ppo_histogram,SMA_20_turn,SMA_60_turn,Recent_low,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,stock_ticker,market_cap,rate_vs
2015-08-05,10.77,13.06,13.31,10.40,10.77,14096900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.77,0.00,0.00,0.00,False,False,10.77,11000.00,0,11000.00,0.00,0.00,0.00,11000,Monthly invest,0.00,0.00,0.00,RUN,2416131218.85,0.00
2015-08-06,8.77,11.00,11.20,8.23,8.77,3570400,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.77,0.00,0.00,-1.20,False,False,8.77,11000.00,0,11000.00,0.00,0.00,0.00,11000,,0.00,0.00,0.00,RUN,1967453202.85,-0.78
2015-08-07,10.14,9.19,10.20,8.77,10.14,1623800,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.77,0.00,0.00,-1.07,False,False,8.77,11000.00,0,11000.00,0.00,0.00,0.00,11000,,0.00,0.00,0.00,RUN,2274797618.14,-1.04
2015-08-10,10.12,10.73,10.73,10.00,10.12,435900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.77,0.00,0.00,-0.94,False,False,8.77,10972.68,0,5507.88,5464.80,540.00,-0.25,11000,week +buy 50% ,0.00,0.00,0.00,RUN,2270310735.29,0.24
2015-08-11,9.79,10.00,10.03,9.50,9.79,349700,0.00,0.00,9.92,0.00,0.00,0.00,0.00,10.77,0.00,0.00,-1.01,False,False,8.77,10794.48,0,5507.88,5286.60,540.00,-1.87,11000,,0.00,0.00,0.00,RUN,2196278879.76,-0.70
2015-08-12,10.35,9.68,10.40,9.65,10.35,498200,0.00,0.00,9.83,0.00,0.00,0.00,0.00,10.77,0.00,0.00,-0.64,False,False,8.77,11096.88,0,5507.88,5589.00,540.00,0.88,11000,,0.00,0.00,0.00,RUN,2321908818.38,-0.61
2015-08-13,10.12,10.07,10.34,10.05,10.12,397500,0.00,0.00,10.10,0.00,0.00,0.00,0.00,10.77,0.00,0.00,-0.51,False,False,8.77,10972.68,0,5507.88,5464.80,540.00,-0.25,11000,,0.00,0.00,0.00,RUN,2270310735.29,-0.72
2015-08-14,10.04,10.01,10.17,9.73,10.04,410600,0.00,0.00,10.08,0.00,0.00,0.00,0.00,10.77,0.00,0.00,-0.44,False,False,8.77,10929.48,0,5507.88,5421.60,540.00,-0.64,11000,,0.00,0.00,0.00,RUN,2252363631.76,-0.33
2015-08-17,10.13,10.04,10.26,9.96,10.13,346000,0.00,0.00,10.09,0.00,0.00,0.00,0.00,10.77,0.00,0.00,-0.30,False,False,8.77,10964.40,0,2759.10,8205.30,810.00,-0.32,11000,week +buy 50% ,0.00,0.00,0.00,RUN,2272554176.71,0.24
2015-08-18,10.24,10.00,10.34,10.00,10.24,277700,0.00,0.00,10.18,0.00,0.00,0.00,0.00,10.77,0.00,0.00,-0.12,False,False,8.77,11053.50,0,2759.10,8294.40,810.00,0.49,11000,,0.00,0.00,0.00,RUN,2297231390.57,-0.07
