Date,rate_HAL_5D,rate_VOO_20D
2016-01,0.0,-3.28
2016-02,2.1139,-2.376
2016-03,11.138,4.071
2016-04,25.5814,3.4463
2016-05,23.054,4.5141
2016-06,27.8992,4.1644
2016-07,19.3096,7.3333
2016-08,15.4931,6.6525
2016-09,19.0637,6.013
2016-10,20.0131,3.6115
2016-11,36.2776,7.182
2016-12,36.1484,8.8567
2017-01,42.3691,10.0774
2017-02,31.9283,13.6125
2017-03,19.1816,12.8284
2017-04,9.8887,13.2286
2017-05,7.6113,14.0432
2017-06,1.6596,13.9758
2017-07,0.7563,15.5728
2017-08,-7.5289,15.1519
2017-09,10.1085,16.7674
2017-10,1.8224,18.6971
2017-11,-0.5976,21.4906
2017-12,16.5372,22.1742
2018-01,28.0032,28.0253
2018-02,9.5776,22.3109
2018-03,10.8549,18.5822
2018-04,24.7354,18.439
2018-05,16.2551,20.6342
2018-06,5.2432,20.8295
2018-07,-1.0599,24.4195
2018-08,-6.9159,27.64
2018-09,-5.0026,27.5571
2018-10,-18.6235,18.148
2018-11,-25.7436,19.8158
2018-12,-36.2132,8.7803
2019-01,-24.8281,17.0692
2019-02,-25.8105,20.3898
2019-03,-28.0627,22.1512
2019-04,-29.7912,26.4471
2019-05,-46.5845,17.8766
2019-06,-41.2313,25.6026
2019-07,-39.5332,26.8029
2019-08,-49.5416,24.165
2019-09,-49.0329,26.0707
2019-10,-46.702,28.2682
2019-11,-40.7946,32.2632
2019-12,-29.4125,35.5066
2020-01,-37.0276,34.7146
2020-02,-50.3465,23.2206
2020-03,-78.952,7.5857
2020-04,-64.9745,21.2139
2020-05,-59.091,26.5664
2020-06,-53.5174,28.3643
2020-07,-47.3984,35.3077
2020-08,-39.5802,44.0007
2020-09,-54.4328,37.8818
2020-10,-53.2062,33.7409
2020-11,-34.4143,47.6567
2020-12,-24.6287,52.3191
2021-01,-29.6923,49.9619
2021-02,-12.3162,53.2489
2021-03,-13.6836,59.3139
2021-04,-21.1452,66.7128
2021-05,-9.1927,66.7978
2021-06,-6.3968,69.5264
2021-07,-16.2281,72.593
2021-08,-18.7732,76.58
2021-09,-11.7624,67.3306
2021-10,2.1435,78.0118
2021-11,-11.8142,75.6346
2021-12,-6.3677,82.5203
2022-01,25.8711,71.9304
2022-02,36.8322,65.8784
2022-03,54.56,71.2418
2022-04,44.6016,55.3862
2022-05,64.1444,55.0693
2022-06,26.3736,41.677
2022-07,17.7228,54.0588
2022-08,20.8569,47.0803
2022-09,-0.9514,33.1115
2022-10,46.3371,43.3799
2022-11,51.5981,50.707
2022-12,57.2147,41.5455
2023-01,64.6631,49.9054
2023-02,44.6454,45.6128
2023-03,25.7621,50.431
2023-04,29.7417,52.2262
2023-05,13.1835,52.3734
2023-06,30.7026,61.6123
2023-07,54.3343,66.208
2023-08,51.8667,62.8182
2023-09,59.2029,54.4786
2023-10,53.9978,50.5707
2023-11,44.3654,63.7242
2023-12,41.0381,70.5007
2024-01,39.0961,72.5028
2024-02,36.4034,80.6678
2024-03,53.4981,85.7322
2024-04,45.3169,77.499
2024-05,41.8762,85.5862
2024-06,30.8809,91.319
2024-07,34.0401,92.6342
2024-08,19.8797,96.3435
2024-09,12.6694,99.6776
2024-10,7.4073,96.8805
2024-11,23.2645,107.4927
2024-12,5.6562,101.7132
2025-01,1.1386,106.1747
2025-02,2.5122,102.6383
2025-03,-0.6906,90.4787
2025-04,-22.4255,88.1311
2025-05,-23.1185,99.0692
2025-06,-19.1422,108.4087
2025-07,-11.0056,112.1972
2025-08,-9.5577,115.6241
2025-09,-1.4423,122.2463
2025-10,7.5163,126.4867
2025-11,4.9489,125.9202
2025-12,13.724,125.0582
2026-01,36.484,126.4133
