Date,rate_MO_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Volatility_Adjustment,Expected_Return
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-03-03,13.59,4.16,9.43,93.64,6.85,10.07,1.21,0.41
2015-04-29,0.97,3.8,-2.83,0.0,0.0,10.07,1.92,0.0
2015-06-25,-1.17,3.4,-4.57,16.15,1.19,10.07,2.54,0.0
2015-08-21,8.34,-2.77,11.11,100.0,24.97,11.11,2.08,0.0
2015-10-19,19.67,0.19,19.48,100.0,0.0,19.48,1.81,0.0
2015-12-15,14.7,0.99,13.71,71.74,4.38,22.02,1.71,0.01
2016-02-12,19.62,-8.03,27.65,94.88,2.62,29.54,1.58,0.08
2016-04-12,26.86,1.51,25.35,88.65,4.54,29.54,1.51,0.21
2016-06-08,29.96,4.64,25.32,88.57,-0.38,29.54,1.47,0.47
2016-08-04,31.36,6.55,24.81,73.84,-20.4,36.22,1.42,0.54
2016-09-30,24.43,6.55,17.88,57.95,-12.95,36.22,1.41,1.15
2016-11-28,27.15,8.53,18.62,59.64,-14.29,36.22,1.41,1.18
2017-01-26,38.45,12.65,25.8,76.11,9.68,36.22,1.42,0.63
2017-03-24,42.29,14.65,27.64,80.33,-2.88,36.22,1.32,1.45
2017-05-22,39.48,17.16,22.32,68.13,-5.36,36.22,1.24,4.87
2017-07-19,41.72,20.55,21.17,65.49,-20.38,36.22,1.22,5.3
2017-09-14,19.65,21.78,-2.13,12.06,-17.61,36.22,1.29,0.0
2017-11-09,23.59,25.33,-1.74,12.96,-7.65,36.22,1.37,0.0
2018-01-09,32.78,32.87,-0.09,16.74,-18.89,36.22,1.42,0.0
2018-03-08,24.51,32.18,-7.67,7.29,-5.02,36.22,1.54,0.0
2018-05-04,6.89,27.87,-20.98,5.16,-19.52,36.22,1.7,0.0
2018-07-02,6.06,30.25,-24.19,3.97,2.06,36.22,1.84,0.0
2018-08-28,10.87,38.61,-27.74,2.26,-6.73,36.22,2.09,0.0
2018-10-24,17.98,26.38,-8.4,31.82,22.47,36.22,2.33,0.0
2018-12-21,-7.19,14.29,-21.48,11.83,2.65,36.22,2.64,0.0
2019-02-21,-12.14,31.47,-43.61,1.96,1.96,36.22,3.1,0.0
2019-04-18,-7.98,36.81,-44.79,0.52,-6.0,36.22,2.23,0.0
2019-06-17,-11.75,36.1,-47.85,1.26,-4.03,36.22,2.48,0.0
2019-08-13,-17.22,37.04,-54.26,2.36,1.9,36.22,2.33,0.0
2019-10-09,-22.95,35.98,-58.93,8.0,7.85,36.22,2.57,0.0
2019-12-05,-11.9,45.14,-57.04,9.82,3.93,36.22,2.27,0.0
2020-02-04,-16.89,52.49,-69.38,0.0,-4.51,36.22,2.09,0.0
2020-04-01,-30.19,13.74,-43.93,28.34,19.36,36.22,2.15,0.0
2020-05-29,-27.86,40.47,-68.33,6.52,-5.6,36.22,2.46,0.0
2020-07-27,-22.92,48.57,-71.49,3.69,-3.23,36.22,2.51,0.0
2020-09-22,-28.07,51.8,-79.87,3.39,3.39,36.22,2.36,0.0
2020-11-17,-23.71,64.37,-88.08,1.45,-0.24,36.22,2.01,0.0
2021-01-15,-23.41,70.52,-93.93,1.49,-0.97,36.22,2.02,0.0
2021-03-16,-10.46,78.86,-89.32,6.26,6.13,36.22,2.11,0.0
2021-05-12,-10.5,82.17,-92.67,8.1,4.45,36.22,2.08,0.0
2021-07-09,-13.4,94.62,-108.02,0.32,-3.25,36.22,2.04,0.0
2021-09-03,-7.72,101.38,-109.1,1.78,1.78,36.22,2.1,0.0
2021-11-01,-19.3,103.4,-122.7,0.0,-4.77,36.22,2.25,0.0
2021-12-29,-16.53,110.49,-127.02,0.35,-2.39,36.22,2.39,0.0
2022-02-25,-11.62,91.86,-103.48,14.72,-0.41,36.22,2.56,0.0
2022-04-25,-6.19,86.8,-92.99,21.12,8.21,36.22,2.92,0.0
2022-06-22,-25.91,63.12,-89.03,23.54,-3.54,36.22,3.06,0.0
2022-08-18,-19.87,84.98,-104.85,13.88,-4.97,36.22,2.99,0.0
2022-10-14,-20.16,53.85,-74.01,32.71,10.61,36.22,2.63,0.0
2022-12-12,-17.51,70.93,-88.44,23.9,2.38,36.22,2.33,0.0
2023-02-09,-18.23,73.66,-91.89,21.79,-2.29,36.22,2.08,0.0
2023-04-10,-20.68,73.97,-94.65,20.11,-7.7,36.22,1.86,0.0
2023-06-06,-20.28,81.01,-101.29,16.06,-5.39,36.22,1.69,0.0
2023-08-03,-21.38,88.91,-110.29,10.56,-3.25,36.22,1.6,0.0
2023-09-29,-23.74,79.47,-103.21,14.88,4.78,36.22,1.52,0.0
2023-11-27,-24.16,90.05,-114.21,8.17,-9.46,36.22,1.44,0.0
2024-01-25,-25.32,103.14,-128.46,0.0,-2.36,36.22,1.48,0.0
2024-03-22,-21.97,115.96,-137.93,0.0,-0.1,36.22,1.59,0.0
2024-05-20,-17.77,118.46,-136.23,1.28,-4.06,36.22,1.73,0.0
2024-07-18,-12.54,126.6,-139.14,3.88,3.88,36.22,1.93,0.0
2024-09-13,-7.09,129.28,-136.37,5.39,0.14,36.22,2.04,0.0
2024-10-24,-11.53,135.48,-147.01,1.79,0.63,36.22,2.19,0.0
