Date,rate_FCX_5D,rate_VOO_20D
2016-01,-29.5425,-3.28
2016-02,31.233,-2.376
2016-03,66.5042,4.071
2016-04,108.4181,3.4463
2016-05,51.1905,4.5141
2016-06,45.2949,4.1644
2016-07,62.0834,7.3333
2016-08,23.6606,6.6525
2016-09,27.9229,6.013
2016-10,29.211,3.6115
2016-11,73.8853,7.182
2016-12,44.7538,8.8567
2017-01,78.1521,10.0774
2017-02,39.2405,13.6125
2017-03,36.116,12.8284
2017-04,27.9481,13.2286
2017-05,14.0416,14.0432
2017-06,18.425,13.9758
2017-07,42.834,15.5728
2017-08,42.3718,15.1519
2017-09,33.359,16.7674
2017-10,31.2559,18.6971
2017-11,29.2836,21.4906
2017-12,74.2256,22.1742
2018-01,76.0736,28.0253
2018-02,65.2922,22.3109
2018-03,53.9778,18.5822
2018-04,31.8332,18.439
2018-05,45.3077,20.6342
2018-06,46.8568,20.8295
2018-07,39.0314,24.4195
2018-08,17.6103,27.64
2018-09,16.1366,27.5571
2018-10,-3.0678,18.148
2018-11,-0.7255,19.8158
2018-12,-14.2196,8.7803
2019-01,-2.8121,17.0692
2019-02,7.7663,20.3898
2019-03,7.4949,22.1512
2019-04,2.4691,26.4471
2019-05,-19.0174,17.8766
2019-06,-2.8009,25.6026
2019-07,-7.2907,26.8029
2019-08,-22.6833,24.165
2019-09,-18.9638,26.0707
2019-10,-16.3519,28.2682
2019-11,-2.9093,32.2632
2019-12,11.9134,35.5066
2020-01,-5.4503,34.7146
2020-02,-15.0647,23.2206
2020-03,-42.1463,7.5857
2020-04,-23.2613,21.2139
2020-05,-20.6646,26.5664
2020-06,1.4767,28.3643
2020-07,13.2414,35.3077
2020-08,36.4022,44.0007
2020-09,35.9735,37.8818
2020-10,50.0338,33.7409
2020-11,100.9675,47.6567
2020-12,121.6457,52.3191
2021-01,127.1114,49.9619
2021-02,183.4205,53.2489
2021-03,172.4202,59.3139
2021-04,208.8075,66.7128
2021-05,246.1339,66.7978
2021-06,197.5122,69.5264
2021-07,202.4541,72.593
2021-08,186.1556,76.58
2021-09,153.4964,67.3306
2021-10,191.3356,78.0118
2021-11,183.7672,75.6346
2021-12,216.4876,82.5203
2022-01,180.8643,71.9304
2022-02,250.9591,65.8784
2022-03,268.2581,71.2418
2022-04,198.5526,55.3862
2022-05,185.3113,55.0693
2022-06,111.9828,41.677
2022-07,128.1047,54.0588
2022-08,112.6612,47.0803
2022-09,95.1839,33.1115
2022-10,125.8779,43.3799
2022-11,181.564,50.707
2022-12,166.8199,41.5455
2023-01,211.9814,49.9054
2023-02,184.2532,45.6128
2023-03,181.694,50.431
2023-04,160.2007,52.2262
2023-05,134.1435,52.3734
2023-06,170.8925,61.6123
2023-07,201.2326,66.208
2023-08,167.4095,62.8182
2023-09,148.1875,54.4786
2023-10,124.4701,50.5707
2023-11,146.5073,63.7242
2023-12,179.3323,70.5007
2024-01,159.7495,72.5028
2024-02,145.9064,80.6678
2024-03,203.8579,85.7322
2024-04,221.5054,77.499
2024-05,237.1423,85.5862
2024-06,208.6652,91.319
2024-07,187.5136,92.6342
2024-08,178.7012,96.3435
2024-09,212.3102,99.6776
2024-10,180.8414,96.8805
2024-11,174.0641,107.4927
2024-12,134.8213,101.7132
2025-01,120.8689,106.1747
2025-02,126.2581,102.6383
2025-03,130.9476,90.4787
2025-04,119.6089,88.1311
2025-05,133.3615,99.0692
2025-06,161.4829,108.4087
2025-07,142.3526,112.1972
2025-08,166.0152,115.6241
2025-09,133.7904,122.2463
2025-10,148.2367,126.4867
2025-11,154.5856,125.9202
2025-12,199.2433,125.0582
2026-01,253.8615,126.4133
