Date,rate_SCHD_5D,rate_VOO_20D
2015-01,0.0,-2.7065
2015-02,0.0,3.1558
2015-03,0.0,0.6227
2015-04,0.0,1.5462
2015-05,0.0,2.3537
2015-06,0.0,0.0434
2015-07,0.0,2.0842
2015-08,0.0,-4.3182
2015-09,0.0,-5.9353
2015-10,4.3564,2.458
2015-11,4.2622,2.5845
2015-12,2.4677,0.5575
2016-01,0.4475,-4.2897
2016-02,1.0441,-4.1945
2016-03,7.0394,2.4537
2016-04,6.4597,2.6275
2016-05,7.352,4.2216
2016-06,8.7853,4.3211
2016-07,10.7188,7.9005
2016-08,9.9403,7.6567
2016-09,9.6312,7.3422
2016-10,8.0516,5.1359
2016-11,10.0084,8.8243
2016-12,11.156,10.7181
2017-01,10.3972,12.2291
2017-02,12.2497,16.0773
2017-03,11.4331,15.6062
2017-04,11.1937,16.2583
2017-05,11.8819,17.3218
2017-06,11.0114,17.4698
2017-07,11.6241,19.3156
2017-08,11.2594,19.0667
2017-09,12.0808,20.9084
2017-10,13.7067,23.0856
2017-11,15.6391,26.1569
2017-12,15.9225,27.0535
2018-01,18.0064,33.3237
2018-02,14.3942,27.557
2018-03,12.8056,23.7897
2018-04,11.9428,23.694
2018-05,12.5084,26.0843
2018-06,12.1603,26.4022
2018-07,13.9729,30.2615
2018-08,14.7383,33.7431
2018-09,14.6766,33.7744
2018-10,11.6317,24.0059
2018-11,12.1011,25.7976
2018-12,2.1004,14.2266
2019-01,8.1085,22.9173
2019-02,12.2471,26.422
2019-03,13.6874,28.3092
2019-04,16.8918,32.8802
2019-05,8.2849,23.9212
2019-06,15.4077,32.0773
2019-07,17.0116,33.399
2019-08,15.2447,30.6596
2019-09,19.2003,32.6926
2019-10,20.4576,35.0272
2019-11,23.4186,39.2766
2019-12,25.7323,42.7521
2020-01,23.2242,41.9993
2020-02,12.1122,29.9265
2020-03,0.3938,13.3632
2020-04,13.3191,27.6468
2020-05,17.3274,33.2701
2020-06,16.2715,35.2029
2020-07,22.0975,42.554
2020-08,27.8636,51.7791
2020-09,24.3906,45.3812
2020-10,24.1937,41.0587
2020-11,40.0091,55.7791
2020-12,43.6768,60.777
2021-01,41.8173,58.3477
2021-02,49.5728,61.884
2021-03,60.6613,68.3693
2021-04,63.2596,76.2864
2021-05,67.4314,76.4702
2021-06,63.8925,79.457
2021-07,64.0857,82.8075
2021-08,66.4734,87.1348
2021-09,59.9983,77.4346
2021-10,65.7064,88.8578
2021-11,61.8344,86.4265
2021-12,70.536,93.8486
2022-01,65.5211,82.6961
2022-02,61.9161,76.3379
2022-03,65.3955,82.1199
2022-04,57.9237,65.3417
2022-05,59.9539,65.0316
2022-06,45.8876,50.7878
2022-07,47.8697,63.998
2022-08,43.3298,56.6028
2022-09,32.3536,41.7137
2022-10,46.7044,52.6532
2022-11,56.2078,60.4428
2022-12,48.9891,50.693
2023-01,51.5326,59.5882
2023-02,46.0997,55.0141
2023-03,42.9981,60.1692
2023-04,41.3764,62.0949
2023-05,35.2229,62.261
2023-06,40.6685,72.1219
2023-07,46.0283,77.0453
2023-08,43.4726,73.4561
2023-09,36.0653,64.5903
2023-10,30.7638,60.4422
2023-11,38.3346,74.4731
2023-12,46.5835,81.707
2024-01,46.3676,83.8702
2024-02,48.5685,92.6066
2024-03,53.6775,98.04
2024-04,46.5146,89.2981
2024-05,48.9841,97.9519
2024-06,48.5835,104.1006
2024-07,56.9641,105.5479
2024-08,60.1515,109.5362
2024-09,61.0561,113.1478
2024-10,60.8421,110.2014
2024-11,67.5641,121.5602
2024-12,56.223,115.4204
2025-01,58.5777,120.2402
2025-02,61.9893,116.5003
2025-03,59.7096,103.5294
2025-04,58.7426,103.4401
