Date,rate_CEG_5D,rate_VOO_20D
2022-01,0.0,-0.6782
2022-02,-7.6204,-6.7302
2022-03,14.0255,-1.3668
2022-04,15.3416,-17.2224
2022-05,18.253,-17.5393
2022-06,5.9021,-30.9316
2022-07,21.062,-18.5498
2022-08,46.4585,-25.5282
2022-09,43.873,-39.4971
2022-10,57.9802,-29.2287
2022-11,55.346,-21.9016
2022-12,35.3161,-31.0631
2023-01,31.6509,-22.7032
2023-02,13.9217,-26.9958
2023-03,18.4484,-22.1776
2023-04,15.7738,-20.3824
2023-05,25.0745,-20.2352
2023-06,34.3718,-10.9963
2023-07,39.915,-6.4006
2023-08,49.0162,-9.7904
2023-09,53.419,-18.1299
2023-10,56.4535,-22.0379
2023-11,65.3351,-8.8844
2023-12,57.0659,-2.1079
2024-01,61.5872,-0.1058
2024-02,119.4347,8.0592
2024-03,136.3026,13.1236
2024-04,132.753,4.8904
2024-05,166.9431,12.9776
2024-06,141.1047,18.7104
2024-07,124.098,20.0256
2024-08,128.8061,23.7349
2024-09,197.569,27.069
2024-10,194.9713,24.2719
2024-11,182.7898,34.8841
2024-12,142.2797,29.1046
2025-01,219.2281,33.5661
2025-02,161.8804,30.0298
2025-03,108.0531,17.8701
2025-04,127.4482,15.5225
2025-05,207.4611,26.4606
2025-06,218.8311,35.8002
2025-07,238.2458,39.5886
2025-08,195.1002,43.0155
2025-09,210.6311,49.6377
2025-10,250.3899,53.8781
2025-11,233.8366,53.3116
2025-12,218.9829,52.4496
2026-01,157.2894,53.8047
