Date,rate_MMM_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Volatility_Adjustment,Expected_Return
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-03-03,4.47,4.16,0.31,19.59,-55.79,3.47,2.01,0.0
2015-04-29,-2.56,3.8,-6.36,0.0,-35.39,3.47,3.18,0.0
2015-06-25,-3.2,3.4,-6.6,0.0,-15.56,3.47,2.79,0.0
2015-08-21,-11.7,-2.77,-8.93,19.38,12.52,3.47,3.05,0.0
2015-10-19,-7.8,0.19,-7.99,25.49,10.6,3.47,2.19,0.0
2015-12-15,-7.7,0.99,-8.69,20.94,-38.81,3.47,2.09,0.0
2016-02-12,-3.93,-8.03,4.1,93.52,58.08,5.21,2.19,-0.0
2016-04-12,4.81,1.51,3.3,88.84,12.5,5.21,2.33,-0.01
2016-06-08,6.82,4.64,2.18,82.3,-7.3,5.21,2.08,-0.01
2016-08-04,10.63,6.55,4.08,86.01,-8.56,6.68,1.99,-0.0
2016-09-30,9.54,6.55,2.99,80.15,-10.22,6.68,1.83,-0.0
2016-11-28,7.13,8.53,-1.4,56.54,1.13,6.68,1.77,0.0
2017-01-26,9.66,12.65,-2.99,47.98,-15.17,6.68,1.73,0.0
2017-03-24,18.55,14.65,3.9,85.05,21.31,6.68,1.61,-0.01
2017-05-22,22.56,17.16,5.4,93.11,7.69,6.68,1.46,-0.01
2017-07-19,30.5,20.55,9.95,90.0,-9.55,12.38,1.35,0.03
2017-09-14,29.68,21.78,7.9,81.56,2.23,12.38,1.28,0.23
2017-11-09,39.52,25.33,14.19,78.31,-9.59,21.42,1.24,0.39
2018-01-09,46.72,32.87,13.85,77.29,-7.86,21.42,1.19,0.78
2018-03-08,43.07,32.18,10.89,68.41,-3.9,21.42,1.2,1.83
2018-05-04,20.35,27.87,-7.52,13.17,-32.31,21.42,1.25,0.0
2018-07-02,17.76,30.25,-12.49,5.09,1.31,21.42,1.34,0.0
2018-08-28,25.95,38.61,-12.66,6.76,-14.49,21.42,1.49,0.0
2018-10-24,10.65,26.38,-15.73,0.0,-9.69,21.42,1.6,0.0
2018-12-21,9.93,14.29,-4.36,34.15,6.87,21.42,1.69,0.0
2019-02-21,24.06,31.47,-7.41,26.36,6.56,21.42,1.79,0.0
2019-04-18,30.34,36.81,-6.47,28.76,7.79,21.42,1.98,0.0
2019-06-17,-0.72,36.1,-36.82,0.0,0.0,21.42,2.21,0.0
2019-08-13,-1.89,37.04,-38.93,4.1,-5.23,21.42,2.57,0.0
2019-10-09,-10.09,35.98,-46.07,0.0,-2.78,21.42,3.05,0.0
2019-12-05,-2.14,45.14,-47.28,0.0,-9.86,21.42,3.36,0.0
2020-02-04,-6.39,52.49,-58.88,0.0,-5.86,21.42,2.34,0.0
2020-04-01,-21.16,13.74,-34.9,32.41,23.4,21.42,2.54,0.0
2020-05-29,-12.6,40.47,-53.07,10.6,-5.25,21.42,2.35,0.0
2020-07-27,-9.21,48.57,-57.78,4.94,-5.9,21.42,2.33,0.0
2020-09-22,-9.5,51.8,-61.3,9.42,9.42,21.42,2.44,0.0
2020-11-17,-4.08,64.37,-68.45,2.21,-6.23,21.42,2.65,0.0
2021-01-15,-7.84,70.52,-78.36,1.95,-0.16,21.42,2.83,0.0
2021-03-16,2.23,78.86,-76.63,3.65,3.57,21.42,2.43,0.0
2021-05-12,7.82,82.17,-74.35,7.64,5.81,21.42,2.22,0.0
2021-07-09,8.72,94.62,-85.9,0.73,-1.42,21.42,2.3,0.0
2021-09-03,5.52,101.38,-95.86,0.0,0.0,21.42,2.34,0.0
2021-11-01,-1.46,103.4,-104.86,0.46,-4.57,21.42,2.45,0.0
2021-12-29,-1.99,110.49,-112.48,0.53,-1.3,21.42,2.52,0.0
2022-02-25,-16.06,91.86,-107.92,3.92,-9.23,21.42,2.49,0.0
2022-04-25,-16.27,86.8,-103.07,10.0,10.0,21.42,2.41,0.0
2022-06-22,-22.1,63.12,-85.22,22.9,3.71,21.42,2.54,0.0
2022-08-18,-17.5,84.98,-102.48,10.43,-6.26,21.42,2.86,0.0
2022-10-14,-26.46,53.85,-80.31,26.45,8.93,21.42,2.97,0.0
2022-12-12,-22.47,70.93,-93.4,16.99,-1.09,21.42,2.58,0.0
2023-02-09,-26.14,73.66,-99.8,12.36,-5.84,21.42,2.3,0.0
2023-04-10,-30.92,73.97,-104.89,8.68,-7.35,21.42,2.13,0.0
2023-06-06,-34.12,81.01,-115.13,1.28,-6.68,21.42,2.05,0.0
2023-08-03,-30.51,88.91,-119.42,3.2,2.65,21.42,2.05,0.0
2023-09-29,-37.04,79.47,-116.51,5.2,2.4,21.42,2.02,0.0
2023-11-27,-34.85,90.05,-124.9,0.76,-7.48,21.42,1.98,0.0
2024-01-25,-35.17,103.14,-138.31,0.19,-0.8,21.42,2.05,0.0
2024-03-22,-29.06,115.96,-145.02,2.84,2.79,21.42,2.12,0.0
2024-05-20,-18.64,118.46,-137.1,7.47,-2.29,21.42,2.27,0.0
2024-07-18,-19.19,126.6,-145.79,3.14,1.42,21.42,2.48,0.0
2024-09-13,-0.38,129.28,-129.66,12.48,0.48,21.42,2.43,0.0
2024-10-22,-0.3,136.39,-136.69,8.41,-3.07,21.42,2.16,0.0
