Date,rate_011170_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Expected_Return
2015-01-02,0.0,0.0,0.0,100.0,0.0,0.0,0
2015-03-06,18.27,2.37,15.9,100.0,0.84,15.9,0
2015-05-06,46.24,2.5,43.74,96.78,-3.22,50.41,0
2015-07-02,65.99,2.14,63.85,100.0,3.72,63.85,0
2015-08-28,42.07,-1.87,43.94,90.98,-0.31,63.85,0
2015-10-29,57.72,2.94,54.78,95.89,-1.95,63.85,0
2015-12-28,34.85,1.03,33.82,86.39,-1.61,63.85,0
2016-03-03,73.97,-1.54,75.51,96.82,-0.86,83.13,0
2016-05-02,60.66,2.47,58.19,87.5,-9.3,88.9,0
2016-07-01,56.5,3.41,53.09,85.43,1.31,88.9,0
2016-08-30,48.83,7.33,41.5,80.71,-9.29,88.9,0
2016-11-01,58.63,3.83,54.8,86.12,-2.14,88.9,0
2016-12-29,92.97,10.32,82.65,97.46,7.98,88.9,0
2017-03-06,89.19,16.55,72.64,91.04,-8.44,95.22,0
2017-05-04,82.0,16.76,65.24,88.11,-3.7,95.22,0
2017-07-06,78.56,17.41,61.15,86.48,0.39,95.22,0
2017-09-01,101.39,20.67,80.72,94.25,4.18,95.22,0
2017-11-08,85.18,25.79,59.39,85.78,-2.43,95.22,0
2018-01-10,88.98,32.64,56.34,84.57,1.83,95.22,0
2018-03-14,113.36,32.75,80.61,93.62,3.0,96.8,0
2018-05-14,92.17,31.18,60.99,85.88,-6.94,96.8,0
2018-07-16,70.76,33.8,36.96,76.41,-3.62,96.8,0
2018-09-12,47.36,38.02,9.34,65.52,-10.66,96.8,0
2018-11-14,47.69,28.51,19.18,69.4,4.91,96.8,0
2019-01-16,42.14,23.83,18.31,69.05,0.72,96.8,0
2019-03-21,47.14,34.52,12.62,66.81,-7.84,96.8,0
2019-05-21,34.45,34.87,-0.42,61.67,-2.9,96.8,0
2019-07-19,27.48,39.47,-11.99,57.11,-1.13,96.8,0
2019-09-19,27.65,40.81,-13.16,56.64,0.52,96.8,0
2019-11-18,21.27,45.41,-24.14,52.31,-3.38,96.8,0
2020-01-17,18.22,54.14,-35.92,47.67,-2.88,96.8,0
2020-03-19,5.43,10.9,-5.47,59.68,13.65,96.8,0
2020-05-21,10.71,36.05,-25.34,51.84,-2.76,96.8,0
2020-07-20,9.58,49.09,-39.51,46.25,-2.69,96.8,0
2020-09-16,19.1,55.07,-35.97,47.65,3.76,96.8,0
2020-11-17,39.66,64.37,-24.71,52.09,1.32,96.8,0
2021-01-19,45.53,71.86,-26.33,51.45,1.14,96.8,0
2021-03-22,52.49,77.89,-25.4,51.82,2.04,96.8,0
2021-05-20,43.14,86.58,-43.44,44.7,-0.93,96.8,0
2021-07-19,38.33,89.91,-51.58,41.5,-1.27,96.8,0
2021-09-15,32.15,99.08,-66.93,35.44,1.04,96.8,0
2021-11-17,20.39,106.91,-86.52,27.72,-5.16,96.8,0
2022-01-19,20.36,98.57,-78.21,31.0,1.98,96.8,0
2022-03-24,18.9,96.91,-78.01,31.07,-4.52,96.8,0
2022-05-24,17.91,71.39,-53.48,40.75,5.69,96.8,0
2022-07-26,14.56,69.25,-54.69,40.27,-0.99,96.8,0
2022-09-26,13.85,57.75,-43.9,44.52,7.83,96.8,0
2022-11-23,14.32,72.78,-58.46,38.78,-2.73,96.8,0
2023-01-27,16.74,73.47,-56.73,39.46,-3.21,96.8,0
2023-03-28,17.84,68.4,-50.56,41.9,1.23,96.8,0
2023-05-26,12.24,77.98,-65.74,35.91,-2.23,96.8,0
2023-07-27,3.79,90.93,-87.14,27.47,-3.38,96.8,0
2023-09-25,1.25,82.17,-80.92,29.93,2.09,96.8,0
2023-11-28,6.78,90.24,-83.46,28.93,-5.01,96.8,0
2024-01-29,-4.37,104.49,-108.86,18.91,-5.13,96.8,0
2024-04-01,-9.52,115.81,-125.33,12.42,-1.49,96.8,0
2024-06-03,-15.03,117.01,-132.04,9.77,-3.42,96.8,0
2024-08-01,-17.27,122.06,-139.33,6.9,1.01,96.8,0
2024-09-24,-22.69,133.37,-156.06,0.3,-1.39,96.8,0
