Date,rate_LRCX_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,0.4342,-0.6039
2016-03,11.6882,5.2168
2016-04,0.4053,3.9893
2016-05,8.5723,4.6886
2016-06,8.6111,4.1237
2016-07,14.7956,7.1795
2016-08,17.2006,6.3603
2016-09,16.7941,5.6281
2016-10,17.6896,3.196
2016-11,27.0876,6.7601
2016-12,25.0721,8.3626
2017-01,35.8684,10.2536
2017-02,37.1398,13.6522
2017-03,45.5149,12.7005
2017-04,60.7374,12.9818
2017-05,67.8921,13.693
2017-06,49.3226,13.5288
2017-07,65.3313,15.0481
2017-08,68.5525,14.5515
2017-09,84.0287,16.1037
2017-10,102.861,17.9557
2017-11,82.8533,20.6805
2017-12,71.6338,21.3029
2018-01,78.5785,28.0338
2018-02,75.648,22.1441
2018-03,82.805,18.3021
2018-04,63.7719,18.0902
2018-05,72.7205,20.2208
2018-06,49.2409,20.3415
2018-07,62.6932,23.8746
2018-08,45.8762,27.0072
2018-09,28.7785,27.7347
2018-10,19.4658,18.1437
2018-11,31.382,19.7418
2018-12,13.9909,8.5778
2019-01,41.7313,17.1263
2019-02,45.8044,20.3748
2019-03,47.7686,22.0514
2019-04,69.5367,26.2651
2019-05,41.1588,17.5943
2019-06,51.5896,25.308
2019-07,66.7921,26.4355
2019-08,66.648,23.7232
2019-09,83.8632,26.1617
2019-10,113.2199,28.2707
2019-11,107.1816,32.1761
2019-12,125.2048,35.3247
2020-01,129.6609,35.2749
2020-02,122.9619,23.5454
2020-03,80.9462,7.7105
2020-04,90.8163,21.425
2020-05,102.671,26.7132
2020-06,137.8666,28.4357
2020-07,174.1181,35.3124
2020-08,141.3194,43.9511
2020-09,136.1821,37.6938
2020-10,140.7569,33.4637
2020-11,214.99,47.2943
2020-12,225.3034,51.8455
2021-01,233.3258,50.305
2021-02,285.5509,53.4604
2021-03,300.0269,59.4101
2021-04,311.282,66.6882
2021-05,325.1471,66.6274
2021-06,321.0179,69.2184
2021-07,307.2354,72.1455
2021-08,281.6216,75.992
2021-09,255.7838,66.6118
2021-10,248.2604,77.1553
2021-11,315.3892,74.6519
2021-12,335.1307,81.397
2022-01,252.756,70.7122
2022-02,232.0782,64.6001
2022-03,215.693,69.8532
2022-04,170.8327,54.0273
2022-05,199.6116,53.6333
2022-06,144.1099,40.2902
2022-07,184.547,52.5094
2022-08,146.7355,45.531
2022-09,105.5363,31.5965
2022-10,125.5905,41.7445
2022-11,161.291,48.9584
2022-12,131.5862,39.838
2023-01,175.3726,48.5632
2023-02,165.2997,44.2258
2023-03,188.0083,48.9578
2023-04,182.4281,50.6836
2023-05,229.682,50.7741
2023-06,241.6479,59.884
2023-07,278.5387,64.3798
2023-08,266.8198,60.953
2023-09,225.5613,52.6248
2023-10,203.0555,48.7132
2023-11,265.9533,61.6976
2023-12,298.0594,68.3392
2024-01,319.3002,71.0275
2024-02,372.6429,79.0476
2024-03,386.0814,83.99
2024-04,343.5494,75.7344
2024-05,358.5447,83.6813
2024-06,420.2094,89.2836
2024-07,346.1931,90.5002
2024-08,294.5059,94.0822
2024-09,293.2424,98.2932
2024-10,255.5253,95.412
2024-11,250.6497,105.8418
2024-12,241.3369,99.9875
2025-01,282.8809,105.351
2025-02,259.8265,101.7087
2025-03,239.5002,89.4719
2025-04,232.3395,87.0451
2025-05,272.0526,97.8575
2025-06,346.1024,107.0685
2025-07,331.4052,110.7404
2025-08,352.2038,114.0337
2025-09,505.767,121.6081
2025-10,606.5686,125.7153
2025-11,594.3763,125.0226
2025-12,657.0547,124.0393
2026-01,954.1458,128.5087
