Date,rate_TAN_5D,rate_VOO_20D
2015-01,-2.0479,-3.4654
2015-02,13.2645,1.8382
2015-03,21.3701,-1.894
2015-04,19.0071,-0.89
2015-05,12.0058,0.156
2015-06,1.1271,-1.9889
2015-07,-6.351,0.033
2015-08,-20.7963,-5.8025
2015-09,-28.3218,-8.2305
2015-10,-18.9588,-0.0843
2015-11,-20.439,-2.113
2015-12,-7.304,-3.8724
2016-01,-13.4954,-7.8608
2016-02,-20.3514,-7.5342
2016-03,-22.2027,-0.9446
2016-04,-18.0552,-0.6967
2016-05,-22.899,-0.6145
2016-06,-25.469,-1.3818
2016-07,-22.5655,1.8755
2016-08,-23.4975,1.9028
2016-09,-24.531,0.9413
2016-10,-27.2101,-0.9029
2016-11,-29.4682,2.7405
2016-12,-28.2464,4.7463
2017-01,-26.5175,6.2736
2017-02,-19.342,10.0649
2017-03,-22.8773,9.7935
2017-04,-21.9872,10.5465
2017-05,-16.7216,11.7131
2017-06,-9.9597,11.9985
2017-07,-1.7289,13.8586
2017-08,-2.9751,13.7438
2017-09,-4.2049,15.6256
2017-10,6.1499,17.8245
2017-11,8.5587,20.8676
2017-12,12.7316,21.832
2018-01,12.5865,27.9044
2018-02,8.7785,21.7843
2018-03,8.345,18.2913
2018-04,6.8886,17.4136
2018-05,4.9616,19.7917
2018-06,-0.537,20.1834
2018-07,-2.0992,23.9038
2018-08,-5.9788,27.2976
2018-09,-10.5565,27.4242
2018-10,-21.2193,20.7176
2018-11,-13.56,21.1969
2018-12,-18.7218,10.1406
2019-01,-2.7116,18.5468
2019-02,4.1893,21.9928
2019-03,-1.094,20.3892
2019-04,3.0059,24.7915
2019-05,0.2728,19.3862
2019-06,10.3406,23.8719
2019-07,13.1771,25.2226
2019-08,6.9866,22.3204
2019-09,-1.1856,24.3354
2019-10,-5.5182,24.7977
2019-11,-5.7526,28.8587
2019-12,4.1108,32.1677
2020-01,7.7674,31.1891
2020-02,14.929,25.0497
2020-03,14.6782,21.7586
2020-04,14.4599,23.986
2020-05,18.2538,27.8908
2020-06,14.9459,26.7873
2020-07,31.8716,29.7361
2020-08,43.8428,38.2855
2020-09,40.8953,31.1772
2020-10,52.0792,26.3658
2020-11,65.7592,34.7733
2020-12,80.0772,39.2823
2021-01,86.8661,36.8243
2021-02,83.2302,34.0763
2021-03,63.738,35.7693
2021-04,47.6616,42.415
2021-05,37.7159,38.0804
2021-06,54.9623,40.688
2021-07,45.662,43.5875
2021-08,34.7992,47.2493
2021-09,26.9707,39.8501
2021-10,47.762,47.7169
2021-11,36.3814,45.5418
2021-12,30.8536,47.5618
2022-01,16.5766,38.8252
2022-02,28.4537,31.0908
2022-03,35.1972,33.0355
2022-04,29.9656,26.6505
2022-05,31.0719,26.4176
2022-06,30.6103,24.128
2022-07,39.0026,31.203
2022-08,36.7168,30.2694
2022-09,35.127,29.9119
2022-10,34.4874,29.6251
2022-11,38.3442,30.8712
2022-12,28.576,26.3166
2023-01,31.6425,30.4963
2023-02,25.0645,27.1684
2023-03,18.6469,30.5019
2023-04,9.1949,32.2517
2023-05,5.3086,32.5588
2023-06,5.0808,40.8068
2023-07,0.065,44.9968
2023-08,-6.6395,40.4335
2023-09,-16.9138,33.4105
2023-10,-30.807,30.1949
2023-11,-26.9601,41.7479
2023-12,-14.6817,47.8274
2024-01,-25.2211,45.2424
2024-02,-27.8544,52.3362
2024-03,-25.3756,56.8189
2024-04,-34.2683,51.3954
2024-05,-21.3557,55.7533
2024-06,-28.2209,60.787
2024-07,-28.8512,59.2454
2024-08,-32.4343,63.0052
2024-09,-32.0968,61.3886
2024-10,-36.9659,59.3474
2024-11,-38.8432,68.1135
2024-12,-43.5943,62.8273
2025-01,-43.0766,62.3034
2025-02,-45.4381,59.225
2025-03,-45.7396,56.3284
2025-04,-46.0642,55.4983
2025-05,-44.4811,57.4212
2025-06,-43.9001,59.2355
2025-07,-40.9302,62.2615
2025-08,-38.2048,65.0834
2025-09,-37.3438,69.1249
