Date,rate_MCD_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-5.3648,-0.6039
2016-03,2.5392,5.2168
2016-04,2.1574,3.9893
2016-05,-2.1943,4.6886
2016-06,-2.5619,4.1237
2016-07,-4.4235,7.1795
2016-08,-4.8712,6.3603
2016-09,-4.6083,5.6281
2016-10,-6.45,3.196
2016-11,0.4392,6.7601
2016-12,2.482,8.3626
2017-01,3.1974,10.2536
2017-02,7.9705,13.6522
2017-03,8.9223,12.7005
2017-04,16.893,12.9818
2017-05,24.7949,13.693
2017-06,25.8292,13.5288
2017-07,25.9962,15.0481
2017-08,29.2544,14.5515
2017-09,25.1538,16.1037
2017-10,32.0071,17.9557
2017-11,35.2899,20.6805
2017-12,33.8256,21.3029
2018-01,33.0672,28.0338
2018-02,22.1499,22.1441
2018-03,20.2598,18.3021
2018-04,27.854,18.0902
2018-05,21.2794,20.2208
2018-06,18.7431,20.3415
2018-07,18.7158,23.8746
2018-08,22.3446,27.0072
2018-09,26.1228,27.7347
2018-10,32.4666,18.1437
2018-11,40.9277,19.7418
2018-12,31.6454,8.5778
2019-01,32.5401,17.1263
2019-02,36.1773,20.3748
2019-03,39.5507,22.0514
2019-04,44.0421,26.2651
2019-05,44.2268,17.5943
2019-06,49.8059,25.308
2019-07,50.7134,26.4355
2019-08,55.3758,23.7232
2019-09,53.0694,26.1617
2019-10,39.1481,28.2707
2019-11,37.5603,32.1761
2019-12,38.8578,35.3247
2020-01,50.3478,35.2749
2020-02,36.2821,23.5454
2020-03,15.2838,7.7105
2020-04,30.4992,21.425
2020-05,29.8996,26.7132
2020-06,27.9676,28.4357
2020-07,34.1501,35.3124
2020-08,47.5123,43.9511
2020-09,50.6745,37.6938
2020-10,45.2726,33.4637
2020-11,48.2938,47.2943
2020-12,45.4639,51.8455
2021-01,40.8957,50.305
2021-02,39.8681,53.4604
2021-03,51.2346,59.4101
2021-04,58.3184,66.6882
2021-05,56.7094,66.6274
2021-06,53.8162,69.2184
2021-07,60.6536,72.1455
2021-08,57.0653,75.992
2021-09,58.5228,66.6118
2021-10,60.4712,77.1553
2021-11,59.7659,74.6519
2021-12,74.0752,81.397
2022-01,67.3937,70.7122
2022-02,57.8668,64.6001
2022-03,58.6658,69.8532
2022-04,58.9958,54.0273
2022-05,60.0949,53.6333
2022-06,56.7656,40.2902
2022-07,66.3138,52.5094
2022-08,59.3014,45.531
2022-09,44.9495,31.5965
2022-10,70.5257,41.7445
2022-11,70.6159,48.9584
2022-12,63.935,39.838
2023-01,66.3374,48.5632
2023-02,64.2685,44.2258
2023-03,73.172,48.9578
2023-04,82.1687,50.6836
2023-05,74.6225,50.7741
2023-06,82.7156,59.884
2023-07,78.5643,64.3798
2023-08,71.2632,60.953
2023-09,59.6848,52.6248
2023-10,58.2449,48.7132
2023-11,70.3756,61.6976
2023-12,78.3504,68.3392
2024-01,76.072,71.0275
2024-02,75.9295,79.0476
2024-03,68.9,83.99
2024-04,62.8371,75.7344
2024-05,53.7444,83.6813
2024-06,51.7225,89.2836
2024-07,57.4449,90.5002
2024-08,70.5561,94.0822
2024-09,80.9021,98.2932
2024-10,72.7357,95.412
2024-11,74.2628,105.8418
2024-12,70.9459,99.9875
2025-01,70.2453,105.351
2025-02,81.0446,101.7087
2025-03,83.6491,89.4719
2025-04,87.0696,87.0451
2025-05,82.8514,97.8575
2025-06,70.4364,107.0685
2025-07,74.321,110.7404
2025-08,81.3877,114.0337
2025-09,76.8323,121.6081
2025-10,72.9571,125.7153
2025-11,79.9981,125.0226
2025-12,76.7872,124.0393
2026-01,81.6983,128.5087
