Date,rate_BRK-B_5D,rate_VOO_20D
2016-01,-0.735,-3.28
2016-02,3.009,-2.376
2016-03,7.4709,4.071
2016-04,8.3707,3.4463
2016-05,3.3025,4.5141
2016-06,5.7205,4.1644
2016-07,4.7059,7.3333
2016-08,8.6311,6.6525
2016-09,3.5,6.013
2016-10,3.1053,3.6115
2016-11,12.192,7.182
2016-12,15.0093,8.8567
2017-01,14.7044,10.0774
2017-02,18.7442,13.6125
2017-03,14.1212,12.8284
2017-04,12.2888,13.2286
2017-05,11.6452,14.0432
2017-06,13.722,13.9758
2017-07,16.6742,15.5728
2017-08,19.9084,15.1519
2017-09,20.419,16.7674
2017-10,21.8189,18.6971
2017-11,24.8008,21.4906
2017-12,27.0915,22.1742
2018-01,36.2619,28.0253
2018-02,30.3696,22.3109
2018-03,24.5883,18.5822
2018-04,20.2687,18.439
2018-05,18.2208,20.6342
2018-06,14.6468,20.8295
2018-07,20.9734,24.4195
2018-08,26.8809,27.64
2018-09,29.3037,27.5571
2018-10,23.1828,18.148
2018-11,30.2341,19.8158
2018-12,21.1065,8.7803
2019-01,21.3669,17.0692
2019-02,18.2926,20.3898
2019-03,17.5732,22.1512
2019-04,26.2512,26.4471
2019-05,14.5102,17.8766
2019-06,23.2064,25.6026
2019-07,18.2286,26.8029
2019-08,16.7109,24.165
2019-09,19.0003,26.0707
2019-10,21.1896,28.2682
2019-11,25.0719,32.2632
2019-12,28.0405,35.5066
2020-01,26.3,34.7146
2020-02,15.7191,23.2206
2020-03,2.2411,7.5857
2020-04,4.7974,21.2139
2020-05,3.7637,26.5664
2020-06,-0.209,28.3643
2020-07,9.3905,35.3077
2020-08,21.5358,44.0007
2020-09,18.3481,37.8818
2020-10,11.9628,33.7409
2020-11,26.5985,47.6567
2020-12,27.7787,52.3191
2021-01,25.1698,49.9619
2021-02,31.6434,53.2489
2021-03,39.2056,59.3139
2021-04,49.1044,66.7128
2021-05,56.1142,66.7978
2021-06,49.1175,69.5264
2021-07,48.5827,72.593
2021-08,51.8353,76.58
2021-09,44.3529,67.3306
2021-10,51.0837,78.0118
2021-11,44.988,75.6346
2021-12,55.9626,82.5203
2022-01,62.437,71.9304
2022-02,65.9363,65.8784
2022-03,81.1896,71.2418
2022-04,64.8653,55.3862
2022-05,60.5867,55.0693
2022-06,38.1912,41.677
2022-07,51.5496,54.0588
2022-08,41.0313,47.0803
2022-09,33.6694,33.1115
2022-10,47.1687,43.3799
2022-11,58.2263,50.707
2022-12,52.7711,41.5455
2023-01,53.4398,49.9054
2023-02,49.732,45.6128
2023-03,50.9152,50.431
2023-04,59.9171,52.2262
2023-05,55.6437,52.3734
2023-06,64.5915,61.6123
2023-07,69.1277,66.208
2023-08,72.3081,62.8182
2023-09,66.8338,54.4786
2023-10,61.8975,50.5707
2023-11,70.0353,63.7242
2023-12,67.7575,70.5007
2024-01,79.6759,72.5028
2024-02,90.7848,80.6678
2024-03,95.0198,85.7322
2024-04,83.1511,77.499
2024-05,90.4195,85.5862
2024-06,86.081,91.319
2024-07,99.6438,92.6342
2024-08,115.6006,96.3435
2024-09,107.4762,99.6776
2024-10,102.3049,96.8805
2024-11,115.6489,107.4927
2024-12,101.4201,101.7132
2025-01,107.288,106.1747
2025-02,126.1424,102.6383
2025-03,133.2091,90.4787
2025-04,132.3202,88.1311
2025-05,118.4978,99.0692
2025-06,109.6397,108.4087
2025-07,102.7368,112.1972
2025-08,115.1212,115.6241
2025-09,114.0467,122.2463
2025-10,102.4442,126.4867
2025-11,116.8573,125.9202
2025-12,111.2239,125.0582
2026-01,100.4421,126.4133
