Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,rate_vs,shares_vs,Close_vs
2015-01-02,83.06155395507812,83.55811544425116,83.76634558549326,82.43685131055595,83.06155395507812,786500,2000.0,0,2000.0,0.0,0.0,0.0,2000,Monthly invest,0.0,0.0,0.0,0.0,0.0,0.0,83.06155395507812,0.0,HSY,0.0,0.0,157.63282775878906
2015-01-05,82.47691345214844,82.61306536329695,83.29383102943852,82.09247769728316,82.47691345214844,857800,1990.1027703857426,0,10.656847534180088,1979.4459228515625,24.0,-0.4948614807128715,2000,Buy all cash ,0.0,0.0,0.0,0.0,0.0,0.0,83.06155395507812,-0.0449,HSY,-0.4645903015136565,12.0,154.86343383789062
2015-01-06,82.74919891357422,82.77322499722244,83.53408560500276,82.41282152170385,82.74919891357422,1241200,1996.6376214599613,0,10.656847534180088,1985.9807739257812,24.0,-0.16811892700193676,2000,,0.0,0.0,0.0,0.0,0.0,0.0,83.06155395507812,-0.0497,HSY,-1.378286590576161,12.0,153.34060668945312
2015-01-07,84.20683288574219,83.45398307639095,84.4871473539909,83.15765325726964,84.20683288574219,1020600,2031.6208367919926,0,10.656847534180088,2020.9639892578125,24.0,1.5810418395996395,2000,,0.0,0.0,0.0,0.0,0.0,0.0,84.20683288574219,0.0621,HSY,-0.2286772155761562,12.0,155.25662231445312
2015-01-08,85.83270263671875,84.83958544226556,86.09700187641677,84.50320792468625,85.83270263671875,1245800,2070.64171081543,0,10.656847534180088,2059.98486328125,24.0,3.5320855407715124,2000,,0.0,83.6654,0.0,0.0,0.0,0.0,85.83270263671875,0.2533,HSY,1.4079011535644614,12.0,157.9842529296875
2015-01-09,85.22400665283203,85.93680912716765,85.95282448270827,85.05581181246168,85.22400665283203,748300,2056.033007202149,0,10.656847534180088,2045.3761596679688,24.0,2.801650360107444,2000,,0.0,84.0979,0.0,0.0,0.0,0.0,85.83270263671875,0.3121,HSY,0.6096894836425948,12.0,156.65390014648438
2015-01-12,84.43910217285156,85.25601956363737,85.47226653587906,84.3590131910722,84.43910217285156,1123400,2037.1952996826176,0,10.656847534180088,2026.5384521484375,24.0,1.8597649841308739,2000,,0.0,84.4904,0.0,0.0,0.0,0.0,85.83270263671875,0.2714,HSY,-0.0880888366699084,12.0,155.49093627929688
2015-01-13,85.43224334716797,85.24803924759719,85.78464229994596,84.91165565158212,85.43224334716797,1414400,2061.0306878662113,0,10.656847534180088,2050.3738403320312,24.0,3.051534393310562,2000,,0.0,85.027,0.0,0.0,0.0,0.0,85.83270263671875,0.3052,HSY,-0.3341093444824028,12.0,155.08090209960938
2015-01-14,85.7125244140625,85.12786940956333,85.84067165967147,85.00773289440419,85.7125244140625,1499500,2067.75743347168,0,10.656847534180088,2057.1005859375,24.0,3.3878716735840086,2000,,0.0,85.3281,0.0,0.0,0.0,0.0,85.83270263671875,0.3287,HSY,-0.8812834167480355,12.0,154.1689453125
2015-01-15,86.86582946777344,86.36926803214038,87.38641698554406,86.16103791334996,86.86582946777344,1516400,2095.4367547607426,0,10.656847534180088,2084.7799072265625,24.0,4.771837738037132,2000,,0.0,85.5347,0.0,0.0,0.0,0.0,86.86582946777344,0.4095,HSY,-1.744763031005847,12.0,152.7298126220703
2015-01-16,88.62783813476562,87.2663007630952,88.69991639794414,87.22625932035116,88.62783813476562,2532200,2137.724962768555,0,10.656847534180088,2127.068115234375,24.0,6.886248138427753,2000,,0.0,86.2155,0.0,0.0,0.0,0.0,88.62783813476562,0.5657,HSY,-0.6101774597167875,12.0,154.62078857421875
2015-01-20,88.40357971191406,88.90014125923167,89.18045579787925,87.66675117878368,88.40357971191406,1148700,2132.3427606201176,0,10.656847534180088,2121.6859130859375,24.0,6.617138031005876,2000,,0.0,87.0084,0.0,0.0,0.0,0.0,88.62783813476562,0.6098,HSY,-0.3792906188964662,12.0,155.00559997558594
2015-01-21,88.2593994140625,87.26628262856548,88.40356202086025,87.06605712525736,88.2593994140625,1320600,2128.88243347168,0,10.656847534180088,2118.2255859375,24.0,6.444121673584013,2000,,0.0,87.5738,0.0,0.0,0.0,0.0,88.62783813476562,0.5866,HSY,0.107705841064476,12.0,155.8172607421875
2015-01-22,88.72395324707031,88.37956502362711,88.89214199195196,87.50658447489869,88.72395324707031,1151900,2140.0317254638676,0,10.656847534180088,2129.3748779296875,24.0,7.001586273193383,2000,,77.33937451652116,88.1761,0.0,0.0,0.0,0.0,88.72395324707031,0.5664,HSY,1.5384095764160222,12.0,158.20176696777344
