Date,rate_PEG_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Volatility_Adjustment,Expected_Return
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-03-03,1.36,4.16,-2.8,36.96,-16.79,6.7,2.14,0.0
2015-04-29,1.09,3.8,-2.71,37.56,-15.13,6.7,2.22,0.0
2015-06-25,-5.43,3.4,-8.83,0.0,-51.16,6.7,1.84,0.0
2015-08-21,1.6,-2.77,4.37,85.0,68.64,6.7,1.8,-0.0
2015-10-19,6.11,0.19,5.92,90.1,24.03,7.54,1.91,-0.0
2015-12-15,-10.23,0.99,-11.22,0.0,-29.22,7.54,2.07,0.0
2016-02-12,1.38,-8.03,9.41,89.27,20.51,11.89,1.98,-0.0
2016-04-12,11.79,1.51,10.28,89.96,6.36,12.68,1.9,-0.0
2016-06-08,6.85,4.64,2.21,56.19,-28.16,12.68,1.77,0.0
2016-08-04,7.44,6.55,0.89,50.67,-23.77,12.68,1.69,0.02
2016-09-30,0.82,6.55,-5.73,22.97,-5.48,12.68,1.73,0.0
2016-11-28,3.07,8.53,-5.46,24.1,1.38,12.68,1.82,0.0
2017-01-26,4.3,12.65,-8.35,12.01,-10.92,12.68,1.88,0.0
2017-03-24,8.56,14.65,-6.09,21.79,1.54,12.68,1.97,0.0
2017-05-22,6.28,17.16,-10.88,14.05,0.05,12.68,2.06,0.0
2017-07-19,6.11,20.55,-14.44,11.98,5.41,12.68,2.19,0.0
2017-09-14,9.77,21.78,-12.01,19.86,-11.4,12.68,2.39,0.0
2017-11-09,20.24,25.33,-5.09,42.32,4.22,12.68,2.34,0.0
2018-01-09,18.37,32.87,-14.5,11.78,-31.97,12.68,2.35,0.0
2018-03-08,11.45,32.18,-20.73,1.36,-6.72,12.68,2.31,0.0
2018-05-04,23.68,27.87,-4.19,52.03,4.94,12.68,2.07,0.0
2018-07-02,27.63,30.25,-2.62,56.5,15.21,12.68,1.85,0.0
2018-08-28,22.42,38.61,-16.19,17.91,-9.95,12.68,1.89,0.0
2018-10-24,32.9,26.38,6.52,82.49,71.69,12.68,1.92,-0.02
2018-12-21,23.26,14.29,8.97,89.45,25.84,12.68,1.91,-0.02
2019-02-21,33.41,31.47,1.94,69.46,4.72,12.68,1.93,-0.03
2019-04-18,37.49,36.81,0.68,65.88,-11.29,12.68,1.9,-0.03
2019-06-17,41.71,36.1,5.61,79.9,-1.76,12.68,1.77,-0.01
2019-08-13,33.66,37.04,-3.38,54.34,-9.29,12.68,1.66,0.0
2019-10-09,42.25,35.98,6.27,81.77,9.72,12.68,1.58,-0.09
2019-12-05,35.22,45.14,-9.92,35.74,-27.27,12.68,1.54,0.0
2020-02-04,35.54,52.49,-16.95,15.75,-0.88,12.68,1.5,0.0
2020-04-01,-1.92,13.74,-15.66,21.63,5.01,12.68,1.56,0.0
2020-05-29,16.88,40.47,-23.59,10.8,-4.05,12.68,1.61,0.0
2020-07-27,18.84,48.57,-29.73,6.11,1.11,12.68,1.68,0.0
2020-09-22,19.68,51.8,-32.12,22.41,22.41,12.68,1.74,0.0
2020-11-17,34.31,64.37,-30.06,25.98,-16.8,12.68,1.82,0.0
2021-01-15,34.7,70.52,-35.82,16.0,4.69,12.68,2.01,0.0
2021-03-16,32.51,78.86,-46.35,7.71,7.71,12.68,2.25,0.0
2021-05-12,36.91,82.17,-45.26,9.41,-2.88,12.68,2.51,0.0
2021-07-09,36.01,94.62,-58.61,0.14,-1.57,12.68,2.88,0.0
2021-09-03,43.73,101.38,-57.65,3.42,-5.18,12.68,2.31,0.0
2021-11-01,43.77,103.4,-59.63,3.07,-8.57,12.68,2.39,0.0
2021-12-29,47.13,110.49,-63.36,6.26,-1.83,12.68,2.62,0.0
2022-02-25,44.17,91.86,-47.69,25.58,-4.56,12.68,2.47,0.0
2022-04-25,60.85,86.8,-25.95,52.38,25.15,12.68,2.46,0.0
2022-06-22,31.98,63.12,-31.14,45.98,-11.61,12.68,2.75,0.0
2022-08-18,52.62,84.98,-32.36,44.48,11.16,12.68,2.46,0.0
2022-10-14,18.03,53.85,-35.82,40.21,-18.04,12.68,2.4,0.0
2022-12-12,32.66,70.93,-38.27,37.19,6.24,12.68,2.22,0.0
2023-02-09,29.99,73.66,-43.67,30.54,-17.72,12.68,1.97,0.0
2023-04-10,37.66,73.97,-36.31,39.61,6.31,12.68,1.81,0.0
2023-06-06,33.7,81.01,-47.31,26.05,-12.88,12.68,1.65,0.0
2023-08-03,32.53,88.91,-56.38,14.87,-9.16,12.68,1.59,0.0
2023-09-29,23.12,79.47,-56.35,14.9,1.14,12.68,1.54,0.0
2023-11-27,39.11,90.05,-50.94,21.57,-10.85,12.68,1.47,0.0
2024-01-25,23.76,103.14,-79.38,0.0,-1.12,12.68,1.52,0.0
2024-03-22,39.71,115.96,-76.25,6.54,4.16,12.68,1.65,0.0
2024-05-20,59.17,118.46,-59.29,24.36,4.15,12.68,1.7,0.0
2024-07-18,57.81,126.6,-68.79,14.38,0.07,12.68,1.71,0.0
2024-09-13,78.95,129.28,-50.33,33.78,4.85,12.68,1.64,0.0
2024-10-18,90.43,137.88,-47.45,36.81,0.64,12.68,1.66,0.0
