Date,rate_047810_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Volatility_Adjustment,Expected_Return,sma60_ta,sma120_ta,sma240_ta,Mean_Relative_Divergence_240,Percentile_90_Relative_Divergence_240,Difference_Percentile_vs_Mean,Rolling_Divergence_480
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,
2015-03-06,17.2,2.37,14.83,74.11,-23.91,21.17,,0.26927494390243906,,,,,,,
2015-05-06,58.48,2.5,55.98,98.37,1.93,56.96,,0.035071965432098666,,,,,,,
2015-07-02,94.4,2.14,92.26,98.16,21.2,94.05,,0.06620046280991748,,,,,,,
2015-08-28,122.23,-1.87,124.1,88.73,-11.27,140.29,,0.6188013999999998,,,,,,,
2015-10-29,106.83,2.94,103.89,74.65,25.95,140.29,,1.580746544776119,,,,,,,
2015-12-28,85.5,1.03,84.47,61.13,-6.53,140.29,,2.6328070319502075,,,,,,,
2016-03-03,66.31,-1.54,67.85,49.56,-1.92,140.29,,3.424705473309608,,,,,,,
2016-05-02,57.67,2.47,55.2,40.75,3.8,140.29,,3.9524659813084124,,,,,,,
2016-07-01,64.79,3.41,61.38,45.05,8.1,140.29,,3.584657922437673,,,,,,,
2016-08-30,92.85,7.33,85.52,61.86,6.28,140.29,,2.520569878802993,,,,,,,
2016-11-01,41.94,3.83,38.11,28.85,-23.61,140.29,,4.721131629251701,,,,,,,
2016-12-29,52.05,10.32,41.73,31.37,-0.53,140.29,1.5562123431923138,4.4267979962499995,,,,,,,
2017-03-06,32.43,16.55,15.88,13.37,-11.55,140.29,1.6605908438994932,5.715145336041667,,,,,,,
2017-05-04,40.35,16.76,23.59,18.74,4.42,140.29,1.7919294339067178,5.264239493333335,,,,,,,
2017-07-06,31.98,17.41,14.57,12.46,-4.61,140.29,1.7043419803500295,5.3368943374999995,,,,,,,
2017-09-01,9.09,20.67,-11.58,8.96,8.96,140.29,1.6469340253842102,0.0,,,,,,,
2017-11-08,24.82,25.79,-0.97,15.32,6.24,140.29,1.716044534333458,0.0,,,,,,,
2018-01-10,12.41,32.64,-20.23,3.77,-3.94,140.29,1.8496594441528782,0.0,,,,,,,
2018-03-14,15.65,32.75,-17.1,5.65,-2.17,140.29,2.096255977143008,0.0,,,,,,,
2018-05-14,1.9,31.18,-29.28,0.48,-4.87,140.29,2.393419536672019,0.0,,,,,,,
2018-07-16,-5.16,33.8,-38.96,0.0,-0.89,140.29,2.797679074104354,0.0,,,,,,,
2018-09-12,-0.1,38.02,-38.12,3.15,1.09,140.29,2.4362388895758267,0.0,,,,,,,
2018-11-14,-9.04,28.51,-37.55,5.41,3.02,140.29,2.6467808600427145,0.0,,,,,,,
2019-01-16,-8.49,23.83,-32.32,8.2,0.5,140.29,2.0779139713107657,0.0,,,,,,,
2019-03-21,-8.8,34.52,-43.32,2.35,-1.77,140.29,2.254652838975881,0.0,,,,,,,
2019-05-21,-16.17,34.87,-51.04,0.27,-1.54,140.29,2.355261194936042,0.0,,,,,,,
2019-07-19,-8.49,39.47,-47.96,2.14,-0.52,140.29,2.0418880261544747,0.0,,,,,,,
2019-09-19,0.41,40.81,-40.4,6.07,0.25,140.29,1.916214783010315,0.0,,,,,,,
2019-11-18,-4.11,45.41,-49.52,1.33,-2.19,140.29,1.9421501026178627,0.0,,,,,,,
2020-01-17,-13.19,54.14,-67.33,0.0,0.0,140.29,2.041045980722225,0.0,,,,,,,
2020-03-19,-23.39,10.9,-34.29,18.31,18.2,140.29,2.1278967232196395,0.0,,,,,,,
2020-05-21,-20.67,36.05,-56.72,7.82,-2.6,140.29,2.316712428512917,0.0,,,,,,,
2020-07-20,-20.33,49.09,-69.42,1.88,-3.09,140.29,2.172239185268069,0.0,,,,,,,
2020-09-16,-22.85,55.07,-77.92,3.86,3.86,140.29,2.168291528632276,0.0,,,,,,,
2020-11-17,-23.37,64.37,-87.74,0.41,-2.09,140.29,2.1766975162007562,0.0,,,,,,,
2021-01-19,-12.44,71.86,-84.3,3.37,2.32,140.29,2.0996847074967735,0.0,,,,,,,
2021-03-22,2.85,77.89,-75.04,7.36,-0.64,140.29,2.11582798663768,0.0,,,,,,,
2021-05-20,-8.44,86.58,-95.02,0.81,-1.01,140.29,2.0764763431235824,0.0,,,,,,,
2021-07-19,-3.69,89.91,-93.6,2.68,-0.92,140.29,2.132734706967049,0.0,,,,,,,
2021-09-15,-9.26,99.08,-108.34,0.52,0.52,140.29,2.3883498632317997,0.0,,,,,,,
2021-11-17,-11.62,106.91,-118.53,0.69,-0.29,140.29,2.528348751742492,0.0,,,,,,,
2022-01-19,-6.71,98.57,-105.28,6.63,5.79,140.29,2.4372194159576357,0.0,,,,,,,
2022-03-24,9.0,96.91,-87.91,13.24,4.27,140.29,2.5271623688634017,0.0,,,,,,,
2022-05-24,19.34,71.39,-52.05,26.87,9.23,140.29,2.624531658025206,0.0,,,,,,,
2022-07-26,30.06,69.25,-39.19,31.76,1.27,140.29,3.8487374286876648,0.0,,,,,,,
2022-09-26,18.51,57.75,-39.24,31.74,-0.4,140.29,3.328467153284672,0.0,,,,,,,
2022-11-23,14.02,72.78,-58.76,24.32,-1.18,140.29,2.745681986760138,0.0,,,,,,,
2023-01-27,17.87,73.47,-55.6,25.52,-5.14,140.29,2.304994278980006,0.0,,,,,,,
2023-03-28,13.33,68.4,-55.07,25.72,1.34,140.29,2.0703937226173124,0.0,,,,,,,
2023-05-26,23.29,77.98,-54.69,25.87,-6.2,140.29,1.8266512665909713,0.0,,,,,,,
2023-07-27,16.52,90.93,-74.41,18.37,-5.23,140.29,1.642137080142155,0.0,,,,,,,
2023-09-25,17.01,82.17,-65.16,21.89,1.11,140.29,1.5092514620474227,0.0,,,,,,,
2023-11-28,12.93,90.24,-77.31,17.27,-8.28,140.29,1.3970047020843568,0.0,,,,,,,
2024-01-29,21.83,104.49,-82.66,15.23,-1.26,140.29,1.3168089514614658,0.0,,,,,,,
2024-04-01,23.2,115.81,-92.61,11.45,-1.35,140.29,1.3047381336912975,0.0,,,,,,,
2024-06-03,24.08,117.01,-92.93,11.33,-3.09,140.29,1.3322945864689835,0.0,,,,,,,
2024-08-01,32.69,122.06,-89.37,12.68,7.44,140.29,1.420595500855101,0.0,,,,,,,
2024-10-07,24.56,131.04,-106.48,6.17,-1.02,140.29,1.4388363486842108,0.0,,,,,,,
2024-10-11,23.6,135.82,-112.22,3.99,-3.96,140.29,1.4457896902406868,0.0,53094.17,52657.5,51400.42,19.291187499999996,27.891000000000002,8.599812500000006,-71.98302083333333
