Date,rate_EXR_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Volatility_Adjustment,Expected_Return
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-03-03,7.12,4.16,2.96,32.48,-41.55,10.05,1.69,0.2
2015-04-29,5.19,3.8,1.39,17.52,-58.38,10.05,1.82,0.01
2015-06-25,5.52,3.4,2.12,20.73,-58.54,11.95,1.67,0.13
2015-08-21,23.16,-2.77,25.93,100.0,0.0,25.93,1.59,0.07
2015-10-19,27.6,0.19,27.41,90.05,-9.95,30.49,1.48,0.21
2015-12-15,38.95,0.99,37.96,100.0,15.19,37.96,1.4,0.55
2016-02-12,29.31,-8.03,37.34,73.44,-15.31,51.01,1.35,1.43
2016-04-12,45.62,1.51,44.11,86.59,10.82,51.01,1.34,1.66
2016-06-08,43.09,4.64,38.45,75.59,-13.82,51.01,1.33,1.83
2016-08-04,28.32,6.55,21.77,43.18,-37.62,51.01,1.33,6.79
2016-09-30,24.05,6.55,17.5,34.88,-4.04,51.01,1.39,8.57
2016-11-28,10.59,8.53,2.06,6.06,-10.11,51.01,1.48,0.91
2017-01-26,15.07,12.65,2.42,6.75,-7.24,51.01,1.57,0.45
2017-03-24,16.43,14.65,1.78,8.66,-7.5,51.01,1.66,0.22
2017-05-22,20.03,17.16,2.87,16.03,-0.87,51.01,1.77,0.04
2017-07-19,21.67,20.55,1.12,12.98,-1.1,51.01,1.91,0.04
2017-09-14,20.69,21.78,-1.09,9.12,3.97,51.01,2.13,0.0
2017-11-09,31.2,25.33,5.87,21.26,7.24,51.01,2.35,0.08
2018-01-09,27.16,32.87,-5.71,1.06,-16.21,51.01,2.64,0.0
2018-03-08,32.76,32.18,0.58,18.75,11.26,51.01,3.02,0.02
2018-05-04,40.07,27.87,12.2,37.47,8.13,51.01,2.11,0.06
2018-07-02,49.49,30.25,19.24,48.82,2.11,51.01,2.22,0.03
2018-08-28,39.41,38.61,0.8,19.11,-10.6,51.01,1.95,0.01
2018-10-24,31.96,26.38,5.58,27.0,22.31,51.01,2.03,0.01
2018-12-21,38.69,14.29,24.4,57.24,17.69,51.01,2.13,0.01
2019-02-21,37.72,31.47,6.25,28.07,-10.63,51.01,2.04,0.02
2019-04-18,49.65,36.81,12.84,38.66,-4.12,51.01,1.86,0.05
2019-06-17,60.84,36.1,24.74,57.79,3.64,51.01,1.8,0.03
2019-08-13,75.11,37.04,38.07,79.21,23.13,51.01,1.71,0.02
2019-10-09,71.01,35.98,35.03,74.32,7.23,51.01,1.77,0.02
2019-12-05,55.98,45.14,10.84,35.45,-8.05,51.01,1.69,0.6
2020-02-04,59.81,52.49,7.32,29.79,4.56,51.01,1.62,0.36
2020-04-01,35.79,13.74,22.05,53.46,12.64,51.01,1.58,0.6
2020-05-29,39.58,40.47,-0.89,20.23,13.22,51.01,1.66,0.0
2020-07-27,37.37,48.57,-11.2,4.38,-5.18,51.01,1.72,0.0
2020-09-22,54.4,51.8,2.6,25.59,11.51,51.01,1.7,0.32
2020-11-17,68.0,64.37,3.63,27.17,-4.57,51.01,1.73,0.06
2021-01-15,59.2,70.52,-11.32,8.89,3.26,51.01,1.86,0.0
2021-03-16,89.18,78.86,10.32,40.52,32.25,51.01,1.96,0.06
2021-05-12,99.14,82.17,16.97,50.24,9.5,51.01,2.0,0.03
2021-07-09,141.7,94.62,47.08,94.26,20.54,51.01,2.08,0.01
2021-09-03,168.51,101.38,67.13,100.0,6.01,67.13,2.31,0.01
2021-11-01,171.38,103.4,67.98,98.6,27.75,69.19,2.29,0.01
2021-12-29,209.31,110.49,98.82,100.0,0.28,98.82,2.13,0.02
2022-02-25,164.58,91.86,72.72,75.61,1.74,101.79,1.99,0.05
2022-04-25,182.22,86.8,95.42,93.09,19.44,103.79,1.79,0.03
2022-06-22,121.44,63.12,58.32,62.48,-3.49,103.79,1.66,0.73
2022-08-18,184.83,84.98,99.85,96.75,30.81,103.79,1.54,0.43
2022-10-14,113.6,53.85,59.75,63.66,-15.45,103.79,1.44,3.94
2022-12-12,109.5,70.93,38.57,46.18,-0.04,103.79,1.37,15.07
2023-02-09,117.69,73.66,44.03,50.69,8.62,103.79,1.34,9.09
2023-04-10,114.64,73.97,40.67,47.92,3.1,103.79,1.34,16.5
2023-06-06,86.43,81.01,5.42,18.83,-20.09,103.79,1.4,4.65
2023-08-03,80.56,88.91,-8.35,7.47,-12.84,103.79,1.52,0.0
2023-09-29,57.12,79.47,-22.35,3.15,1.39,103.79,1.7,0.0
2023-11-27,54.58,90.05,-35.47,7.97,5.4,103.79,1.81,0.0
2024-01-25,74.04,103.14,-29.1,12.18,-10.78,103.79,1.94,0.0
2024-03-22,65.48,115.96,-50.48,0.97,0.28,103.79,2.02,0.0
2024-05-20,74.25,118.46,-44.21,5.73,4.65,103.79,2.28,0.0
2024-07-18,91.32,126.6,-35.28,12.51,4.35,103.79,2.55,0.0
2024-09-13,101.63,129.28,-27.65,17.31,5.51,103.79,2.3,0.0
2024-10-22,88.62,136.39,-47.77,4.66,-12.84,103.79,2.47,0.0
