Date,rate_SYM_5D,rate_VOO_20D
2021-03,0.0,1.7171
2021-04,1.9127,8.1636
2021-05,-2.9859,4.8734
2021-06,-3.041,7.2543
2021-07,-3.9518,10.0276
2021-08,-3.9733,13.5458
2021-09,-2.6545,6.1713
2021-10,-0.7866,13.242
2021-11,-0.7161,11.104
2021-12,-0.7268,14.0832
2022-01,-2.4868,5.4633
2022-02,-1.8783,-1.7517
2022-03,-1.3999,2.2391
2022-04,-1.2394,-5.651
2022-05,-5.4783,-4.378
2022-06,24.9629,-17.7624
2022-07,62.0037,-7.6228
2022-08,49.6641,-9.4106
2022-09,47.0454,-11.9633
2022-10,52.0242,-6.2114
2022-11,41.9944,0.3791
2022-12,40.0223,-5.5868
2023-01,63.943,0.2122
2023-02,70.6639,-3.2832
2023-03,102.769,0.282
2023-04,145.2095,1.9993
2023-05,171.4974,2.2476
2023-06,237.8404,10.4969
2023-07,227.8508,14.6484
2023-08,129.0748,10.4141
2023-09,93.9591,3.2464
2023-10,105.4153,-0.0787
2023-11,191.6786,11.559
2023-12,162.7364,17.6243
2024-01,146.8775,14.1282
2024-02,122.3659,21.1832
2024-03,134.6245,25.6161
2024-04,121.0724,19.929
2024-05,113.0053,24.2748
2024-06,105.3307,29.2371
2024-07,82.8327,28.3494
2024-08,40.4301,31.3026
2024-09,65.1631,30.4163
2024-10,88.5558,28.2944
2024-11,31.5552,37.0604
2024-12,27.6418,31.9182
2025-01,32.4474,32.7382
2025-02,25.9403,31.4883
2025-03,14.3725,26.3554
2025-04,21.7231,22.2878
2025-05,61.0525,31.4365
2025-06,88.0928,39.2424
2025-07,144.0817,42.5092
2025-08,120.5063,45.4486
2025-09,139.9312,51.0142
2025-10,186.8825,54.6301
2025-11,184.7471,50.0985
2025-12,171.2908,49.3536
2026-01,164.6106,50.7407
