Date,rate_AMAT_5D,rate_VOO_20D
2021-01,203.9299263856282,0.3250671386718751
2021-02,268.83715693716056,2.34679408264159
2021-03,312.8619793804633,5.671836994171143
2021-04,306.001001384989,9.776266342163076
2021-05,319.2184012969641,8.824594431559241
2021-06,328.0105583010384,9.923496228899264
2021-07,316.59026264458294,11.220390333175668
2021-08,299.23560951873986,13.138070302327463
2021-09,276.86234015618885,6.6582680923462085
2021-10,296.49449179353485,13.187036074551685
2021-11,323.91906784621307,11.24503535079956
2021-12,349.0869695665304,15.354668931227469
2022-01,290.7797104296185,8.259102620806013
2022-02,276.9472062541973,4.538209330240905
2022-03,267.1495002548098,8.261828957557704
2022-04,204.91187357999505,-1.4865988661822205
2022-05,222.4211711726348,-1.1953355992635029
2022-06,148.23558531709295,-9.161567174811102
2022-07,187.3301520149449,-0.4633598693847718
2022-08,153.89447104883195,-4.514848007202154
2022-09,119.72560401166244,-12.93670882762562
2022-10,135.35955808648063,-5.4704966225002085
2022-11,191.08583380850652,-0.1091188799540177
2022-12,156.90751984488597,-5.752963748779305
2023-01,192.2957682663713,0.3446049687312102
2023-02,203.1261551874768,-2.1988853307653438
2023-03,218.39249757240773,1.500284824371334
2023-04,191.00559530013155,3.0312860854576296
2023-05,241.84412101794692,3.420702335103354
2023-06,268.10394391599215,9.956496054864717
2023-07,283.3491258269503,13.21051608467102
2023-08,284.4093562589055,11.005560274991122
2023-09,245.95732875935988,5.477151271595659
2023-10,228.5083542179259,3.0422143367222376
2023-11,270.1315765944984,12.26813552941216
2023-12,297.79947722615674,17.014597925959418
2024-01,300.5649207915956,18.44253671626041
2024-02,389.0073912346341,24.023671745887167
2024-03,396.5903058085144,27.407257058334345
2024-04,374.9435803815833,21.71567845414325
2024-05,411.6082427137651,27.2203034439087
2024-06,457.401342400298,31.043345429886216
2024-07,397.6558726501834,31.82547302627564
2024-08,360.4004663656879,34.339754973347965
2024-09,368.5056160238597,36.55987717835799
2024-10,318.28299115096416,34.5246023858253
2024-11,300.83350471144115,41.5932900864283
2024-12,270.7737015419676,37.47862661618605
2025-01,302.95818817423606,37.388482211608896
