Date,rate_PFE_5D,rate_VOO_20D
2015-01,0.0,0.0
2015-02,0.07,-0.35
2015-03,10.73,4.6
2015-04,9.24,1.94
2015-05,8.36,4.33
2015-06,10.68,4.73
2015-07,7.82,3.2
2015-08,15.55,4.28
2015-09,1.01,-4.77
2015-10,2.52,-3.9
2015-11,12.74,5.1
2015-12,8.91,5.26
2016-01,3.47,1.0
2016-02,-2.27,-2.66
2016-03,-1.7,-0.37
2016-04,-1.69,4.54
2016-05,7.26,5.02
2016-06,14.51,6.16
2016-07,17.06,6.47
2016-08,22.59,9.95
2016-09,14.79,10.1
2016-10,11.38,9.72
2016-11,2.72,7.28
2016-12,5.01,11.52
2017-01,10.06,14.95
2017-02,6.64,16.07
2017-03,15.77,22.08
2017-04,15.04,20.22
2017-05,13.39,21.74
2017-06,10.77,23.92
2017-07,14.42,23.82
2017-08,11.83,26.18
2017-09,15.8,26.28
2017-10,22.81,28.95
2017-11,19.9,31.39
2017-12,24.55,34.66
2018-01,24.68,37.37
2018-02,26.98,43.51
2018-03,22.68,36.23
2018-04,20.53,31.29
2018-05,21.57,34.9
2018-06,25.53,39.04
2018-07,25.62,38.51
2018-08,38.96,42.8
2018-09,43.66,47.04
2018-10,53.35,48.31
2018-11,50.92,38.82
2018-12,59.76,41.43
2019-01,49.91,27.27
2019-02,49.6,37.11
2019-03,50.93,42.13
2019-04,48.8,45.23
2019-05,41.34,47.96
2019-06,46.3,38.91
2019-07,52.41,50.0
2019-08,34.21,49.31
2019-09,26.57,46.99
2019-10,24.0,48.59
2019-11,34.14,54.8
2019-12,34.87,57.24
2020-01,37.62,64.28
2020-02,33.03,63.57
2020-03,23.55,55.55
2020-04,12.39,24.36
2020-05,33.01,42.6
2020-06,26.39,53.87
2020-07,20.13,56.74
2020-08,37.65,65.47
2020-09,32.18,77.08
2020-10,30.17,69.51
2020-11,29.49,65.67
2020-12,49.69,83.19
2021-01,39.57,84.94
2021-02,37.0,88.1
2021-03,28.76,94.26
2021-04,38.51,99.84
2021-05,51.69,108.06
2021-06,47.79,108.2
2021-07,51.57,113.63
2021-08,69.56,116.53
2021-09,77.14,122.92
2021-10,64.81,114.21
2021-11,67.17,126.35
2021-12,110.67,120.97
2022-01,117.63,134.44
2022-02,104.86,121.58
2022-03,76.19,109.79
2022-04,98.06,121.01
2022-05,85.2,101.76
2022-06,101.73,98.81
2022-07,100.97,85.35
2022-08,95.44,99.22
2022-09,79.66,91.68
2022-10,69.71,77.7
2022-11,84.15,85.97
2022-12,97.11,96.53
2023-01,97.31,84.1
2023-02,70.45,98.08
2023-03,55.47,89.89
2023-04,59.69,97.94
2023-05,51.17,99.66
2023-06,47.93,102.17
2023-07,42.39,113.13
2023-08,39.69,118.46
2023-09,40.16,115.46
2023-10,32.8,104.28
2023-11,20.27,101.57
2023-12,17.13,118.35
2024-01,13.91,124.96
2024-02,10.84,132.44
2024-03,9.73,143.0
2024-04,11.42,147.55
2024-05,10.53,136.52
2024-06,14.47,148.79
2024-07,11.06,157.23
2024-08,18.82,155.35
2024-09,12.23,158.98
2024-10,13.19,166.79
2024-11,11.52,167.14
