Date,rate_WMT_5D,rate_VOO_20D
2015-01,-1.2737453579902525,-1.523685241699202
2015-02,-2.5047725019454847,3.8193078918457024
2015-03,-3.3972142488956414,0.990136699676536
2015-04,-7.418071850395192,1.7522512176513685
2015-05,-10.349724318027487,2.4533930333455523
2015-06,-13.11548481627872,0.0479358825683728
2015-07,-10.396799432873715,2.024262540817268
2015-08,-17.895782507472557,-4.468817828708216
2015-09,-15.87160057172774,-6.132016032409659
2015-10,-24.425130526022475,2.2884659562544485
2015-11,-20.3184344651699,2.3917711753845383
2015-12,-14.715423689108608,0.3309214747502453
2016-01,-6.602173758438646,-4.520262820652532
2016-02,-6.336697914187095,-4.446781919860832
2016-03,-2.219150625944122,2.193157212734232
2016-04,-4.47914514973583,2.353156846439153
2016-05,2.0159142665333363,3.9318941663106566
2016-06,5.129121766491962,4.021011055795776
2016-07,4.790329008626948,7.586340729141239
2016-08,2.99726475007196,7.33484258270265
2016-09,3.728620706644925,7.009794531041935
2016-10,0.5372673611019119,4.799582829019311
2016-11,1.1256409998734895,8.481906065940858
2016-12,-0.1218687446594146,10.370920263977055
2017-01,-3.547995909177326,11.88155111371556
2017-02,2.6534948632982225,15.731045932628508
2017-03,4.993092533520294,15.255121203013845
2017-04,9.322262097457369,15.904068405414453
2017-05,14.710249745273618,16.961084667714466
2017-06,9.93017262074256,17.098054889555915
2017-07,15.85802533596754,18.94404096722604
2017-08,13.283982615442014,18.69252619656652
2017-09,12.968666926692515,20.535177622402426
2017-10,25.77617762982507,22.706197330365875
2017-11,39.2291364906894,25.777907330618977
2017-12,41.05016108804136,26.67514171229184
2018-01,51.086774005337766,32.957282676496
2018-02,26.4889618062484,27.21376460637803
2018-03,25.12824758989813,23.436315518379235
2018-04,23.886177976166344,23.339008881173505
2018-05,15.805566945325776,25.72496159635273
2018-06,19.76249360596858,26.034246581676413
2018-07,24.33317628680578,29.887699894645014
2018-08,33.77730616703034,33.36152289326986
2018-09,30.33806424321299,33.39100117807805
2018-10,38.46378548129064,23.59530095770006
2018-11,34.03663340572518,25.390527587731683
2018-12,27.866831725684985,13.827177585368268
2019-01,30.95758932249071,22.51016141555786
2019-02,34.68086622978661,26.011166413101503
2019-03,32.75900117182733,27.89913918553865
2019-04,39.31901682873493,32.47432489258388
2019-05,37.447987536695294,23.51642420917088
2019-06,48.9481323217392,31.66976932331433
2019-07,47.915880520054266,32.99007533713751
2019-08,53.0017462945068,30.249565381100307
2019-09,57.95570381373374,32.28171777199056
2019-10,55.09911449333775,34.61590494408042
2019-11,56.57294195256235,38.86553966026307
2019-12,56.00464183996545,42.3413908777706
2020-01,49.41590200271915,41.58745811696208
2020-02,39.78815151064738,29.508194150773328
2020-03,47.36609635896982,12.93455426967145
2020-04,56.854640648196295,27.17013909665622
2020-05,59.88929375360952,32.78020525834056
2020-06,53.50441811992874,34.70794942269397
2020-07,64.97278194821583,42.0614065658345
2020-08,76.72537222642487,51.27180529818327
2020-09,76.87982200806482,44.86270090015958
2020-10,74.30041209681606,40.55199781896028
2020-11,90.77202833478984,55.28256673844656
2020-12,79.46116225442495,60.28716186512988
2021-01,73.82983880294339,57.85632673428511
2021-02,59.84925448383333,61.39799077239992
2021-03,66.96715880603541,67.89235397107977
2021-04,71.0815796054865,75.82075006232326
2021-05,73.4003405779692,76.0063162596287
2021-06,71.24197542971602,78.98795078451424
2021-07,72.20892247523072,82.33947241315845
2021-08,78.6387417455014,86.66184405244428
2021-09,67.21579863958826,76.94594213895101
2021-10,78.40784856546934,88.36379351613608
2021-11,67.0267604798476,85.92711431748529
2021-12,71.74863941216192,93.3384317785824
2022-01,65.14500549898594,82.16467968758872
2022-02,58.9151265723678,75.81708065734514
2022-03,75.01450917711041,81.59432226917961
2022-04,78.9094488948758,64.82897342098966
2022-05,50.23316252792147,64.51901414159138
2022-06,41.50073695051803,50.284711485558816
2022-07,53.17966979767965,63.48664304277172
2022-08,53.84339060718781,56.09574627119498
2022-09,49.955357227416776,41.21452555368301
2022-10,63.94786344296306,52.14874359941986
2022-11,74.85536626824738,59.935056650082274
2022-12,62.54391107391084,50.18904685163989
2023-01,64.262410498006,59.08149689678272
2023-02,61.62473099696035,54.50875660451256
2023-03,67.72755924443246,59.66275174354556
2023-04,71.03089807356466,61.58822180696997
2023-05,66.33009262886236,61.75458077142753
2023-06,77.3073393658851,71.61439725094398
2023-07,79.56313326893405,76.5376779135924
2023-08,82.527114368248,72.94895415961855
2023-09,78.7546784861313,64.08346267736182
2023-10,81.88625142745438,59.93558071222041
2023-11,72.56048795662105,73.96764731661479
2023-12,74.70857901859284,81.20261621380729
2024-01,82.40398012286967,83.35971645792182
2024-02,93.26964568938008,92.09075370383049
2024-03,98.22444014517752,97.5256982824462
2024-04,94.66373242411152,88.7824340978977
2024-05,115.51440399093798,97.43897883893736
2024-06,120.86521568488244,103.58993964810578
2024-07,122.8411091775648,105.03832261966836
2024-08,150.2355722447664,109.02859959365972
2024-09,160.30504680786294,112.64222713528648
2024-10,162.79621779508352,109.69534504629182
2024-11,195.08337448397475,121.05942099933624
2024-12,196.97719855663996,114.28373587332482
