Date,rate_QBTS_5D,rate_VOO_20D
2020-12,0.0,3.7445
2021-01,0.0,1.3874
2021-02,-3.9919,4.6743
2021-03,-8.007,10.7394
2021-04,-5.7862,18.1382
2021-05,-5.7263,18.2233
2021-06,-4.2573,20.9519
2021-07,-4.987,24.0184
2021-08,-4.2426,28.0055
2021-09,-3.8486,18.756
2021-10,-3.0405,29.4372
2021-11,-2.2157,27.0601
2021-12,-2.6418,33.9458
2022-01,-2.6757,23.3559
2022-02,-1.5329,17.3039
2022-03,-1.5632,22.6672
2022-04,-1.4935,6.8117
2022-05,-1.5407,6.4948
2022-06,-1.1891,-6.8976
2022-07,-12.6279,5.4842
2022-08,-32.9102,-1.4942
2022-09,-18.598,-15.463
2022-10,-69.4413,-5.1946
2022-11,-73.0979,2.1325
2022-12,-81.5918,-7.0291
2023-01,-84.0198,1.3309
2023-02,-89.2013,-2.9618
2023-03,-86.2868,1.8565
2023-04,-87.5931,3.6517
2023-05,-60.3996,3.7988
2023-06,-31.8298,13.0378
2023-07,-30.5167,17.6334
2023-08,-61.4747,14.2437
2023-09,-66.2732,5.9041
2023-10,-73.2928,1.9962
2023-11,-67.5827,15.1496
2023-12,-63.5545,21.9262
2024-01,-65.004,23.9283
2024-02,-19.9544,32.0932
2024-03,-10.9301,37.1577
2024-04,-39.9534,28.9245
2024-05,-39.9044,37.0117
2024-06,-48.3726,42.7445
2024-07,-53.5701,44.0596
2024-08,-51.7453,47.7689
2024-09,-53.0352,51.103
2024-10,-47.8683,48.3059
2024-11,51.7151,58.9181
2024-12,319.3324,53.1387
2025-01,196.5293,57.6002
2025-02,169.6767,54.0638
2025-03,269.3295,41.9041
2025-04,230.7332,39.5565
2025-05,670.3873,50.4947
2025-06,578.5511,59.8342
2025-07,683.3785,63.6226
2025-08,599.9679,67.0495
2025-09,1007.3048,73.6718
2025-10,1532.1113,77.9122
2025-11,881.1563,77.3456
2025-12,1013.3966,76.4837
2026-01,991.2569,77.8388
