Date,rate_DLTR_5D,rate_VOO_20D
2016-01,3.0946,-0.2222
2016-02,-4.1511,-0.538
2016-03,-1.0098,5.4876
2016-04,-4.3413,4.3009
2016-05,8.6081,5.0489
2016-06,9.8812,4.5571
2016-07,9.3123,7.6935
2016-08,4.3516,6.9533
2016-09,1.364,6.2375
2016-10,-3.1538,3.7854
2016-11,13.3103,7.1677
2016-12,-1.561,8.807
2017-01,-1.6585,9.8558
2017-02,-2.1665,13.2781
2017-03,0.2495,12.5186
2017-04,5.7639,12.862
2017-05,-0.9041,13.671
2017-06,-10.2573,13.5989
2017-07,-6.9836,15.144
2017-08,3.025,14.7216
2017-09,12.013,16.3433
2017-10,17.0541,18.2694
2017-11,30.5587,21.041
2017-12,35.0071,21.7242
2018-01,42.941,27.4695
2018-02,30.3536,19.3615
2018-03,26.3995,15.7832
2018-04,26.753,14.8108
2018-05,8.4698,17.0438
2018-06,11.1183,17.3176
2018-07,18.9783,20.8062
2018-08,4.4638,23.987
2018-09,5.5122,23.9821
2018-10,8.8248,13.9627
2018-11,5.2088,14.891
2018-12,9.3406,4.3997
2019-01,16.9036,12.4657
2019-02,15.883,15.764
2019-03,25.5271,17.5172
2019-04,32.3339,21.7565
2019-05,20.1438,15.9825
2019-06,26.4868,19.9006
2019-07,19.1947,21.1479
2019-08,18.6398,18.2717
2019-09,32.8354,20.1285
2019-10,29.4385,20.2617
2019-11,4.9965,24.1404
2019-12,7.8015,27.2792
2020-01,-0.344,26.2131
2020-02,-5.3231,19.7543
2020-03,-12.7847,15.6821
2020-04,-5.1814,30.2617
2020-05,8.7014,35.8523
2020-06,-0.5854,35.1239
2020-07,-2.8275,39.5012
2020-08,-1.2926,48.4406
2020-09,-2.6614,40.57
2020-10,-3.8841,35.226
2020-11,11.0606,43.8337
2020-12,8.2166,48.4074
2021-01,2.5829,45.5769
2021-02,-3.959,42.6135
2021-03,4.4531,44.2303
2021-04,4.7467,51.092
2021-05,-1.8657,46.9262
2021-06,-2.1947,49.4935
2021-07,-1.8896,52.3787
2021-08,-10.9482,56.0652
2021-09,-11.9796,48.0452
2021-10,-1.2359,55.9789
2021-11,22.6265,53.5023
2021-12,22.2424,55.7997
2022-01,20.2075,46.4229
2022-02,27.4022,38.1146
2022-03,43.1687,42.2235
2022-04,37.4338,34.5061
2022-05,34.6506,35.9861
2022-06,30.3224,21.1493
2022-07,37.7999,31.8499
2022-08,12.6827,26.0177
2022-09,12.8152,14.2613
2022-10,31.1212,23.1597
2022-11,24.8648,29.6167
2022-12,22.3774,24.435
2023-01,29.5988,29.2005
2023-02,25.6346,25.863
2023-03,22.5104,29.3114
2023-04,30.6211,31.0157
2023-05,14.3534,31.2861
2023-06,21.4451,39.4108
2023-07,30.3133,43.5156
2023-08,17.0572,39.1934
2023-09,12.3498,32.2074
2023-10,17.3102,28.9933
2023-11,30.2695,40.4062
2023-12,49.3194,46.3831
2024-01,36.8897,48.2211
2024-02,53.2053,55.3929
2024-03,38.5865,59.893
2024-04,22.736,54.279
2024-05,22.1753,58.6437
2024-06,10.384,63.681
2024-07,7.7684,62.4028
2024-08,-12.7328,65.2032
2024-09,-27.1479,63.6745
2024-10,-32.7923,61.537
2024-11,-25.5999,70.3476
2024-12,-21.5481,65.7569
2025-01,-23.0428,69.5588
2025-02,-23.365,66.3116
2025-03,-22.1303,60.3346
2025-04,-14.9548,59.0646
2025-05,-5.9983,68.4722
2025-06,3.1323,76.5005
2025-07,18.1533,79.8502
2025-08,17.5458,82.8659
2025-09,13.7807,88.5978
2025-10,19.397,92.3152
2025-11,33.274,91.9565
2025-12,47.6418,91.3383
2026-01,67.4241,93.2969
