Date,rate_AMGN_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-6.6519,-0.6039
2016-03,-0.96,5.2168
2016-04,3.8454,3.9893
2016-05,3.3141,4.6886
2016-06,-1.0006,4.1237
2016-07,11.6322,7.1795
2016-08,9.3347,6.3603
2016-09,6.1778,5.6281
2016-10,-10.6815,3.196
2016-11,-7.2416,6.7601
2016-12,-5.2085,8.3626
2017-01,1.5098,10.2536
2017-02,14.6265,13.6522
2017-03,5.5493,12.7005
2017-04,4.6695,12.9818
2017-05,-0.0437,13.693
2017-06,10.7791,13.5288
2017-07,11.5891,15.0481
2017-08,13.7515,14.5515
2017-09,18.5116,16.1037
2017-10,10.5318,17.9557
2017-11,11.021,20.6805
2017-12,9.3767,21.3029
2018-01,16.9836,28.0338
2018-02,15.6709,22.1441
2018-03,6.7388,18.3021
2018-04,9.055,18.0902
2018-05,12.836,20.2208
2018-06,15.3617,20.3415
2018-07,22.2218,23.8746
2018-08,24.3009,27.0072
2018-09,28.9136,27.7347
2018-10,19.0344,18.1437
2018-11,28.7005,19.7418
2018-12,19.5965,8.5778
2019-01,14.9688,17.1263
2019-02,17.2168,20.3748
2019-03,16.6288,22.0514
2019-04,9.6066,26.2651
2019-05,2.5855,17.5943
2019-06,13.1595,25.308
2019-07,14.1872,26.4355
2019-08,28.1561,23.7232
2019-09,18.939,26.1617
2019-10,30.5508,28.2707
2019-11,43.684,32.1761
2019-12,46.5234,35.3247
2020-01,31.3368,35.2749
2020-02,21.7418,23.5454
2020-03,22.8615,7.7105
2020-04,44.3805,21.425
2020-05,38.7614,26.7132
2020-06,41.674,28.4357
2020-07,45.9059,35.3124
2020-08,51.0244,43.9511
2020-09,50.5355,37.6938
2020-10,27.7183,33.4637
2020-11,31.0729,47.2943
2020-12,35.0693,51.8455
2021-01,41.8261,50.305
2021-02,32.4556,53.4604
2021-03,45.828,59.4101
2021-04,39.6716,66.6882
2021-05,38.9743,66.6274
2021-06,41.7293,69.2184
2021-07,39.7265,72.1455
2021-08,30.8793,75.992
2021-09,22.956,66.6118
2021-10,19.3003,77.1553
2021-11,15.3447,74.6519
2021-12,30.1602,81.397
2022-01,30.9354,70.7122
2022-02,31.1912,64.6001
2022-03,39.5773,69.8532
2022-04,34.0362,54.0273
2022-05,48.1221,53.6333
2022-06,39.7602,40.2902
2022-07,41.5691,52.5094
2022-08,38.0297,45.531
2022-09,28.9291,31.5965
2022-10,54.1019,41.7445
2022-11,63.5761,48.9584
2022-12,49.2583,39.838
2023-01,43.4468,48.5632
2023-02,32.3924,44.2258
2023-03,37.6592,48.9578
2023-04,36.0307,50.6836
2023-05,25.994,50.7741
2023-06,26.5155,59.884
2023-07,33.0596,64.3798
2023-08,46.4226,60.953
2023-09,52.9183,52.6248
2023-10,44.9126,48.7132
2023-11,53.4361,61.6976
2023-12,63.1971,68.3392
2024-01,78.0466,71.0275
2024-02,55.6371,79.0476
2024-03,60.8814,83.99
2024-04,54.3717,75.7344
2024-05,72.9191,83.6813
2024-06,75.8232,89.2836
2024-07,86.2189,90.5002
2024-08,87.3066,94.0822
2024-09,80.8361,98.2932
2024-10,78.8516,95.412
2024-11,58.566,105.8418
2024-12,45.588,99.9875
2025-01,59.4193,105.351
2025-02,72.7042,101.7087
2025-03,73.8904,89.4719
2025-04,61.7092,87.0451
2025-05,60.9219,97.8575
2025-06,55.3356,107.0685
2025-07,63.5551,110.7404
2025-08,60.1778,114.0337
2025-09,57.1394,121.6081
2025-10,65.4538,125.7153
2025-11,92.1355,125.0226
2025-12,81.2734,124.0393
2026-01,94.5678,128.5087
