Date,rate_SYF_5D,rate_VOO_20D
2016-01,-0.6874,0.7475
2016-02,-7.1038,0.3631
2016-03,-0.1747,6.1635
2016-04,5.9497,4.8532
2016-05,6.639,5.5092
2016-06,-14.3805,4.9516
2016-07,-3.7431,8.0529
2016-08,-3.1302,7.2728
2016-09,-2.2483,6.525
2016-10,0.117,4.0384
2016-11,21.4869,7.3996
2016-12,25.5681,9.0221
2017-01,22.2986,10.0556
2017-02,22.2144,13.4646
2017-03,14.675,12.6934
2017-04,-7.6803,13.0265
2017-05,-9.8506,13.8264
2017-06,0.5733,13.7461
2017-07,2.167,15.2839
2017-08,4.0236,14.8547
2017-09,4.6937,16.4705
2017-10,9.6813,18.391
2017-11,20.7094,21.1572
2017-12,28.7564,21.8357
2018-01,31.0209,27.5767
2018-02,18.0581,19.4887
2018-03,8.1763,15.9328
2018-04,6.6122,14.9578
2018-05,11.4693,17.1859
2018-06,7.004,17.444
2018-07,-7.5448,20.9505
2018-08,1.9719,24.1299
2018-09,-0.0176,24.1209
2018-10,-7.4824,14.1084
2018-11,-13.9818,15.0224
2018-12,-21.957,4.4886
2019-01,0.5306,12.5608
2019-02,9.8811,15.8612
2019-03,6.7787,17.612
2019-04,12.91,21.8639
2019-05,11.211,16.0646
2019-06,12.5417,19.9808
2019-07,16.1214,21.2252
2019-08,10.6236,18.3328
2019-09,13.7318,20.1882
2019-10,14.4899,20.3259
2019-11,21.4643,24.2116
2019-12,16.5748,27.349
2020-01,4.635,26.2815
2020-02,-5.5773,19.8213
2020-03,-44.8979,15.7478
2020-04,-30.9933,30.3559
2020-05,-32.5306,35.9447
2020-06,-20.8851,35.2146
2020-07,-23.9493,39.5903
2020-08,-14.5688,48.5304
2020-09,-12.5626,40.6583
2020-10,-15.7768,35.284
2020-11,-9.6448,43.8758
2020-12,-3.3001,48.4488
2021-01,-2.7266,45.6177
2021-02,2.3871,42.6536
2021-03,3.7175,44.2697
2021-04,8.378,51.1309
2021-05,17.3146,46.9645
2021-06,15.23,49.5312
2021-07,12.2739,52.4159
2021-08,18.5889,56.1018
2021-09,12.5874,48.0813
2021-10,7.2938,56.0144
2021-11,3.2523,53.5374
2021-12,3.9598,55.8343
2022-01,-0.6203,46.4571
2022-02,-6.8855,38.1483
2022-03,-15.614,42.2675
2022-04,-10.0438,34.5494
2022-05,-15.8842,36.0289
2022-06,-30.8318,21.1749
2022-07,-18.5804,31.8752
2022-08,-20.1464,26.0562
2022-09,-31.0824,14.2993
2022-10,-19.0097,23.2183
2022-11,-18.3942,29.7022
2022-12,-20.2601,24.5108
2023-01,-10.7538,29.2932
2023-02,-13.0308,25.9536
2023-03,-16.2733,29.4041
2023-04,-15.0537,31.1074
2023-05,-9.9806,31.3785
2023-06,-1.3117,39.5074
2023-07,-2.5672,43.6112
2023-08,-5.5325,39.288
2023-09,-10.6483,32.2789
2023-10,-19.4307,29.0551
2023-11,-8.8201,40.4823
2023-12,7.6515,46.4584
2024-01,9.4549,48.2956
2024-02,16.9057,55.4714
2024-03,21.8829,59.9707
2024-04,18.129,54.3559
2024-05,18.08,58.7198
2024-06,26.9964,63.7565
2024-07,35.3785,62.4775
2024-08,40.115,65.2821
2024-09,30.9593,63.7333
2024-10,44.4458,61.5953
2024-11,52.6054,70.4058
2024-12,46.4817,65.7986
2025-01,54.9102,69.6123
2025-02,36.5024,66.3646
2025-03,19.0303,60.3871
2025-04,20.8019,59.1236
2025-05,34.5565,68.5307
2025-06,47.9029,76.5585
2025-07,53.0538,79.9077
2025-08,61.304,82.9229
2025-09,49.6479,88.6543
2025-10,56.2128,92.3724
2025-11,62.6323,92.0168
2025-12,74.82,91.3981
2026-01,63.0485,93.9446
