Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,MRI_RISK,rate_vs,shares_vs,Close_vs
2016-01-04,433.0910034179688,430.0610046386719,434.5169982910156,429.0840148925781,433.0910034179688,38477500,2000.0,0,2000.0,0.0,0,0.0,2000,"Monthly invest 50.0% of total investment ($1,000.00)",,,,,,,433.0910034179688,-0.0582,BTC-USD,0.5631,Hold,0.5631,0.0,0.0,184.3099975585937
2016-01-05,431.9599914550781,433.0690002441406,434.1820068359375,429.6759948730469,431.9599914550781,34522600,2000.0,0,2000.0,0.0,0,0.0,2000,,,432.5668,,,,,433.0910034179688,-0.0634,BTC-USD,0.535,Hold,0.535,0.0,0.0,184.63999938964844
2016-01-06,429.1050109863281,431.8559875488281,431.8559875488281,426.3410034179688,429.1050109863281,34042500,2000.0,0,2000.0,0.0,0,0.0,2000,,,431.521,,,,,433.0910034179688,-0.105,BTC-USD,0.4846,Hold,0.4846,0.0,0.0,182.3000030517578
2016-01-07,458.0480041503906,430.010986328125,458.7659912109375,429.0769958496094,458.0480041503906,87562200,2000.0,0,2000.0,0.0,0,0.0,2000,,,436.443,,,,,458.0480041503906,0.3004,BTC-USD,0.5489,Hold,0.5489,0.0,0.0,177.86000061035156
2016-01-08,453.2300109863281,457.5379943847656,462.9339904785156,447.93798828125,453.2300109863281,56993000,2000.0,0,2000.0,0.0,0,0.0,2000,,,441.0868,,,,,458.0480041503906,0.4662,BTC-USD,0.5867,Hold,0.5867,0.0,0.0,175.97000122070312
2016-01-09,447.6109924316406,453.3829956054688,454.6400146484375,446.8890075683594,447.6109924316406,32278000,2000.0,0,2000.0,0.0,0,0.0,2000,,,443.9908,,,,,458.0480041503906,0.4621,BTC-USD,0.5867,Hold,0.5867,0.0,0.0,175.97000122070312
2016-01-10,447.9909973144531,448.2380065917969,448.3089904785156,440.35101318359375,447.9909973144531,35995900,2000.0,0,2000.0,0.0,0,0.0,2000,,,447.197,,,,,458.0480041503906,0.4383,BTC-USD,0.5867,Hold,0.5867,0.0,0.0,175.97000122070312
2016-01-11,448.4280090332031,448.697998046875,450.6619873046875,443.8550109863281,448.4280090332031,40450000,2000.0,0,2000.0,0.0,0,0.0,2000,,,451.0616,,,,,458.0480041503906,0.4032,BTC-USD,0.5393,Hold,0.5393,0.0,0.0,175.99000549316406
2016-01-12,435.6900024414063,448.1820068359375,448.1820068359375,435.6900024414063,435.6900024414063,115607000,2000.0,0,2000.0,0.0,0,0.0,2000,,,446.59,,,,,458.0480041503906,0.1721,BTC-USD,0.53,Hold,0.53,0.0,0.0,177.4499969482422
2016-01-13,432.3710021972656,434.6650085449219,435.1860046386719,424.4429931640625,432.3710021972656,173888000,2000.0,0,2000.0,0.0,0,0.0,2000,,,442.4182,,,,,458.0480041503906,-0.0344,BTC-USD,0.5844,Hold,0.5844,0.0,0.0,173.11000061035156
2016-01-14,430.3059997558594,432.2879943847656,433.3240051269531,427.8450012207031,430.3059997558594,43945500,2000.0,0,2000.0,0.0,0,0.0,2000,,47.11079706890046,438.9572,,,,,458.0480041503906,-0.1967,BTC-USD,0.5667,Hold,0.5667,0.0,0.0,175.9199981689453
2016-01-15,364.33099365234375,430.2550048828125,430.2550048828125,364.33099365234375,364.33099365234375,153351008,2000.0,0,2000.0,0.0,0,0.0,2000,,24.203480697417035,422.2252,,,,,458.0480041503906,-1.2658,BTC-USD,0.6094,Hold,0.6094,0.0,0.0,172.14999389648438
2016-01-16,387.5360107421875,365.072998046875,390.5570068359375,354.9140014648437,387.5360107421875,120352000,2000.0,0,2000.0,0.0,0,0.0,2000,,35.47332822878671,410.0468,,,,,458.0480041503906,-1.5409,BTC-USD,0.6094,Hold,0.6094,0.0,0.0,172.14999389648438
2016-01-17,382.2990112304688,387.1520080566406,390.9649963378906,380.0920104980469,382.2990112304688,45319600,2000.0,0,2000.0,0.0,0,0.0,2000,,35.07153968933585,399.3686,,,,,458.0480041503906,-1.7179,BTC-USD,0.6094,Hold,0.6094,0.0,0.0,172.14999389648438
2016-01-18,387.1679992675781,381.7330017089844,388.10400390625,376.6650085449219,387.1679992675781,54403900,2000.0,0,2000.0,0.0,0,0.0,2000,,35.79036131153545,390.328,,,,,458.0480041503906,-1.665,BTC-USD,0.6094,Hold,0.6094,0.0,0.0,172.14999389648438
2016-01-19,380.1489868164063,387.0260009765625,387.7300109863281,378.9719848632813,380.1489868164063,46819800,2000.0,0,2000.0,0.0,0,0.0,2000,,34.532092384901986,380.2966,,,,,458.0480041503906,-1.6491,BTC-USD,0.593,Hold,0.593,0.0,0.0,172.33999633789062
2016-01-20,420.2300109863281,379.739990234375,425.2669982910156,376.5989990234375,420.2300109863281,121720000,2000.0,0,2000.0,0.0,0,0.0,2000,,47.83224723067676,391.4764,423.3664,,,,458.0480041503906,-0.9154,BTC-USD,0.6173,Hold,0.6173,0.0,0.0,170.32000732421875
2016-01-21,410.2619934082031,419.6319885253906,422.87701416015625,406.2999877929688,410.2619934082031,68338000,2000.0,0,2000.0,0.0,0,0.0,2000,,37.1356311957731,396.0216,422.1628,,,,458.0480041503906,-0.5467,BTC-USD,0.6048,Hold,0.6048,0.0,0.0,171.14999389648438
2016-01-22,382.4920043945313,409.7510070800781,410.4100036621094,375.2820129394531,382.4920043945313,91546600,2000.0,0,2000.0,0.0,0,0.0,2000,,33.051251847188425,396.0602,419.6155,,,,458.0480041503906,-0.7042,BTC-USD,0.539,Hold,0.539,0.0,0.0,174.66000366210938
