Date,rate_SMCI_5D,rate_VOO_20D
2016-01,0.0,-3.28
2016-02,2.8896,-2.376
2016-03,6.0174,4.071
2016-04,-17.7927,3.4463
2016-05,-16.6379,4.5141
2016-06,-18.5718,4.1644
2016-07,-27.0053,7.3333
2016-08,-23.4143,6.6525
2016-09,-14.7791,6.013
2016-10,-12.1793,3.6115
2016-11,2.9801,7.182
2016-12,5.6917,8.8567
2017-01,-0.3363,10.0774
2017-02,-1.794,13.6125
2017-03,-4.315,12.8284
2017-04,-7.579,13.2286
2017-05,-6.3882,14.0432
2017-06,-5.8626,13.9758
2017-07,2.9128,15.5728
2017-08,1.8437,15.1519
2017-09,-15.5958,16.7674
2017-10,-23.5613,18.6971
2017-11,-14.2405,21.4906
2017-12,-18.0196,22.1742
2018-01,-10.5782,28.0253
2018-02,-28.7347,22.3109
2018-03,-31.9942,18.5822
2018-04,-27.7742,18.439
2018-05,-0.4359,20.6342
2018-06,-2.34,20.8295
2018-07,-8.7983,24.4195
2018-08,-15.0462,27.64
2018-09,-14.632,27.5571
2018-10,-45.5309,18.148
2018-11,-36.6233,19.8158
2018-12,-40.2973,8.7803
2019-01,-34.6735,17.0692
2019-02,-16.0488,20.3898
2019-03,-6.8018,22.1512
2019-04,-1.0295,26.4471
2019-05,-16.1572,17.8766
2019-06,-14.2345,25.6026
2019-07,-18.5018,26.8029
2019-08,-15.3871,24.165
2019-09,-14.0441,26.0707
2019-10,-7.0895,28.2682
2019-11,-4.1211,32.2632
2019-12,8.1931,35.5066
2020-01,25.9396,34.7146
2020-02,13.7234,23.2206
2020-03,-4.9676,7.5857
2020-04,2.4647,21.2139
2020-05,16.1574,26.5664
2020-06,26.6002,28.3643
2020-07,34.6063,35.3077
2020-08,21.0042,44.0007
2020-09,16.2466,37.8818
2020-10,-0.2194,33.7409
2020-11,23.8557,47.6567
2020-12,38.4492,52.3191
2021-01,35.5631,49.9619
2021-02,41.9682,53.2489
2021-03,68.9336,59.3139
2021-04,58.9335,66.7128
2021-05,48.1732,66.7978
2021-06,49.1917,69.5264
2021-07,60.4106,72.593
2021-08,53.1506,76.58
2021-09,52.3674,67.3306
2021-10,46.6071,78.0118
2021-11,70.5799,75.6346
2021-12,79.8861,82.5203
2022-01,64.6737,71.9304
2022-02,58.691,65.8784
2022-03,52.8985,71.2418
2022-04,68.234,55.3862
2022-05,98.8626,55.0693
2022-06,59.1272,41.677
2022-07,111.9464,54.0588
2022-08,153.4942,47.0803
2022-09,112.7759,33.1115
2022-10,166.9082,43.3799
2022-11,243.1611,50.707
2022-12,209.3585,41.5455
2023-01,172.5446,49.9054
2023-02,265.9902,45.6128
2023-03,294.3194,50.431
2023-04,286.461,52.2262
2023-05,713.3838,52.3734
2023-06,795.5418,61.6123
2023-07,1073.9334,66.208
2023-08,867.0918,62.8182
2023-09,853.8644,54.4786
2023-10,724.2616,50.5707
2023-11,831.7082,63.7242
2023-12,858.6555,70.5007
2024-01,1686.0704,72.5028
2024-02,2789.7508,80.6678
2024-03,3233.6828,85.7322
2024-04,2704.3084,77.499
2024-05,2435.0379,85.5862
2024-06,2520.2856,91.319
2024-07,2120.9324,92.6342
2024-08,1271.5675,96.3435
2024-09,1204.8245,99.6776
2024-10,803.4367,96.8805
2024-11,903.8354,107.4927
2024-12,828.5852,101.7132
2025-01,768.8752,106.1747
2025-02,1151.8903,102.6383
2025-03,924.4898,90.4787
2025-04,844.7352,88.1311
2025-05,1076.2551,99.0692
2025-06,1327.6445,108.4087
2025-07,1602.4481,112.1972
2025-08,1088.5246,115.6241
2025-09,1271.6376,122.2463
2025-10,1373.5615,126.4867
2025-11,851.6304,125.9202
2025-12,716.0639,125.0582
2026-01,783.8114,126.4133
