Date,rate_TRX-USD_5D,rate_VOO_20D
2017-11,0.0,3.057
2017-12,2002.4244,3.6793
2018-01,1640.4169,10.4102
2018-02,962.4672,4.5205
2018-03,579.9374,0.6785
2018-04,1776.913,0.4666
2018-05,920.5099,2.5972
2018-06,464.4558,2.7179
2018-07,398.3923,6.251
2018-08,235.4481,9.3836
2018-09,193.36,10.1111
2018-10,172.2081,0.5201
2018-11,65.2002,2.1183
2018-12,116.1264,-9.0458
2019-01,177.1612,-0.4973
2019-02,145.982,2.7512
2019-03,131.3762,4.4278
2019-04,125.9407,8.6415
2019-05,199.7238,-0.0293
2019-06,189.8852,7.6845
2019-07,95.5606,8.812
2019-08,31.4973,6.0997
2019-09,22.7421,8.5381
2019-10,66.6321,10.6472
2019-11,27.1367,14.5526
2019-12,9.1055,17.7012
2020-01,52.5426,17.6513
2020-02,35.7794,5.9219
2020-03,-5.0793,-9.9131
2020-04,25.0618,3.8014
2020-05,28.6893,9.0897
2020-06,30.9846,10.8121
2020-07,55.7024,17.6888
2020-08,131.8326,26.3275
2020-09,100.9562,20.0702
2020-10,94.9372,15.8401
2020-11,144.4847,29.6707
2020-12,98.7267,34.2219
2021-01,129.8632,32.6814
2021-02,225.3196,35.8369
2021-03,542.3674,41.7866
2021-04,795.3824,49.0646
2021-05,420.8602,49.0038
2021-06,349.8104,51.5948
2021-07,313.2288,54.522
2021-08,472.5824,58.3684
2021-09,462.3355,48.9882
2021-10,523.2359,59.5317
2021-11,479.2343,57.0283
2021-12,341.9247,63.7734
2022-01,246.6434,53.0886
2022-02,255.106,46.9765
2022-03,316.9864,52.2296
2022-04,247.5103,36.4037
2022-05,366.1246,36.0098
2022-06,251.6553,22.6666
2022-07,267.9992,34.8859
2022-08,232.6765,27.9075
2022-09,215.0272,13.973
2022-10,226.8716,24.1209
2022-11,177.6949,31.3348
2022-12,173.2133,22.2144
2023-01,211.9143,30.9396
2023-02,240.9094,26.6022
2023-03,219.332,31.3342
2023-04,227.7367,33.06
2023-05,261.1279,33.1505
2023-06,260.2726,42.2605
2023-07,268.65,46.7562
2023-08,257.472,43.3294
2023-09,307.5328,35.0012
2023-10,346.5426,31.0896
2023-11,368.6494,44.074
2023-12,380.3698,50.7156
2024-01,393.5239,53.4039
2024-02,509.2506,61.424
2024-03,425.1781,66.3664
2024-04,403.051,58.1108
2024-05,365.4885,66.0577
2024-06,417.2155,71.6601
2024-07,427.7321,72.8767
2024-08,537.4062,76.4586
2024-09,530.3274,80.6697
2024-10,570.6627,77.7884
2024-11,707.1562,88.2182
2024-12,900.0904,82.3639
2025-01,884.0532,87.7274
2025-02,804.5309,84.0851
2025-03,825.9494,71.8483
2025-04,844.2543,69.4216
2025-05,902.9495,80.234
2025-06,955.7099,89.4449
2025-07,1109.4122,93.1168
2025-08,1151.6323,96.4102
2025-09,1109.1691,103.9846
2025-10,959.3528,108.0917
2025-11,907.2906,107.399
2025-12,903.6589,106.4158
2026-01,926.2999,110.8851
