Date,rate_C_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-8.8375,-0.6039
2016-03,-1.2261,5.2168
2016-04,9.1665,3.9893
2016-05,7.7342,4.6886
2016-06,-3.2412,4.1237
2016-07,0.8364,7.1795
2016-08,9.8228,6.3603
2016-09,7.6031,5.6281
2016-10,11.1746,3.196
2016-11,26.7015,6.7601
2016-12,30.9894,8.3626
2017-01,23.0694,10.2536
2017-02,30.2062,13.6522
2017-03,27.8225,12.7005
2017-04,24.8168,12.9818
2017-05,26.1494,13.693
2017-06,37.5473,13.5288
2017-07,38.4928,15.0481
2017-08,36.1575,14.5515
2017-09,43.5569,16.1037
2017-10,42.8641,17.9557
2017-11,45.3022,20.6805
2017-12,41.241,21.3029
2018-01,48.9563,28.0338
2018-02,41.8609,22.1441
2018-03,25.4447,18.3021
2018-04,25.853,18.0902
2018-05,22.5781,20.2208
2018-06,22.132,20.3415
2018-07,30.3384,23.8746
2018-08,28.9491,27.0072
2018-09,29.8475,27.7347
2018-10,17.591,18.1437
2018-11,16.616,19.7418
2018-12,-6.728,8.5778
2019-01,15.4793,17.1263
2019-02,14.9714,20.3748
2019-03,11.3586,22.0514
2019-04,26.0396,26.2651
2019-05,10.9906,17.5943
2019-06,24.6788,25.308
2019-07,26.0071,26.4355
2019-08,14.3457,23.7232
2019-09,22.6823,26.1617
2019-10,27.0737,28.2707
2019-11,32.9759,32.1761
2019-12,40.6022,35.3247
2020-01,31.8642,35.2749
2020-02,11.8058,23.5454
2020-03,-26.0117,7.7105
2020-04,-13.8216,21.425
2020-05,-13.628,26.7132
2020-06,-7.6566,28.4357
2020-07,-8.5299,35.3124
2020-08,-6.3634,43.9511
2020-09,-20.9368,37.6938
2020-10,-22.7323,33.4637
2020-11,3.2049,47.2943
2020-12,15.4609,51.8455
2021-01,9.5447,50.305
2021-02,24.1998,53.4604
2021-03,36.5538,59.4101
2021-04,34.0286,66.6882
2021-05,47.3974,66.6274
2021-06,31.7509,69.2184
2021-07,26.3516,72.1455
2021-08,33.8849,75.992
2021-09,30.1378,66.6118
2021-10,28.6878,77.1553
2021-11,18.0929,74.6519
2021-12,11.7149,81.397
2022-01,20.1931,70.7122
2022-02,9.9512,64.6001
2022-03,-0.984,69.8532
2022-04,-9.6225,54.0273
2022-05,0.2326,53.6333
2022-06,-13.6707,40.2902
2022-07,-1.4491,52.5094
2022-08,-7.3087,45.531
2022-09,-20.7809,31.5965
2022-10,-12.5502,41.7445
2022-11,-6.5592,48.9584
2022-12,-12.5968,39.838
2023-01,0.9021,48.5632
2023-02,-1.0835,44.2258
2023-03,-8.5295,48.9578
2023-04,-7.0771,50.6836
2023-05,-12.4413,50.7741
2023-06,-8.9073,59.884
2023-07,-5.6168,64.3798
2023-08,-17.1099,60.953
2023-09,-17.2571,52.6248
2023-10,-20.3508,48.7132
2023-11,-5.6898,61.6976
2023-12,5.234,68.3392
2024-01,14.909,71.0275
2024-02,14.432,79.0476
2024-03,30.2125,83.99
2024-04,25.9509,75.7344
2024-05,28.7566,83.6813
2024-06,30.8207,89.2836
2024-07,33.4067,90.5002
2024-08,29.6318,94.0822
2024-09,29.5498,98.2932
2024-10,32.5004,95.412
2024-11,47.1142,105.8418
2024-12,45.6138,99.9875
2025-01,68.4485,105.351
2025-02,65.8719,101.7087
2025-03,46.733,89.4719
2025-04,40.8941,87.0451
2025-05,55.8962,97.8575
2025-06,75.5383,107.0685
2025-07,92.409,110.7404
2025-08,98.6357,114.0337
2025-09,108.7117,121.6081
2025-10,107.1834,125.7153
2025-11,112.2327,125.0226
2025-12,137.8742,124.0393
2026-01,134.0021,128.5087
