Date,rate_WEC_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Volatility_Adjustment,Expected_Return
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-03-03,-4.79,4.16,-8.95,8.02,-64.5,8.15,2.17,0.0
2015-04-29,-6.18,3.8,-9.98,7.45,-6.23,8.15,3.63,0.0
2015-06-25,-13.76,3.4,-17.16,5.42,-1.38,8.15,4.98,0.0
2015-08-21,-3.19,-2.77,-0.42,67.97,49.14,8.15,3.36,0.0
2015-10-19,1.03,0.19,0.84,72.68,15.17,8.15,2.62,-0.02
2015-12-15,-5.61,0.99,-6.6,44.88,-1.91,8.15,2.31,0.0
2016-02-12,5.22,-8.03,13.25,88.77,-2.22,17.28,2.43,-0.01
2016-04-12,11.58,1.51,10.07,79.91,0.61,17.28,2.06,-0.01
2016-06-08,16.11,4.64,11.47,83.81,2.81,17.28,1.86,-0.0
2016-08-04,19.88,6.55,13.33,76.52,-10.78,23.13,1.82,-0.0
2016-09-30,12.31,6.55,5.76,58.39,1.27,23.13,1.74,0.0
2016-11-28,8.7,8.53,0.17,44.99,-11.79,23.13,1.74,0.0
2017-01-26,9.03,12.65,-3.62,35.91,-4.94,23.13,1.66,0.0
2017-03-24,14.11,14.65,-0.54,43.29,10.64,23.13,1.6,0.0
2017-05-22,14.82,17.16,-2.34,38.98,1.08,23.13,1.52,0.0
2017-07-19,16.66,20.55,-3.89,35.27,-9.67,23.13,1.49,0.0
2017-09-14,22.13,21.78,0.35,45.42,1.72,23.13,1.53,0.18
2017-11-09,26.28,25.33,0.95,46.86,7.64,23.13,1.54,0.21
2018-01-09,19.79,32.87,-13.08,13.25,-28.39,23.13,1.59,0.0
2018-03-08,11.06,32.18,-21.12,1.18,-4.5,23.13,1.72,0.0
2018-05-04,18.42,27.87,-9.45,29.24,-0.97,23.13,1.66,0.0
2018-07-02,19.54,30.25,-10.71,31.12,22.24,23.13,1.59,0.0
2018-08-28,22.67,38.61,-15.94,20.48,-6.08,23.13,1.48,0.0
2018-10-24,30.98,26.38,4.6,62.28,48.68,23.13,1.49,-0.63
2018-12-21,30.16,14.29,15.87,85.22,25.97,23.13,1.52,-0.15
2019-02-21,37.55,31.47,6.08,65.3,0.74,23.13,1.74,-0.03
2019-04-18,38.05,36.81,1.24,55.44,-14.37,23.13,1.79,-0.02
2019-06-17,51.62,36.1,15.52,84.51,8.26,23.13,1.77,-0.01
2019-08-13,60.87,37.04,23.83,94.91,13.03,26.5,1.86,-0.0
2019-10-09,69.33,35.98,33.35,91.55,16.21,38.83,1.81,-0.0
2019-12-05,58.86,45.14,13.72,61.27,-8.5,38.83,1.71,0.0
2020-02-04,76.06,52.49,23.57,76.46,18.55,38.83,1.55,0.08
2020-04-01,46.9,13.74,33.16,59.51,-40.49,73.41,1.49,0.64
2020-05-29,60.96,40.47,20.49,46.77,-4.45,73.41,1.41,1.65
2020-07-27,63.04,48.57,14.47,40.71,3.63,73.41,1.39,3.93
2020-09-22,65.86,51.8,14.06,40.3,10.7,73.41,1.37,4.42
2020-11-17,73.29,64.37,8.92,35.13,-8.86,73.41,1.4,6.13
2021-01-15,52.74,70.52,-17.78,8.27,-8.73,73.41,1.49,0.0
2021-03-16,52.52,78.86,-26.34,10.56,10.56,73.41,1.63,0.0
2021-05-12,62.32,82.17,-19.85,16.38,4.1,73.41,1.79,0.0
2021-07-09,56.24,94.62,-38.38,2.02,-4.31,73.41,1.93,0.0
2021-09-03,62.75,101.38,-38.63,1.91,-4.19,73.41,2.08,0.0
2021-11-01,52.46,103.4,-50.94,0.26,-6.99,73.41,2.21,0.0
2021-12-29,63.26,110.49,-47.23,7.64,5.76,73.41,2.38,0.0
2022-02-25,52.41,91.86,-39.45,13.6,-7.45,73.41,2.2,0.0
2022-04-25,71.94,86.8,-14.86,32.42,14.41,73.41,2.35,0.0
2022-06-22,55.32,63.12,-7.8,37.83,-7.84,73.41,2.35,0.0
2022-08-18,77.88,84.98,-7.1,38.36,4.5,73.41,2.34,0.0
2022-10-14,39.07,53.85,-14.78,32.48,-11.69,73.41,2.36,0.0
2022-12-12,60.87,70.93,-10.06,36.1,5.82,73.41,2.2,0.0
2023-02-09,48.9,73.66,-24.76,24.84,-12.86,73.41,1.96,0.0
2023-04-10,60.53,73.97,-13.44,33.51,5.86,73.41,1.85,0.0
2023-06-06,42.41,81.01,-38.6,14.25,-14.18,73.41,1.73,0.0
2023-08-03,43.15,88.91,-45.76,8.77,-4.97,73.41,1.69,0.0
2023-09-29,30.48,79.47,-48.99,6.29,3.17,73.41,1.66,0.0
2023-11-27,32.88,90.05,-57.17,1.14,-12.17,73.41,1.66,0.0
2024-01-25,28.96,103.14,-74.18,0.26,-0.71,73.41,1.72,0.0
2024-03-22,28.69,115.96,-87.27,0.58,0.02,73.41,1.86,0.0
2024-05-20,35.9,118.46,-82.56,3.54,-4.88,73.41,2.04,0.0
2024-07-18,31.39,126.6,-95.21,5.43,5.43,73.41,2.24,0.0
2024-09-13,53.03,129.28,-76.25,16.07,4.04,73.41,2.39,0.0
2024-10-18,59.16,137.88,-78.72,14.68,1.44,73.41,2.44,0.0
