Date,rate_SNOW_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence
2020-09,4.325904713023809,-1.1314390544649768,5.5,60.4,42.5
2020-10,4.947864526112888,-5.5437550247808645,10.5,55.8,42.5
2020-11,35.20485261300894,9.630025741643864,25.6,98.6,42.5
2020-12,15.407291500636532,14.824873885183855,0.6,18.5,42.5
2021-01,10.878335189819357,12.369078096267302,-1.5,14.8,42.5
2021-02,4.792103393554692,16.057672466893173,-11.3,1.0,42.5
2021-03,-7.587082112031817,22.80158269331327,-30.4,5.3,42.5
2021-04,-6.418298197852224,31.020470448292663,-37.4,2.3,42.5
2021-05,-3.2456831729286595,31.27865968803629,-34.5,17.2,42.5
2021-06,-1.6550279815673583,34.41622617844585,-36.1,15.6,42.5
2021-07,8.052072873796746,37.9344145263967,-29.9,21.9,42.5
2021-08,22.834726946744063,42.45690817658308,-19.6,32.4,42.5
2021-09,21.04910473102073,32.49644976087742,-11.4,40.8,42.5
2021-10,40.3103908971151,44.37088036028052,-4.1,48.3,42.5
2021-11,33.38790679138186,41.92199155097571,-8.5,43.8,42.5
2021-12,31.667501345120957,49.63415086286151,-18.0,34.1,42.5
2022-01,6.636303528397192,38.15374832214926,-31.5,20.3,42.5
2022-02,2.5078665891374863,31.63911136587661,-29.1,22.7,42.5
2022-03,-11.41431953982648,37.64832232700463,-49.1,10.4,42.5
2022-04,-33.23537538299559,20.34701947533231,-53.6,8.5,42.5
2022-05,-49.41304287350561,20.05499883348012,-69.5,0.0,42.5
2022-06,-43.340995850801455,5.343538127322596,-48.7,17.9,42.5
2022-07,-37.75380393773858,19.020738769818088,-56.8,11.0,42.5
2022-08,-23.759636627197256,11.379398355308387,-35.1,29.7,42.5
2022-09,-27.5899604912894,-4.0402845473423525,-23.5,39.7,42.5
2022-10,-31.043861488342277,7.303174920732111,-38.3,26.9,42.5
2022-11,-37.64076062300398,15.416131285546818,-53.1,14.2,42.5
2022-12,-36.47113517520302,5.342434849618137,-41.8,23.9,42.5
2023-01,-29.586441084641656,14.557877338439646,-44.1,21.9,42.5
2023-02,-29.97749205493926,9.83345536092677,-39.8,25.6,42.5
2023-03,-29.147561370477423,15.1929759955893,-44.3,21.7,42.5
2023-04,-31.27213720921107,17.207842897726387,-48.5,18.1,42.5
2023-05,-22.487032573788667,17.399208723555695,-39.9,25.5,42.5
2023-06,-17.110738792592816,27.64550112524686,-44.8,21.3,42.5
2023-07,-15.91973632015652,32.773461553391364,-48.7,17.9,42.5
2023-08,-25.317621090432866,29.082447398764977,-54.4,13.0,42.5
2023-09,-26.785966786973013,19.91455967239775,-46.7,19.7,42.5
2023-10,-29.876636505444832,15.62454128081972,-45.5,20.7,42.5
2023-11,-8.690042887629279,30.185136544999885,-38.9,26.4,42.5
2023-12,-3.0346222790527237,37.71082847406566,-40.7,24.8,42.5
2024-01,-4.47389958998734,39.98109675471056,-44.5,21.6,42.5
2024-02,-8.148655687625583,49.06775455586318,-57.2,10.6,42.5
2024-03,-20.92397786856596,54.73805891411431,-75.7,0.9,42.5
2024-04,-23.632232357025128,45.699563685197695,-69.3,6.4,42.5
2024-05,-32.60789775543211,54.70680400107748,-87.3,0.0,42.5
2024-06,-32.580165736607135,61.1228271754449,-93.7,3.9,42.5
2024-07,-34.46382336305316,62.65819165968652,-97.1,1.8,42.5
2024-08,-41.89803758062164,66.84191373938049,-108.7,0.0,42.5
2024-09,-40.81497020482209,70.62968525389499,-111.4,0.4,42.5
2024-10,-40.10031820564269,67.60399820079607,-107.7,3.3,42.5
2024-11,-8.000043667027201,79.44625190898819,-87.4,16.7,42.5
2024-12,-7.271181966720075,79.13713141509285,-86.4,17.4,42.5
