Date,rate_IVV_5D,rate_VOO_20D
2015-01,-1.8986,13.3722
2015-02,3.4457,19.0152
2015-03,0.7941,16.3535
2015-04,1.5365,17.2083
2015-05,2.2902,18.111
2015-06,-0.0917,15.829
2015-07,1.9099,16.1335
2015-08,-4.3482,-9.4759
2015-09,-6.0791,4.0345
2015-10,2.3279,12.1166
2015-11,2.397,12.6972
2015-12,0.3471,10.758
2016-01,-4.6181,7.114
2016-02,-4.3766,7.4813
2016-03,1.6419,14.1221
2016-04,1.8725,14.5013
2016-05,3.4323,16.2792
2016-06,3.4756,16.5429
2016-07,7.1184,20.1705
2016-08,6.9038,20.0838
2016-09,6.5716,19.8797
2016-10,4.4082,17.8437
2016-11,8.0443,21.5514
2016-12,10.0117,23.5005
2017-01,11.484,25.0485
2017-02,15.4266,28.7086
2017-03,14.9463,28.319
2017-04,15.5203,29.0396
2017-05,16.5733,30.1549
2017-06,16.7613,30.3674
2017-07,18.6182,32.2357
2017-08,18.356,32.0534
2017-09,20.1967,33.9134
2017-10,22.3606,36.0998
2017-11,25.5118,39.1434
2017-12,26.3209,40.0745
2018-01,32.7158,46.2653
2018-02,26.8803,33.1154
2018-03,23.1104,27.858
2018-04,23.0207,25.9077
2018-05,25.404,28.2969
2018-06,25.5076,28.8127
2018-07,29.5824,32.5104
2018-08,33.0753,35.8379
2018-09,33.0557,36.0824
2018-10,23.3428,30.8763
2018-11,25.1752,25.827
2018-12,13.6276,-2.7948
2019-01,22.3175,23.356
2019-02,25.7928,26.6799
2019-03,27.6712,28.5606
2019-04,32.1839,32.7808
2019-05,23.335,25.1154
2019-06,31.4027,32.5617
2019-07,32.7981,33.9372
2019-08,30.0441,31.6953
2019-09,32.0395,33.6998
2019-10,34.3529,35.9721
2019-11,38.6034,39.9517
2019-12,42.0138,43.1946
2020-01,41.3151,42.6818
2020-02,28.8002,32.031
2020-03,12.7555,23.8024
2020-04,26.8899,32.9342
2020-05,32.5801,38.2323
2020-06,34.5774,40.1287
2020-07,41.8797,47.0166
2020-08,51.1128,55.6401
2020-09,44.729,49.8376
2020-10,40.4785,45.9459
2020-11,55.104,59.6671
2020-12,60.1495,64.394
2021-01,57.7078,62.7071
2021-02,61.2257,64.5242
2021-03,67.6755,70.6074
2021-04,75.5795,78.0155
2021-05,75.7552,78.2935
2021-06,78.7245,81.1437
2021-07,82.0457,84.3327
2021-08,86.4865,88.3984
2021-09,76.7631,79.5093
2021-10,88.1109,90.1804
2021-11,85.6946,88.0169
2021-12,93.0902,94.9883
2022-01,81.8487,-9.393
2022-02,75.68,-20.116
2022-03,81.3767,69.6871
2022-04,64.5001,61.8409
2022-05,64.2909,59.8502
2022-06,49.9756,55.9818
2022-07,63.2235,65.0325
2022-08,55.8445,60.2405
2022-09,40.9415,56.3658
2022-10,51.8694,28.0138
2022-11,59.7246,55.6316
2022-12,50.019,51.4092
2023-01,58.8632,54.4159
2023-02,54.2403,53.9059
2023-03,59.4102,52.303
2023-04,61.3532,53.5379
2023-05,61.428,52.2102
2023-06,71.4101,59.2888
2023-07,76.2532,61.4273
2023-08,72.6734,56.7226
2023-09,63.9116,53.5478
2023-10,59.7088,53.1876
2023-11,73.697,53.2913
2023-12,80.9708,54.3614
2024-01,83.0847,51.7997
2024-02,91.7836,51.981
2024-03,97.2779,51.3246
2024-04,88.4767,49.1158
2024-05,97.1739,49.3108
2024-06,103.3169,49.2317
2024-07,104.669,47.7343
2024-08,108.7319,46.3824
2024-09,112.3395,22.6728
2024-10,109.3574,44.7005
2024-11,120.7598,43.9277
2024-12,114.5564,42.5877
2025-01,119.4006,42.3804
2025-02,115.6832,42.159
2025-03,108.1096,41.9331
