Date,rate_DIA_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence
2019-01-02,0.0,0.0,0.0,98.62,0.0
2019-01-31,1.79,1.9,-0.11,98.28,-0.34
2019-03-01,4.47,4.45,0.02,98.68,0.4
2019-03-29,4.13,4.9,-0.77,96.21,-2.47
2019-04-29,5.77,7.58,-1.81,92.95,-3.26
2019-05-28,2.66,4.33,-1.67,93.39,0.44
2019-06-25,5.73,7.2,-1.47,94.02,0.63
2019-07-24,7.64,9.37,-1.73,93.2,-0.82
2019-08-21,4.89,7.24,-2.35,91.26,-1.94
2019-09-19,7.33,9.32,-1.99,92.39,1.13
2019-10-17,7.06,8.87,-1.81,92.95,0.56
2019-11-14,9.1,11.34,-2.24,91.6,-1.35
2019-12-13,10.11,13.19,-3.08,88.97,-2.63
2020-01-14,11.96,15.64,-3.68,87.09,-1.88
2020-02-12,13.65,18.03,-4.38,84.9,-2.19
2020-03-12,-8.09,-3.7,-4.39,84.87,-0.03
2020-04-09,-1.58,3.89,-5.47,81.48,-3.39
2020-05-08,0.1,7.3,-7.2,76.07,-5.41
2020-06-08,8.59,14.68,-6.09,79.54,3.47
2020-07-07,4.11,12.36,-8.25,72.78,-6.76
2020-08-04,6.55,16.26,-9.71,68.2,-4.58
2020-09-01,11.33,21.66,-10.33,66.26,-1.94
2020-09-30,8.91,17.41,-8.5,71.99,5.73
2020-10-28,5.78,15.44,-9.66,68.36,-3.63
2020-11-25,14.43,24.05,-9.62,68.48,0.12
2020-12-24,15.29,25.6,-10.31,66.32,-2.16
2021-01-26,17.2,29.15,-11.95,61.18,-5.14
2021-02-24,19.84,31.06,-11.22,63.47,2.29
2021-03-24,21.02,30.35,-9.33,69.39,5.92
2021-04-22,24.67,35.95,-11.28,63.28,-6.11
2021-05-20,25.56,36.67,-11.11,63.82,0.54
2021-06-18,23.33,36.95,-13.62,55.95,-7.87
2021-07-19,25.13,38.99,-13.86,55.2,-0.75
2021-08-16,29.47,44.26,-14.79,52.29,-2.91
2021-09-14,26.84,43.6,-16.76,46.12,-6.17
2021-10-12,26.14,41.09,-14.95,51.79,5.67
2021-11-09,31.21,49.14,-17.93,42.45,-9.34
2021-12-08,29.84,49.66,-19.82,36.53,-5.92
2022-01-06,30.98,49.24,-18.26,41.42,4.89
2022-02-04,27.99,44.67,-16.68,46.37,4.95
2022-03-07,22.16,37.68,-15.52,50.0,3.63
2022-04-04,27.56,46.58,-19.02,39.04,-10.96
2022-05-03,22.89,36.93,-14.04,54.64,15.6
2022-06-01,22.13,35.31,-13.18,57.33,2.69
2022-06-30,16.79,27.61,-10.82,64.72,7.39
2022-07-29,22.21,35.9,-13.69,55.73,-8.99
2022-08-26,20.72,34.27,-13.55,56.17,0.44
2022-09-26,12.87,24.87,-12.0,61.03,4.86
2022-10-24,18.67,27.92,-9.25,69.64,8.61
2022-11-21,24.39,31.72,-7.33,75.66,6.02
2022-12-20,22.14,28.33,-6.19,79.23,3.57
2023-01-20,23.51,31.98,-8.47,72.09,-7.14
2023-02-17,24.72,34.71,-9.99,67.32,-4.77
2023-03-20,20.56,31.83,-11.27,63.31,-4.01
2023-04-18,25.11,36.36,-11.25,63.38,0.07
2023-05-16,22.65,35.42,-12.77,58.62,-4.76
2023-06-14,25.27,41.83,-16.56,46.74,-11.88
2023-07-14,26.5,44.74,-18.24,41.48,-5.26
2023-08-11,28.54,43.86,-15.32,50.63,9.15
2023-09-11,27.08,44.56,-17.48,43.86,-6.77
2023-10-09,24.14,40.69,-16.55,46.77,2.91
2023-11-06,25.43,41.47,-16.04,48.37,1.6
2023-12-05,30.86,46.52,-15.66,49.56,1.19
2024-01-04,34.14,49.07,-14.93,51.85,2.29
2024-02-02,37.23,55.53,-18.3,41.29,-10.56
2024-03-04,38.22,59.84,-21.62,30.89,-10.4
2024-04-02,38.58,61.42,-22.84,27.07,-3.82
2024-04-30,35.07,57.39,-22.32,28.7,1.63
2024-05-29,36.75,63.18,-26.43,15.82,-12.88
2024-06-27,38.57,68.42,-29.85,5.11,-10.71
2024-07-26,42.31,67.5,-25.19,19.71,14.6
2024-08-23,43.84,71.75,-27.91,11.18,-8.53
