Date,rate_ROK_5D,rate_VOO_20D
2016-01,0.0,-3.28
2016-02,10.3663,-2.376
2016-03,15.5977,4.071
2016-04,11.3402,3.4463
2016-05,12.1845,4.5141
2016-06,8.9136,4.1644
2016-07,7.0382,7.3333
2016-08,8.2285,6.6525
2016-09,13.1175,6.013
2016-10,9.5149,3.6115
2016-11,21.9369,7.182
2016-12,20.4464,8.8567
2017-01,32.5641,10.0774
2017-02,33.4255,13.6125
2017-03,34.7644,12.8284
2017-04,33.8203,13.2286
2017-05,33.4796,14.0432
2017-06,34.0485,13.9758
2017-07,34.5906,15.5728
2017-08,32.6223,15.1519
2017-09,42.2012,16.7674
2017-10,57.8596,18.6971
2017-11,50.0004,21.4906
2017-12,50.3723,22.1742
2018-01,51.0916,28.0253
2018-02,37.0959,22.3109
2018-03,30.7653,18.5822
2018-04,22.5051,18.439
2018-05,30.2898,20.6342
2018-06,22.3521,20.8295
2018-07,37.1267,24.4195
2018-08,31.8181,27.64
2018-09,36.5632,27.5571
2018-10,18.9619,18.148
2018-11,25.7626,19.8158
2018-12,7.8206,8.7803
2019-01,21.4371,17.0692
2019-02,27.9269,20.3898
2019-03,24.9067,22.1512
2019-04,27.8308,26.4471
2019-05,5.412,17.8766
2019-06,15.7881,25.6026
2019-07,13.216,26.8029
2019-08,8.0282,24.165
2019-09,16.4653,26.0707
2019-10,21.1432,28.2682
2019-11,37.9545,32.2632
2019-12,41.8495,35.5066
2020-01,34.1681,34.7146
2020-02,28.3732,23.2206
2020-03,5.0397,7.5857
2020-04,31.8747,21.2139
2020-05,50.408,26.5664
2020-06,47.1839,28.3643
2020-07,49.7603,35.3077
2020-08,57.8541,44.0007
2020-09,49.9832,37.8818
2020-10,60.1196,33.7409
2020-11,71.9816,47.6567
2020-12,67.5502,52.3191
2021-01,66.0302,49.9619
2021-02,62.0604,53.2489
2021-03,75.4949,59.3139
2021-04,73.4009,66.7128
2021-05,72.4891,66.7978
2021-06,85.6806,69.5264
2021-07,98.0164,72.593
2021-08,108.5827,76.58
2021-09,86.8774,67.3306
2021-10,101.4683,78.0118
2021-11,111.073,75.6346
2021-12,117.2423,82.5203
2022-01,78.7281,71.9304
2022-02,64.338,65.8784
2022-03,71.6433,71.2418
2022-04,53.917,55.3862
2022-05,29.9255,55.0693
2022-06,21.024,41.677
2022-07,54.6222,54.0588
2022-08,43.5027,47.0803
2022-09,29.7088,33.1115
2022-10,53.3645,43.3799
2022-11,58.6872,50.707
2022-12,53.9222,41.5455
2023-01,68.5347,49.9054
2023-02,76.0051,45.6128
2023-03,74.1714,50.431
2023-04,67.3242,52.2262
2023-05,64.3619,52.3734
2023-06,93.3809,61.6123
2023-07,96.2385,66.208
2023-08,81.8259,62.8182
2023-09,65.6715,54.4786
2023-10,51.6105,50.5707
2023-11,58.9593,63.7242
2023-12,78.3468,70.5007
2024-01,45.5218,72.5028
2024-02,63.8623,80.6678
2024-03,66.6921,85.7322
2024-04,54.3927,77.499
2024-05,46.8901,85.5862
2024-06,56.4522,91.319
2024-07,57.7948,92.6342
2024-08,54.2101,96.3435
2024-09,52.1959,99.6776
2024-10,50.6759,96.8805
2024-11,66.8799,107.4927
2024-12,60.9228,101.7132
2025-01,56.7846,106.1747
2025-02,61.8583,102.6383
2025-03,45.1425,90.4787
2025-04,38.7033,88.1311
2025-05,76.9047,99.0692
2025-06,85.404,108.4087
2025-07,95.4003,112.1972
2025-08,90.6573,115.6241
2025-09,94.0268,122.2463
2025-10,103.5245,126.4867
2025-11,118.4331,125.9202
2025-12,113.6292,125.0582
2026-01,129.3995,126.4133
