Date,rate_TEVA_5D,rate_VOO_20D
2015-01,-3.245,-3.5197
2015-02,-1.5922,1.8044
2015-03,7.479,-0.4337
2015-04,2.6436,0.3137
2015-05,1.7708,1.1276
2015-06,-0.2725,-1.1499
2015-07,15.9235,0.7758
2015-08,6.8823,-5.2144
2015-09,-7.9984,-6.8385
2015-10,-3.2867,1.456
2015-11,3.422,1.6267
2015-12,7.2903,-0.222
2016-01,2.6862,-4.5787
2016-02,-3.0049,-4.4957
2016-03,-6.5505,2.1419
2016-04,-4.673,2.3064
2016-05,-8.1346,3.8577
2016-06,-10.7475,3.9516
2016-07,-4.4733,7.5258
2016-08,-8.9844,7.2904
2016-09,-16.7474,6.9152
2016-10,-21.8168,4.7071
2016-11,-30.2789,8.3327
2016-12,-31.1107,10.2273
2017-01,-35.4909,11.6751
2017-02,-30.5489,15.4735
2017-03,-35.3709,15.0273
2017-04,-35.2562,15.6585
2017-05,-41.8591,16.7221
2017-06,-28.4137,16.8703
2017-07,-29.8365,18.6815
2017-08,-63.1413,18.4357
2017-09,-57.0646,20.2701
2017-10,-65.163,22.4385
2017-11,-60.1289,25.4799
2017-12,-47.064,26.382
2018-01,-41.6918,32.6335
2018-02,-43.592,24.401
2018-03,-43.961,20.8199
2018-04,-40.3893,19.9601
2018-05,-27.6977,22.3447
2018-06,-17.5506,22.6955
2018-07,-18.4101,26.4604
2018-08,-21.5794,29.8718
2018-09,-25.8801,29.9572
2018-10,-31.8528,22.7067
2018-11,-31.6924,23.8107
2018-12,-38.5894,12.3859
2019-01,-24.1198,21.0019
2019-02,-35.254,24.492
2019-03,-39.0199,26.3604
2019-04,-39.9813,30.8943
2019-05,-65.4705,22.1898
2019-06,-61.7684,30.1362
2019-07,-66.2261,31.4649
2019-08,-69.5899,28.7871
2019-09,-68.5025,30.8192
2019-10,-61.3489,33.1174
2019-11,-49.3384,37.3445
2019-12,-51.4944,40.7675
2020-01,-47.8991,40.0464
2020-02,-39.6395,28.1097
2020-03,-43.2439,14.1258
2020-04,-30.928,28.8488
2020-05,-18.7754,34.5177
2020-06,-19.8692,36.4534
2020-07,-24.7746,43.8611
2020-08,-35.4689,53.1728
2020-09,-40.5339,46.7108
2020-10,-41.9108,42.3217
2020-11,-36.1697,57.1162
2020-12,-34.7558,62.1532
2021-01,-19.9749,59.6449
2021-02,-26.5453,63.1645
2021-03,-20.985,69.6919
2021-04,-26.483,77.68
2021-05,-28.2329,77.8489
2021-06,-31.3603,80.8455
2021-07,-32.5875,84.2132
2021-08,-33.8317,88.5531
2021-09,-31.1679,78.7406
2021-10,-37.8983,90.2577
2021-11,-41.0505,87.7749
2021-12,-42.3142,95.1983
2022-01,-38.5752,83.9233
2022-02,-42.7656,74.9471
2022-03,-34.1195,79.8863
2022-04,-35.9863,68.9809
2022-05,-30.8094,72.0347
2022-06,-38.507,51.9659
2022-07,-20.9809,65.2912
2022-08,-18.2264,61.4331
2022-09,-21.2758,55.0186
2022-10,-17.9167,61.1847
2022-11,-19.6459,69.3799
2022-12,-18.4313,60.7615
2023-01,-5.5761,68.1643
2023-02,-6.9259,63.5066
2023-03,-10.4,67.5341
2023-04,-11.5467,69.5109
2023-05,-26.9694,69.6316
2023-06,-23.3794,79.9299
2023-07,-14.2748,85.0404
2023-08,-2.1785,79.5624
2023-09,-1.7827,70.329
2023-10,-6.6827,65.9818
2023-11,6.4259,80.4767
2023-12,13.0851,87.9484
2024-01,23.8458,84.9593
2024-02,27.3799,93.7564
2024-03,30.1145,99.2291
2024-04,26.8974,92.0909
2024-05,49.5711,97.5079
2024-06,46.7823,103.6455
2024-07,50.9154,101.9435
2024-08,62.9042,106.6686
2024-09,54.9158,104.1626
2024-10,56.7451,101.367
2024-11,45.9508,106.0673
2024-12,84.5594,99.3439
2025-01,70.9985,100.1367
2025-02,64.7966,96.2248
2025-03,53.418,89.8214
2025-04,37.4464,71.0184
