Date,rate_CSCO_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Expected_Return,sma60_ta,sma120_ta,sma240_ta,Rolling_Divergence_480,is_uptrend,Wave_Stage,Elliott_Factor,EMA_Max_Divergence,Normalized_Max_Divergence
2021-12-29 00:00:00,105.1,110.49,-5.39,56.49,13.27,59.54,0.0,,,,,,,,,
2022-02-25 00:00:00,78.79,91.86,-13.07,51.34,1.24,59.54,0.0,,,,,,,,,
2022-04-25 00:00:00,64.94,86.8,-21.86,45.45,0.72,59.54,0.0,,,,,,,,,
2022-06-22 00:00:00,37.87,63.12,-25.25,43.18,6.7,59.54,0.0,,,,,,,,,
2022-08-18 00:00:00,55.76,84.98,-29.22,40.52,1.76,59.54,0.0,,,,,,,,,
2022-10-14 00:00:00,26.48,53.85,-27.37,41.76,2.11,59.54,0.0,,,,,,,,,
2022-12-12 00:00:00,54.58,70.93,-16.35,49.14,9.39,59.54,0.0,,,,,,,,,
2023-02-09 00:00:00,46.02,73.66,-27.64,41.58,-8.43,59.54,0.0,,,,,,,,,
2023-04-10 00:00:00,59.81,73.97,-14.16,50.61,-0.9,59.54,0.0,,,,,,,,,
2023-06-06 00:00:00,54.56,81.01,-26.45,42.37,2.95,59.54,0.0,,,,,,,,,
2023-08-03 00:00:00,64.3,88.91,-24.61,43.61,1.69,59.54,0.0,,,,,,,,,
2023-09-29 00:00:00,65.83,79.47,-13.64,50.96,-0.9,59.54,0.0,,,,,,,,,
2023-11-27 00:00:00,47.28,90.05,-42.77,31.44,-19.72,59.54,0.0,,,,,,,,,
2024-01-25 00:00:00,60.27,103.14,-42.87,31.37,0.88,59.54,0.0,,,,,,,,,
2024-03-22 00:00:00,51.97,115.96,-63.99,17.22,-1.66,59.54,0.0,,,,,,,,,
2024-05-20 00:00:00,43.44,118.46,-75.02,9.82,-10.31,59.54,0.0,,,,,,,,,
2024-07-18 00:00:00,45.8,126.6,-80.8,5.95,3.38,59.54,0.0,,,,,,,,,
2024-09-13 00:00:00,50.69,129.28,-78.59,7.43,0.37,59.54,0.0,,,,,,,,,
2024-10-10 00:00:00,61.77,134.11,-72.34,11.62,3.76,59.54,0.0,49.53,48.3,49.06,-41.331875,True,wave_5,0.4,59.54,1.0
