Date,rate_453870_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Expected_Return
2023-04-14,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2023-05-16,3.15,4.1,-0.95,84.62,-15.38,0.77,0.12
2023-06-15,1.54,7.96,-6.42,35.69,-48.93,0.77,0.5
2023-07-13,4.97,8.67,-3.7,60.02,24.33,0.77,0.31
2023-08-10,6.73,12.87,-6.14,38.19,-21.83,0.77,0.48
2023-09-08,8.76,7.55,1.21,100.0,61.81,1.21,0.0
2023-10-13,9.23,12.07,-2.84,51.22,-48.78,4.37,2.13
2023-11-10,5.44,15.42,-9.98,2.91,-48.31,4.37,4.24
2023-12-08,11.07,11.9,-0.83,64.82,61.91,4.37,1.54
2024-01-10,14.73,15.09,-0.36,68.0,3.18,4.37,1.4
2024-02-07,16.82,14.27,2.55,78.69,10.69,6.06,1.29
2024-03-11,18.02,18.05,-0.03,63.02,-15.67,6.06,2.24
2024-04-08,20.52,20.82,-0.3,61.38,-1.64,6.06,2.34
2024-05-09,19.61,24.49,-4.88,33.58,-27.8,6.06,4.03
2024-06-10,25.62,28.07,-2.45,48.33,14.75,6.06,3.13
2024-07-08,30.63,-6.46,37.09,100.0,51.67,37.09,0.0
2024-08-05,26.77,5.62,21.15,53.91,-46.09,48.13,22.18
2024-08-30,30.36,7.86,22.5,56.22,-14.84,48.13,21.07
