Date,rate_JPM_5D,rate_VOO_20D
2016-01,-6.386,-3.28
2016-02,-9.0171,-2.376
2016-03,-3.2528,4.071
2016-04,4.3529,3.4463
2016-05,6.8137,4.5141
2016-06,0.7424,4.1644
2016-07,4.4861,7.3333
2016-08,9.7048,6.6525
2016-09,7.3207,6.013
2016-10,11.6769,3.6115
2016-11,28.1027,7.182
2016-12,35.3482,8.8567
2017-01,30.9467,10.0774
2017-02,37.9168,13.6125
2017-03,31.2055,12.8284
2017-04,28.8933,13.2286
2017-05,20.2203,14.0432
2017-06,32.4378,13.9758
2017-07,31.9887,15.5728
2017-08,29.1131,15.1519
2017-09,34.2168,16.7674
2017-10,40.4972,18.6971
2017-11,44.153,21.4906
2017-12,45.6564,22.1742
2018-01,56.3,28.0253
2018-02,53.9416,22.3109
2018-03,44.8328,18.5822
2018-04,42.536,18.439
2018-05,38.8314,20.6342
2018-06,33.949,20.8295
2018-07,47.2091,24.4195
2018-08,45.283,27.64
2018-09,41.7637,27.5571
2018-10,36.8082,18.148
2018-11,38.471,19.8158
2018-12,20.7179,8.7803
2019-01,28.3024,17.0692
2019-02,28.6134,20.3898
2019-03,24.077,22.1512
2019-04,42.3499,26.4471
2019-05,29.1342,17.8766
2019-06,35.4928,25.6026
2019-07,40.6415,26.8029
2019-08,32.4534,24.165
2019-09,41.1184,26.0707
2019-10,49.9361,28.2682
2019-11,56.9337,32.2632
2019-12,64.7723,35.5066
2020-01,56.2817,34.7146
2020-02,36.1933,23.2206
2020-03,5.1096,7.5857
2020-04,12.8472,21.2139
2020-05,14.493,26.5664
2020-06,10.4124,28.3643
2020-07,14.2998,35.3077
2020-08,18.2258,44.0007
2020-09,13.3232,37.8818
2020-10,16.2062,33.7409
2020-11,39.2171,47.6567
2020-12,49.3068,52.3191
2021-01,51.4382,49.9619
2021-02,72.153,53.2489
2021-03,76.8472,59.3139
2021-04,78.5019,66.7128
2021-05,89.2934,66.7978
2021-06,78.0237,69.5264
2021-07,73.6169,72.593
2021-08,81.8141,76.58
2021-09,84.8577,67.3306
2021-10,91.6852,78.0118
2021-11,78.0577,75.6346
2021-12,76.4634,82.5203
2022-01,65.7426,71.9304
2022-02,57.3034,65.8784
2022-03,50.5709,71.2418
2022-04,32.4302,55.3862
2022-05,46.1617,55.0693
2022-06,24.0909,41.677
2022-07,27.8749,54.0588
2022-08,25.754,47.0803
2022-09,15.3023,33.1115
2022-10,39.6155,43.3799
2022-11,52.6313,50.707
2022-12,47.5561,41.5455
2023-01,54.4853,49.9054
2023-02,57.5728,45.6128
2023-03,42.6994,50.431
2023-04,51.9238,52.2262
2023-05,48.5376,52.3734
2023-06,58.5619,61.6123
2023-07,72.5405,66.208
2023-08,59.1603,62.8182
2023-09,57.1125,54.4786
2023-10,51.2383,50.5707
2023-11,69.0687,63.7242
2023-12,83.4257,70.5007
2024-01,88.2434,72.5028
2024-02,99.8815,80.6678
2024-03,114.0665,85.7322
2024-04,105.0863,77.499
2024-05,115.6011,85.5862
2024-06,114.0921,91.319
2024-07,125.2541,92.6342
2024-08,136.7114,96.3435
2024-09,120.881,99.6776
2024-10,132.5621,96.8805
2024-11,160.2244,107.4927
2024-12,148.4174,101.7132
2025-01,176.7199,106.1747
2025-02,172.4039,102.6383
2025-03,151.114,90.4787
2025-04,150.5141,88.1311
2025-05,168.8534,99.0692
2025-06,193.5628,108.4087
2025-07,199.6567,112.1972
2025-08,203.2029,115.6241
2025-09,215.4719,122.2463
2025-10,210.8846,126.4867
2025-11,211.0766,125.9202
2025-12,218.3544,125.0582
2026-01,194.009,126.4133
