Date,rate_IRBT_5D,rate_VOO_20D
2015-01,-5.5944,-3.5177
2015-02,-0.6053,1.8034
2015-03,-2.2841,-0.4386
2015-04,-2.768,0.3124
2015-05,-3.4739,1.1978
2015-06,-3.6772,-1.0769
2015-07,-6.6856,0.8299
2015-08,-12.4713,-5.1327
2015-09,-13.9625,-6.8019
2015-10,-11.9274,1.4676
2015-11,-2.2251,1.6362
2015-12,4.7104,-2.0181
2016-01,1.1698,-6.207
2016-02,-12.1376,-6.0172
2016-03,-0.3153,0.5909
2016-04,5.5184,0.7779
2016-05,8.2764,2.385
2016-06,-1.2672,2.5472
2016-07,6.5699,6.1314
2016-08,11.6382,5.9606
2016-09,22.3786,5.6856
2016-10,39.9879,3.5422
2016-11,55.594,7.191
2016-12,57.0978,9.1197
2017-01,60.2535,10.5734
2017-02,48.8879,14.3713
2017-03,70.3931,13.9618
2017-04,102.4764,14.6092
2017-05,130.9829,15.6969
2017-06,106.0826,15.8718
2017-07,154.0967,17.6968
2017-08,125.5426,17.4806
2017-09,79.1427,19.3207
2017-10,54.1767,21.5
2017-11,55.8509,24.5613
2017-12,72.6037,25.4765
2018-01,97.3585,31.6693
2018-02,72.146,23.5121
2018-03,60.9765,19.9608
2018-04,44.9075,19.1283
2018-05,53.6677,21.5215
2018-06,84.9546,21.8868
2018-07,91.3204,25.6292
2018-08,170.8037,29.0401
2018-09,158.7399,29.1388
2018-10,128.7554,21.9599
2018-11,132.8405,23.0749
2018-12,106.9784,11.7886
2019-01,119.2405,20.319
2019-02,202.1116,23.797
2019-03,180.5978,25.6541
2019-04,143.7338,30.1743
2019-05,103.0737,21.5217
2019-06,111.6563,29.4331
2019-07,67.2493,30.7622
2019-08,40.5428,28.1093
2019-09,39.5577,30.1391
2019-10,8.2731,32.4242
2019-11,-2.0372,36.6374
2019-12,13.8794,40.0509
2020-01,5.6746,39.3266
2020-02,7.4602,27.427
2020-03,1.401,9.0272
2020-04,51.904,23.4789
2020-05,82.7794,28.9861
2020-06,92.1657,30.8845
2020-07,79.93,38.0281
2020-08,80.13,47.038
2020-09,83.4389,40.8786
2020-10,93.5116,36.721
2020-11,88.4902,46.5833
2020-12,91.731,51.3733
2021-01,184.7448,48.6611
2021-02,189.7469,47.5026
2021-03,177.5022,53.5248
2021-04,145.0421,60.8732
2021-05,118.5434,57.1735
2021-06,107.4571,59.9749
2021-07,93.1582,63.1028
2021-08,78.0136,67.0966
2021-09,71.3092,58.5355
2021-10,81.1017,68.8974
2021-11,63.8478,66.8215
2021-12,41.6472,68.7995
2022-01,35.0387,59.2087
2022-02,23.0077,51.592
2022-03,17.4364,56.0141
2022-04,2.6028,46.8756
2022-05,-12.6511,49.6983
2022-06,-35.0834,32.3555
2022-07,-22.1098,44.1085
2022-08,-0.0739,40.8953
2022-09,-1.7875,35.6007
2022-10,-1.5742,40.8885
2022-11,-7.6523,48.1758
2022-12,-15.1735,41.6071
2023-01,-20.5535,48.1304
2023-02,-27.2045,44.1745
2023-03,-22.4359,47.6365
2023-04,-31.6036,49.4957
2023-05,-37.9222,49.7167
2023-06,-20.4075,58.9131
2023-07,-33.3506,63.5217
2023-08,-34.8546,58.7923
2023-09,-36.191,50.7282
2023-10,-44.2826,46.9601
2023-11,-38.375,59.9071
2023-12,-33.8008,66.6479
2024-01,-50.5844,64.3668
2024-02,-55.4866,72.2876
2024-03,-65.4347,77.2485
2024-04,-68.2743,70.9998
2024-05,-63.7847,75.925
2024-06,-63.9722,81.4895
2024-07,-52.2741,80.0272
2024-08,-62.0205,84.3283
2024-09,-53.635,83.3967
2024-10,-55.4199,80.9709
2024-11,-63.5354,90.8436
2024-12,-63.6203,84.6806
2025-01,-69.2807,85.4813
2025-02,-73.8753,81.9164
2025-03,-78.0817,76.0329
2025-04,-73.9643,75.2606
2025-05,-66.6875,85.6064
2025-06,-64.8124,94.4419
2025-07,-64.3059,95.4236
