Date,rate_JKHY_5D,rate_VOO_20D
2016-01,3.3455,0.7475
2016-02,0.0425,0.3631
2016-03,2.5387,6.1635
2016-04,-2.4184,4.8532
2016-05,1.9138,5.5092
2016-06,4.9413,4.9516
2016-07,6.6201,8.0529
2016-08,3.5082,7.2728
2016-09,1.1525,6.525
2016-10,-3.8117,4.0384
2016-11,3.2199,7.3996
2016-12,5.4828,9.0221
2017-01,6.0473,10.0556
2017-02,10.5342,13.4646
2017-03,8.9581,12.6934
2017-04,12.7658,13.0265
2017-05,23.0859,13.8264
2017-06,19.2256,13.7461
2017-07,22.0728,15.2839
2017-08,16.2405,14.8547
2017-09,15.5418,16.4705
2017-10,23.0103,18.391
2017-11,28.1126,21.1572
2017-12,28.6935,21.8357
2018-01,35.8467,27.5767
2018-02,27.0876,19.4887
2018-03,29.3824,15.9328
2018-04,25.9345,14.9578
2018-05,31.1758,17.1859
2018-06,35.6588,17.444
2018-07,38.8987,20.9505
2018-08,61.754,24.1299
2018-09,61.9537,24.1209
2018-10,51.7063,14.1084
2018-11,40.8344,15.0224
2018-12,26.554,4.4886
2019-01,32.892,12.5608
2019-02,31.4952,15.8612
2019-03,36.6359,17.612
2019-04,45.7909,21.8639
2019-05,27.4551,16.0646
2019-06,26.9897,19.9808
2019-07,31.7461,21.2252
2019-08,30.3946,18.3328
2019-09,30.9664,20.1882
2019-10,27.3256,20.3259
2019-11,36.3764,24.2116
2019-12,30.0529,27.349
2020-01,32.8636,26.2815
2020-02,39.8254,19.8213
2020-03,38.9628,15.7478
2020-04,40.4486,30.3559
2020-05,41.1385,35.9447
2020-06,41.2876,35.2146
2020-07,36.173,39.5903
2020-08,26.7536,48.5304
2020-09,26.1614,40.6583
2020-10,14.6504,35.284
2020-11,23.9833,43.8758
2020-12,24.7772,48.4488
2021-01,16.0208,45.6177
2021-02,13.578,42.6536
2021-03,16.17,44.2697
2021-04,24.3545,51.1309
2021-05,17.8045,46.9645
2021-06,22.3656,49.5312
2021-07,29.8718,52.4159
2021-08,31.1036,56.1018
2021-09,21.9274,48.0813
2021-10,21.3757,56.0144
2021-11,10.4157,53.5374
2021-12,21.6754,55.8343
2022-01,20.2742,46.4571
2022-02,25.2725,38.1483
2022-03,39.5527,42.2675
2022-04,38.6394,34.5494
2022-05,39.4551,36.0289
2022-06,30.5341,21.1749
2022-07,50.0361,31.8752
2022-08,38.2347,26.0562
2022-09,31.0684,14.2993
2022-10,42.6058,23.2183
2022-11,30.2108,29.7022
2022-12,23.5495,24.5108
2023-01,24.4765,29.2932
2023-02,14.5955,25.9536
2023-03,5.2606,29.4041
2023-04,14.0017,31.1074
2023-05,6.6148,31.3785
2023-06,16.5694,39.5074
2023-07,16.5464,43.6112
2023-08,14.3553,39.288
2023-09,10.9549,32.2789
2023-10,3.4266,29.0551
2023-11,16.6924,40.4823
2023-12,19.9545,46.4584
2024-01,21.5066,48.2956
2024-02,26.9723,55.4714
2024-03,27.0713,59.9707
2024-04,18.8878,54.3559
2024-05,18.8862,58.7198
2024-06,19.653,63.7565
2024-07,23.4006,62.4775
2024-08,18.8457,65.2821
2024-09,18.0061,63.7333
2024-10,19.1514,61.5953
2024-11,17.7164,70.4058
2024-12,17.2481,65.7986
2025-01,16.2824,69.6123
2025-02,15.794,66.3646
2025-03,17.7467,60.3871
2025-04,9.0609,59.1236
2025-05,14.0333,68.5307
2025-06,13.2896,76.5585
2025-07,6.2894,79.9077
2025-08,4.638,82.9229
2025-09,-4.2246,88.6543
2025-10,-4.19,92.3724
2025-11,12.1959,92.0168
2025-12,17.6166,91.3981
2026-01,21.2842,93.9446
