Date,rate_TRX_USD_5D,rate_VOO_20D
2017-11,-3.0045,1.2419
2017-12,1890.3916,1.9756
2018-01,1730.7277,6.2401
2018-02,1113.5473,0.4718
2018-03,703.9684,-1.9552
2018-04,1720.4129,-1.9914
2018-05,936.9486,0.5187
2018-06,493.5876,0.9899
2018-07,380.2429,4.1663
2018-08,233.1813,6.986
2018-09,174.008,6.9818
2018-10,171.5233,1.141
2018-11,107.8261,2.3701
2018-12,152.3605,-6.858
2019-01,210.2103,0.8249
2019-02,179.5057,4.0137
2019-03,165.7847,5.6414
2019-04,161.7492,9.4951
2019-05,249.2306,2.4214
2019-06,225.7283,9.0406
2019-07,122.3172,10.1519
2019-08,50.2007,7.9738
2019-09,38.1399,9.7645
2019-10,87.0673,11.7014
2019-11,43.1766,15.2057
2019-12,21.9252,17.9794
2020-01,70.0831,17.235
2020-02,49.1648,7.0941
2020-03,36.3938,-7.9406
2020-04,77.1068,4.6638
2020-05,81.5653,9.5342
2020-06,84.2952,11.2047
2020-07,118.3973,17.2657
2020-08,220.2658,24.8624
2020-09,179.031,19.5322
2020-10,171.0995,15.9403
2020-11,225.0531,24.3336
2020-12,165.21,28.2729
2021-01,178.6627,25.8281
2021-02,292.5566,24.7646
2021-03,572.291,29.741
2021-04,844.1566,35.8213
2021-05,610.701,32.6062
2021-06,488.2996,34.8366
2021-07,443.4352,37.3268
2021-08,639.9487,40.5299
2021-09,631.3683,33.1874
2021-10,715.5338,41.7545
2021-11,638.0635,39.8513
2021-12,484.4799,41.4463
2022-01,343.133,33.2825
2022-02,358.5463,26.8862
2022-03,444.3984,30.5815
2022-04,323.5213,22.8796
2022-05,388.7601,25.2532
2022-06,331.2172,10.7799
2022-07,353.0116,20.6897
2022-08,320.9087,18.0111
2022-09,298.1795,13.5982
2022-10,308.0818,18.1222
2022-11,272.1527,24.2891
2022-12,266.9964,18.7933
2023-01,299.7163,24.3223
2023-02,303.7145,21.0283
2023-03,290.4902,23.9899
2023-04,296.2858,25.5835
2023-05,338.0951,25.7931
2023-06,331.361,33.536
2023-07,336.5215,37.3877
2023-08,325.8136,33.4325
2023-09,387.0268,26.6581
2023-10,408.0454,23.5213
2023-11,416.6247,34.4265
2023-12,402.3363,40.0857
2024-01,385.3282,38.1786
2024-02,501.5388,44.8049
2024-03,464.5263,48.9234
2024-04,432.6258,43.6353
2024-05,417.3345,47.7624
2024-06,459.4756,52.3807
2024-07,487.3367,51.1156
2024-08,602.5654,54.6737
2024-09,580.0306,53.8851
2024-10,598.1313,51.8095
2024-11,650.0855,60.019
2024-12,802.617,54.7911
2025-01,758.8072,55.4258
2025-02,626.6831,52.4073
2025-03,589.2259,47.4431
2025-04,605.9383,46.7808
2025-05,653.1063,55.4125
2025-06,624.0731,62.7421
2025-07,635.6739,63.5118
