Date,rate_HII_5D,rate_VOO_20D
2016-01,0.0,-3.28
2016-02,2.7798,-2.376
2016-03,6.1008,4.071
2016-04,10.2368,3.4463
2016-05,14.6829,4.5141
2016-06,22.3141,4.1644
2016-07,22.2135,7.3333
2016-08,14.6094,6.6525
2016-09,4.9143,6.013
2016-10,9.7613,3.6115
2016-11,20.9275,7.182
2016-12,22.6988,8.8567
2017-01,29.1308,10.0774
2017-02,42.9448,13.6125
2017-03,28.5744,12.8284
2017-04,26.9898,13.2286
2017-05,22.542,14.0432
2017-06,15.275,13.9758
2017-07,26.442,15.5728
2017-08,30.125,15.1519
2017-09,36.0531,16.7674
2017-10,38.0211,18.6971
2017-11,41.8187,21.4906
2017-12,36.6461,22.1742
2018-01,37.7101,28.0253
2018-02,50.4325,22.3109
2018-03,46.0246,18.5822
2018-04,36.1874,18.439
2018-05,23.1349,20.6342
2018-06,19.8956,20.8295
2018-07,28.0963,24.4195
2018-08,33.788,27.64
2018-09,40.0961,27.5571
2018-10,18.5138,18.148
2018-11,16.6923,19.8158
2018-12,2.683,8.7803
2019-01,11.34,17.0692
2019-02,13.0373,20.3898
2019-03,11.4496,22.1512
2019-04,19.2642,26.4471
2019-05,9.8825,17.8766
2019-06,20.0027,25.6026
2019-07,21.3688,26.8029
2019-08,11.2296,24.165
2019-09,12.7013,26.0707
2019-10,19.7952,28.2682
2019-11,33.4976,32.2632
2019-12,32.3078,35.5066
2020-01,37.6267,34.7146
2020-02,8.2992,23.2206
2020-03,-4.184,7.5857
2020-04,0.8539,21.2139
2020-05,5.8848,26.5664
2020-06,-7.6293,28.3643
2020-07,-7.887,35.3077
2020-08,-18.9742,44.0007
2020-09,-24.3806,37.8818
2020-10,-20.274,33.7409
2020-11,-12.4229,47.6567
2020-12,-6.6463,52.3191
2021-01,-13.8301,49.9619
2021-02,-2.7662,53.2489
2021-03,13.7612,59.3139
2021-04,17.0892,66.7128
2021-05,19.5255,66.7978
2021-06,16.1517,69.5264
2021-07,12.7845,72.593
2021-08,12.6791,76.58
2021-09,6.366,67.3306
2021-10,11.5592,78.0118
2021-11,-1.8087,75.6346
2021-12,3.3175,82.5203
2022-01,3.5192,71.9304
2022-02,13.6236,65.8784
2022-03,10.6654,71.2418
2022-04,17.8436,55.3862
2022-05,16.9784,55.0693
2022-06,20.8028,41.677
2022-07,19.9427,54.0588
2022-08,27.6991,47.0803
2022-09,22.4987,33.1115
2022-10,41.7501,43.3799
2022-11,28.0981,50.707
2022-12,27.0275,41.5455
2023-01,21.4439,49.9054
2023-02,18.9248,45.6128
2023-03,14.1669,50.431
2023-04,11.0229,52.2262
2023-05,11.4049,52.3734
2023-06,25.7426,61.6123
2023-07,26.5611,66.208
2023-08,21.7872,62.8182
2023-09,12.851,54.4786
2023-10,21.0927,50.5707
2023-11,31.0015,63.7242
2023-12,43.0704,70.5007
2024-01,42.6744,72.5028
2024-02,60.7916,80.6678
2024-03,60.0185,85.7322
2024-04,51.4259,77.499
2024-05,38.5912,85.5862
2024-06,34.495,91.319
2024-07,52.4135,92.6342
2024-08,54.1281,96.3435
2024-09,44.1587,99.6776
2024-10,0.5869,96.8805
2024-11,8.3232,107.4927
2024-12,3.3625,101.7132
2025-01,7.8966,106.1747
2025-02,-3.2942,102.6383
2025-03,12.4406,90.4787
2025-04,26.7727,88.1311
2025-05,23.2629,99.0692
2025-06,33.1773,108.4087
2025-07,53.4048,112.1972
2025-08,49.2382,115.6241
2025-09,58.6134,122.2463
2025-10,76.7593,126.4867
2025-11,72.2185,125.9202
2025-12,86.0296,125.0582
2026-01,128.9193,126.4133
