Date,rate_ICLN_5D,rate_VOO_20D
2016-01,-0.2479,0.7475
2016-02,-8.5562,0.3631
2016-03,3.0026,6.1635
2016-04,0.7359,4.8532
2016-05,-3.805,5.5092
2016-06,-6.3894,4.9516
2016-07,-2.2099,8.0529
2016-08,-1.1076,7.2728
2016-09,-1.7714,6.525
2016-10,-4.9059,4.0384
2016-11,-12.5922,7.3996
2016-12,-11.7596,9.0221
2017-01,-6.8722,10.0556
2017-02,-2.4547,13.4646
2017-03,-2.8322,12.6934
2017-04,-3.6268,13.0265
2017-05,-1.1158,13.8264
2017-06,-0.9678,13.7461
2017-07,4.4726,15.2839
2017-08,5.3859,14.8547
2017-09,3.3783,16.4705
2017-10,6.9173,18.391
2017-11,2.0318,21.1572
2017-12,7.6489,21.8357
2018-01,10.1914,27.5767
2018-02,7.4179,19.4887
2018-03,8.9757,15.9328
2018-04,12.3318,14.9578
2018-05,10.3106,17.1859
2018-06,0.5676,17.444
2018-07,4.8332,20.9505
2018-08,0.2083,24.1299
2018-09,-1.146,24.1209
2018-10,-7.8011,14.1084
2018-11,0.0522,15.0224
2018-12,-6.9365,4.4886
2019-01,6.982,12.5608
2019-02,9.1504,15.8612
2019-03,8.0428,17.612
2019-04,10.1435,21.8639
2019-05,6.8626,16.0646
2019-06,13.9121,19.9808
2019-07,14.1253,21.2252
2019-08,13.604,18.3328
2019-09,13.181,20.1882
2019-10,8.7711,20.3259
2019-11,12.1364,24.2116
2019-12,20.2426,27.349
2020-01,23.1477,26.2815
2020-02,24.946,19.8213
2020-03,18.5735,15.7478
2020-04,33.5375,30.3559
2020-05,47.2884,35.9447
2020-06,48.9473,35.2146
2020-07,60.514,39.5903
2020-08,89.616,48.5304
2020-09,84.2635,40.6583
2020-10,95.478,35.284
2020-11,117.1491,43.8758
2020-12,158.7362,48.4488
2021-01,179.4408,45.6177
2021-02,167.7917,42.6536
2021-03,153.4236,44.2697
2021-04,140.1172,51.1309
2021-05,134.7397,46.9645
2021-06,139.5255,49.5312
2021-07,129.8713,52.4159
2021-08,126.9701,56.1018
2021-09,114.0414,48.0813
2021-10,141.4638,56.0144
2021-11,122.5786,53.5374
2021-12,113.7888,55.8343
2022-01,87.9423,46.4571
2022-02,106.2972,38.1483
2022-03,112.9374,42.2675
2022-04,100.8051,34.5494
2022-05,108.7441,36.0289
2022-06,89.2027,21.1749
2022-07,119.1657,31.8752
2022-08,116.6286,26.0562
2022-09,85.3954,14.2993
2022-10,84.9383,23.2183
2022-11,106.0189,29.7022
2022-12,97.024,24.5108
2023-01,97.0876,29.2932
2023-02,87.5362,25.9536
2023-03,78.6361,29.4041
2023-04,67.1061,31.1074
2023-05,60.4617,31.3785
2023-06,61.3651,39.5074
2023-07,59.648,43.6112
2023-08,39.9714,39.288
2023-09,26.8765,32.2789
2023-10,12.6714,29.0551
2023-11,22.8736,40.4823
2023-12,35.4378,46.4584
2024-01,19.8361,48.2956
2024-02,20.4585,55.4714
2024-03,20.8396,59.9707
2024-04,11.4543,54.3559
2024-05,25.7981,58.7198
2024-06,12.5064,63.7565
2024-07,19.258,62.4775
2024-08,20.26,65.2821
2024-09,18.8354,63.7333
2024-10,11.4083,61.5953
2024-11,4.5262,70.4058
2024-12,-3.0762,65.7986
2025-01,-3.1779,69.6123
2025-02,-5.3581,66.3646
2025-03,-2.7049,60.3871
2025-04,-2.3413,59.1236
2025-05,5.1419,68.5307
2025-06,6.7861,76.5585
2025-07,5.5884,79.9077
2025-08,8.8215,82.9229
2025-09,16.9505,88.6543
2025-10,30.5122,92.3724
2025-11,27.9064,92.0168
2025-12,24.4073,91.3981
