Date,rate_TPL_5D,rate_VOO_20D
2016-01,-2.6752,0.7475
2016-02,3.2243,0.3631
2016-03,9.2474,6.1635
2016-04,10.3032,4.8532
2016-05,20.6218,5.5092
2016-06,14.8203,4.9516
2016-07,11.3939,8.0529
2016-08,14.2119,7.2728
2016-09,51.898,6.525
2016-10,61.4638,4.0384
2016-11,61.869,7.3996
2016-12,56.6788,9.0221
2017-01,62.6272,10.0556
2017-02,49.3695,13.4646
2017-03,38.5385,12.6934
2017-04,49.497,13.0265
2017-05,35.3326,13.8264
2017-06,38.2497,13.7461
2017-07,54.0018,15.2839
2017-08,83.7629,14.8547
2017-09,80.0844,16.4705
2017-10,77.7271,18.391
2017-11,74.6049,21.1572
2017-12,87.9233,21.8357
2018-01,121.7361,27.5767
2018-02,106.3092,19.4887
2018-03,92.5866,15.9328
2018-04,99.241,14.9578
2018-05,153.7014,17.1859
2018-06,144.8012,17.444
2018-07,155.3381,20.9505
2018-08,182.3523,24.1299
2018-09,186.167,24.1209
2018-10,156.7494,14.1084
2018-11,129.9907,15.0224
2018-12,111.4923,4.4886
2019-01,167.566,12.5608
2019-02,181.4591,15.8612
2019-03,177.0257,17.612
2019-04,182.7307,21.8639
2019-05,162.9076,16.0646
2019-06,166.3144,19.9808
2019-07,165.8649,21.2252
2019-08,114.9484,18.3328
2019-09,110.244,20.1882
2019-10,83.1721,20.3259
2019-11,114.9648,24.2116
2019-12,146.0202,27.349
2020-01,135.1693,26.2815
2020-02,126.6768,19.8213
2020-03,103.0914,15.7478
2020-04,196.5113,30.3559
2020-05,201.6559,35.9447
2020-06,213.9963,35.2146
2020-07,181.9075,39.5903
2020-08,183.6598,48.5304
2020-09,167.9783,40.6583
2020-10,164.1854,35.284
2020-11,253.8694,43.8758
2020-12,310.3158,48.4488
2021-01,324.3591,45.6177
2021-02,387.6131,42.6536
2021-03,469.0161,44.2697
2021-04,456.2491,51.1309
2021-05,411.3256,46.9645
2021-06,435.7103,49.5312
2021-07,393.837,52.4159
2021-08,334.392,56.1018
2021-09,286.1628,48.0813
2021-10,288.7432,56.0144
2021-11,265.104,53.5374
2021-12,238.8101,55.8343
2022-01,188.84,46.4571
2022-02,216.5523,38.1483
2022-03,257.5523,42.2675
2022-04,266.1148,34.5494
2022-05,305.3646,36.0289
2022-06,298.5086,21.1749
2022-07,350.1978,31.8752
2022-08,347.483,26.0562
2022-09,311.8763,14.2993
2022-10,405.9868,23.2183
2022-11,480.8626,29.7022
2022-12,464.6234,24.5108
2023-01,426.7669,29.2932
2023-02,361.9099,25.9536
2023-03,332.9429,29.4041
2023-04,289.0564,31.1074
2023-05,262.3094,31.3785
2023-06,263.7213,39.5074
2023-07,312.8342,43.6112
2023-08,411.2422,39.288
2023-09,401.9489,32.2789
2023-10,383.631,29.0551
2023-11,372.9256,40.4823
2023-12,340.7292,46.4584
2024-01,306.3342,48.2956
2024-02,335.6743,55.4714
2024-03,376.2456,59.9707
2024-04,375.1367,54.3559
2024-05,375.9523,58.7198
2024-06,465.1952,63.7565
2024-07,522.7736,62.4775
2024-08,522.8691,65.2821
2024-09,479.0324,63.7333
2024-10,657.0028,61.5953
2024-11,930.1198,70.4058
2024-12,607.5422,65.7986
2025-01,723.0232,69.6123
2025-02,760.5922,66.3646
2025-03,709.058,60.3871
2025-04,643.4042,59.1236
2025-05,537.6872,68.5307
2025-06,501.1992,76.5585
2025-07,447.0018,79.9077
2025-08,423.7755,82.9229
2025-09,421.1517,88.6543
2025-10,422.9875,92.3724
2025-11,375.9309,92.0168
2025-12,372.1401,91.3981
2026-01,433.7506,92.8862
