Date,rate_HST_5D,rate_VOO_20D
2016-01,-8.5805,-3.28
2016-02,4.496,-2.376
2016-03,13.0943,4.071
2016-04,5.4767,3.4463
2016-05,1.6166,4.5141
2016-06,7.9561,4.1644
2016-07,16.7793,7.3333
2016-08,15.3366,6.6525
2016-09,0.9054,6.013
2016-10,0.2314,3.6115
2016-11,15.5337,7.182
2016-12,22.1732,8.8567
2017-01,15.5509,10.0774
2017-02,14.0835,13.6125
2017-03,18.5112,12.8284
2017-04,13.0752,13.2286
2017-05,12.5673,14.0432
2017-06,14.9089,13.9758
2017-07,16.401,15.5728
2017-08,12.2309,15.1519
2017-09,15.1649,16.7674
2017-10,21.1143,18.6971
2017-11,21.6061,21.4906
2017-12,22.6825,22.1742
2018-01,27.3369,28.0253
2018-02,13.0279,22.3109
2018-03,14.2827,18.5822
2018-04,19.4645,18.439
2018-05,31.3373,20.6342
2018-06,28.1247,20.8295
2018-07,26.5048,24.4195
2018-08,29.1461,27.64
2018-09,26.9666,27.5571
2018-10,14.3604,18.148
2018-11,13.2777,19.8158
2018-12,0.5694,8.7803
2019-01,8.9638,17.0692
2019-02,18.0249,20.3898
2019-03,14.5371,22.1512
2019-04,16.1497,26.4471
2019-05,8.9695,17.8766
2019-06,10.6213,25.6026
2019-07,5.379,26.8029
2019-08,-2.8334,24.165
2019-09,5.9737,26.0707
2019-10,0.4145,28.2682
2019-11,7.0613,32.2632
2019-12,14.8856,35.5066
2020-01,1.0454,34.7146
2020-02,-10.4172,23.2206
2020-03,-30.2435,7.5857
2020-04,-21.3924,21.2139
2020-05,-23.22,26.5664
2020-06,-30.2264,28.3643
2020-07,-29.7676,35.3077
2020-08,-26.2294,44.0007
2020-09,-28.6728,37.8818
2020-10,-30.2867,33.7409
2020-11,-6.2619,47.6567
2020-12,-2.2241,52.3191
2021-01,-9.3213,49.9619
2021-02,11.0781,53.2489
2021-03,12.6512,59.3139
2021-04,21.1353,66.7128
2021-05,14.263,66.7978
2021-06,13.4796,69.5264
2021-07,5.6095,72.593
2021-08,9.6935,76.58
2021-09,8.0542,67.3306
2021-10,11.1922,78.0118
2021-11,3.5841,75.6346
2021-12,14.6591,82.5203
2022-01,14.113,71.9304
2022-02,20.0048,65.8784
2022-03,27.3814,71.2418
2022-04,33.0077,55.3862
2022-05,30.2618,55.0693
2022-06,1.9618,41.677
2022-07,15.7134,54.0588
2022-08,15.259,47.0803
2022-09,3.6864,33.1115
2022-10,23.0508,43.3799
2022-11,23.1662,50.707
2022-12,6.301,41.5455
2023-01,24.6891,49.9054
2023-02,10.9325,45.6128
2023-03,9.5472,50.431
2023-04,7.346,52.2262
2023-05,10.1027,52.3734
2023-06,12.4879,61.6123
2023-07,22.7171,66.208
2023-08,5.1717,62.8182
2023-09,8.1624,54.4786
2023-10,4.1416,50.5707
2023-11,17.4068,63.7242
2023-12,33.5799,70.5007
2024-01,31.4724,72.5028
2024-02,41.4756,80.6678
2024-03,41.9997,85.7322
2024-04,29.2263,77.499
2024-05,22.6119,85.5862
2024-06,24.0114,91.319
2024-07,20.596,92.6342
2024-08,21.744,96.3435
2024-09,22.2405,99.6776
2024-10,19.5467,96.8805
2024-11,27.4963,107.4927
2024-12,23.1171,101.7132
2025-01,17.2902,106.1747
2025-02,13.0979,102.6383
2025-03,0.9864,90.4787
2025-04,0.299,88.1311
2025-05,9.9516,99.0692
2025-06,10.3621,108.4087
2025-07,12.7641,112.1972
2025-08,23.2966,115.6241
2025-09,23.1773,122.2463
2025-10,15.7757,126.4867
2025-11,27.2092,125.9202
2025-12,30.2166,125.0582
2026-01,36.9564,126.4133
