Date,rate_GD_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,1.3873,-0.6039
2016-03,-3.3781,5.2168
2016-04,4.3656,3.9893
2016-05,4.1818,4.6886
2016-06,2.1088,4.1237
2016-07,7.0604,7.1795
2016-08,9.7545,6.3603
2016-09,10.6537,5.6281
2016-10,7.0069,3.196
2016-11,23.5976,6.7601
2016-12,19.6739,8.3626
2017-01,26.0234,10.2536
2017-02,29.9588,13.6522
2017-03,25.9393,12.7005
2017-04,29.0645,12.9818
2017-05,33.4439,13.693
2017-06,28.1679,13.5288
2017-07,25.9429,15.0481
2017-08,27.7107,14.5515
2017-09,28.9777,16.1037
2017-10,26.4086,17.9557
2017-11,27.7813,20.6805
2017-12,24.3913,21.3029
2018-01,36.4861,28.0338
2018-02,34.8674,22.1441
2018-03,32.5868,18.3021
2018-04,20.2952,18.0902
2018-05,19.8478,20.2208
2018-06,10.0733,20.3415
2018-07,18.0642,23.8746
2018-08,13.7863,27.0072
2018-09,20.4274,27.7347
2018-10,1.5167,18.1437
2018-11,8.5371,19.7418
2018-12,-7.8664,8.5778
2019-01,0.842,17.1263
2019-02,0.2851,20.3748
2019-03,-0.2747,22.0514
2019-04,5.8096,26.2651
2019-05,-4.8665,17.5943
2019-06,7.5908,25.308
2019-07,10.4024,26.4355
2019-08,13.3282,23.7232
2019-09,8.2682,26.1617
2019-10,5.2066,28.2707
2019-11,7.9476,32.1761
2019-12,4.6062,35.3247
2020-01,4.6715,35.2749
2020-02,-4.8459,23.5454
2020-03,-21.1268,7.7105
2020-04,-20.9472,21.425
2020-05,-10.5911,26.7132
2020-06,-8.7853,28.4357
2020-07,-9.5922,35.3124
2020-08,-7.8167,43.9511
2020-09,-14.43,37.6938
2020-10,-17.8743,33.4637
2020-11,-6.3517,47.2943
2020-12,-6.601,51.8455
2021-01,-7.252,50.305
2021-02,3.4719,53.4604
2021-03,14.798,59.4101
2021-04,20.7469,66.6882
2021-05,20.1581,66.6274
2021-06,18.7702,69.2184
2021-07,24.0947,72.1455
2021-08,26.3876,75.992
2021-09,23.2728,66.6118
2021-10,27.825,77.1553
2021-11,18.7328,74.6519
2021-12,30.6436,81.397
2022-01,33.188,70.7122
2022-02,46.6506,64.6001
2022-03,50.1508,69.8532
2022-04,47.3113,54.0273
2022-05,39.4522,53.6333
2022-06,37.4022,40.2902
2022-07,40.1964,52.5094
2022-08,41.0323,45.531
2022-09,30.2117,31.5965
2022-10,53.5073,41.7445
2022-11,54.3737,48.9584
2022-12,51.0603,39.838
2023-01,42.6789,48.5632
2023-02,39.0086,44.2258
2023-03,38.6913,48.9578
2023-04,33.0083,50.6836
2023-05,24.0098,50.7741
2023-06,30.3392,59.884
2023-07,35.8486,64.3798
2023-08,37.2484,60.953
2023-09,33.3831,52.6248
2023-10,46.0018,48.7132
2023-11,48.8611,61.6976
2023-12,55.9078,68.3392
2024-01,59.8918,71.0275
2024-02,64.1532,79.0476
2024-03,68.9636,83.99
2024-04,71.75,75.7344
2024-05,78.5035,83.6813
2024-06,71.9539,89.2836
2024-07,77.0788,90.5002
2024-08,76.6746,94.0822
2024-09,78.3487,98.2932
2024-10,72.1402,95.412
2024-11,66.91,105.8418
2024-12,54.2482,99.9875
2025-01,51.2722,105.351
2025-02,48.1819,101.7087
2025-03,59.3575,89.4719
2025-04,59.3637,87.0451
2025-05,62.4924,97.8575
2025-06,69.536,107.0685
2025-07,81.2675,110.7404
2025-08,87.9941,114.0337
2025-09,97.5079,121.6081
2025-10,99.6965,125.7153
2025-11,96.8884,125.0226
2025-12,93.1638,124.0393
2026-01,110.3353,128.5087
