Date,rate_TXN_5D,rate_VOO_20D
2016-01,3.7916,0.7475
2016-02,3.3614,0.5732
2016-03,10.0025,6.1122
2016-04,7.751,5.1669
2016-05,9.7886,5.01
2016-06,6.8117,3.7643
2016-07,9.3263,5.7707
2016-08,8.2113,5.2042
2016-09,7.595,4.314
2016-10,6.8133,3.1133
2016-11,5.9154,5.5589
2016-12,4.7724,6.7166
2017-01,5.3964,7.5179
2017-02,5.3534,9.6627
2017-03,6.1023,9.1439
2017-04,5.5156,9.2546
2017-05,7.8594,9.5761
2017-06,4.2111,9.4332
2017-07,5.7083,10.0836
2017-08,5.9096,9.7575
2017-09,7.78,10.3465
2017-10,9.7428,11.0407
2017-11,9.4859,12.0547
2017-12,10.7652,12.1849
2018-01,11.6644,14.2981
2018-02,10.8303,10.7423
2018-03,5.6412,7.7377
2018-04,-0.0216,7.1663
2018-05,10.5057,9.4342
2018-06,11.2042,9.9109
2018-07,11.2026,13.185
2018-08,11.0791,16.0378
2018-09,9.7614,16.1493
2018-10,6.9009,10.1359
2018-11,11.401,10.9525
2018-12,2.6189,0.9755
2019-01,7.9323,8.6536
2019-02,11.6765,11.8003
2019-03,9.3795,10.9644
2019-04,11.8736,11.9994
2019-05,8.8595,9.7929
2019-06,14.4079,13.2837
2019-07,24.939,14.5748
2019-08,17.7481,12.0445
2019-09,21.9393,13.9283
2019-10,12.5208,13.8242
2019-11,12.9259,15.2406
2019-12,15.0367,16.3477
2020-01,13.2563,16.0
2020-02,3.6585,8.5928
2020-03,-5.1091,2.2428
2020-04,10.3327,15.3065
2020-05,9.0728,20.5007
2020-06,15.6223,20.6291
2020-07,14.931,25.1907
2020-08,20.7844,33.3535
2020-09,17.2118,26.8002
2020-10,18.7894,22.3781
2020-11,25.9123,31.0342
2020-12,25.4639,35.3489
2021-01,22.1619,32.969
2021-02,20.4337,31.3421
2021-03,29.6279,33.5115
2021-04,26.5406,39.9579
2021-05,28.9327,36.6678
2021-06,30.1719,39.0487
2021-07,26.5598,41.822
2021-08,23.1986,45.3402
2021-09,23.7579,37.9657
2021-10,16.6029,45.0363
2021-11,15.9525,42.8984
2021-12,11.2233,45.8776
2022-01,5.9711,37.2576
2022-02,-2.7827,30.0426
2022-03,4.9793,34.0335
2022-04,-0.5365,26.1433
2022-05,2.4514,27.4163
2022-06,-8.605,14.032
2022-07,6.7448,24.1716
2022-08,4.1277,22.3837
2022-09,3.3523,19.8311
2022-10,-1.201,25.5829
2022-11,10.9818,32.1735
2022-12,4.3926,26.2075
2023-01,8.2002,32.0065
2023-02,5.9966,28.5111
2023-03,13.2911,32.0763
2023-04,1.7463,33.7937
2023-05,6.5718,34.0419
2023-06,5.2057,42.2913
2023-07,3.8937,46.4427
2023-08,1.8698,42.2085
2023-09,-3.6361,35.0408
2023-10,-13.0768,31.7156
2023-11,-6.4999,43.3533
2023-12,4.3881,49.4187
2024-01,-4.7113,45.9225
2024-02,-2.4279,52.9775
2024-03,-1.7466,57.4105
2024-04,-1.495,51.7233
2024-05,9.1761,56.0692
2024-06,9.033,61.0314
2024-07,8.9562,60.1437
2024-08,15.9028,63.097
2024-09,8.5814,62.2106
2024-10,4.1739,60.0887
2024-11,2.7935,68.8548
2024-12,0.5848,63.7125
2025-01,0.2876,64.5325
2025-02,1.3072,63.2827
2025-03,-6.0837,58.1497
2025-04,-13.9533,54.0822
2025-05,-1.5728,63.2308
2025-06,11.7023,71.0368
2025-07,13.9823,74.3035
2025-08,17.9408,77.2429
2025-09,8.3673,82.8085
2025-10,3.3035,86.4244
2025-11,4.8934,81.8929
2025-12,4.5265,81.1479
2026-01,9.0973,82.5351
