Date,rate_TSLT_5D,rate_VOO_20D
2023-10,0.0,-3.2003
2023-11,13.9574,10.8305
2023-12,12.8859,18.0644
2024-01,-30.5369,20.2277
2024-02,-15.5218,28.9641
2024-03,-36.1869,34.3974
2024-04,-34.2371,25.6556
2024-05,-35.7459,34.3094
2024-06,-19.091,40.458
2024-07,-2.8926,41.9054
2024-08,-16.0316,45.8937
2024-09,21.9177,49.5053
2024-10,-5.0585,46.5589
2024-11,71.6908,57.9176
2024-12,128.1097,51.7779
2025-01,116.7039,56.5977
2025-02,76.3853,52.8578
2025-03,41.4151,39.8868
2025-04,49.0952,39.7976
