Date,rate_007660_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Volatility_Adjustment,Expected_Return,sma60_ta,sma120_ta,sma240_ta,Mean_Relative_Divergence_240,Percentile_90_Relative_Divergence_240,Difference_Percentile_vs_Mean,Rolling_Divergence_480
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,
2015-03-06,24.06,2.37,21.69,91.25,58.92,23.77,,0.1742957317073171,,,,,,,
2015-05-06,6.63,2.5,4.13,13.9,-53.65,29.71,,2.490841111111111,,,,,,,
2015-07-02,13.11,2.14,10.97,34.14,-29.04,32.13,,2.0253528462809918,,,,,,,
2015-08-28,5.57,-1.87,7.44,38.66,-2.23,32.13,,1.5505304223602485,,,,,,,
2015-10-29,-4.72,2.94,-7.66,1.14,-40.25,32.13,,0.0,,,,,,,
2015-12-28,-14.77,1.03,-15.8,5.09,5.09,32.13,,0.0,,,,,,,
2016-03-03,-4.12,-1.54,-2.58,31.27,21.61,32.13,,0.0,,,,,,,
2016-05-02,-3.93,2.47,-6.4,23.7,-4.52,32.13,,0.0,,,,,,,
2016-07-01,-8.49,3.41,-11.9,12.81,1.44,32.13,,0.0,,,,,,,
2016-08-30,-16.89,7.33,-24.22,1.31,-4.61,32.13,,0.0,,,,,,,
2016-11-01,-23.7,3.83,-27.53,3.46,0.0,32.13,,0.0,,,,,,,
2016-12-29,-23.25,10.32,-33.57,3.4,1.97,32.13,2.5665466340972554,0.0,,,,,,,
2017-03-06,-20.94,16.55,-37.49,3.02,-6.68,32.13,2.4562113717708947,0.0,,,,,,,
2017-05-04,-21.86,16.76,-38.62,1.8,-6.07,32.13,2.5808612052552697,0.0,,,,,,,
2017-07-06,-20.49,17.41,-37.9,7.12,7.12,32.13,2.9710253338011308,0.0,,,,,,,
2017-09-01,-17.99,20.67,-38.66,9.57,9.22,32.13,3.1050173612516287,0.0,,,,,,,
2017-11-08,-27.65,25.79,-53.44,1.02,0.3,32.13,3.11326321430964,0.0,,,,,,,
2018-01-10,-29.19,32.64,-61.83,0.04,-0.67,32.13,3.1967597433329296,0.0,,,,,,,
2018-03-14,-32.14,32.75,-64.89,2.43,-8.86,32.13,3.12027035981711,0.0,,,,,,,
2018-05-14,-29.01,31.18,-60.19,7.16,2.94,32.13,2.4662555203206167,0.0,,,,,,,
2018-07-16,-36.32,33.8,-70.12,0.1,-3.98,32.13,2.4241393965150873,0.0,,,,,,,
