Date,rate_SRE_5D,rate_VOO_20D
2015-01,1.1947139797210848,-1.51883821105957
2015-02,-3.058666505177809,3.8070968297322594
2015-03,-0.8130908055305364,0.9869815998077458
2015-04,-3.494152482604973,1.746609788513198
2015-05,-1.907366930325816,2.445588916778574
2015-06,-8.87159995596749,0.0477907703944735
2015-07,-5.173670094251626,2.036065773010254
2015-08,-11.224951914257463,-4.434955702039933
2015-09,-7.401560333061208,-6.094754901123056
2015-10,-1.2628562939383747,2.297198058388461
2015-11,-4.2635828518867385,2.398867918014536
2015-12,-8.390812407126791,0.3434842582115793
2016-01,-7.037174289294645,-4.526556011199945
2016-02,-4.932290376663195,-4.447776052347807
2016-03,3.530478442788132,2.171918551921848
2016-04,2.49544658200882,2.3246534796322
2016-05,5.972945198376967,3.9153854001363175
2016-06,13.220175498058918,4.007211689597678
2016-07,10.445787187957766,7.591796272659312
2016-08,2.816242612112152,7.342827312287836
2016-09,5.938922501824129,7.017405352852579
2016-10,5.655742379727591,4.798166585839314
2016-11,-1.6938528022765964,8.494417452812186
2016-12,-0.0593911344909603,10.390340516052255
2017-01,1.640363584811877,11.902465105203476
2017-02,9.432988685184052,15.760172810024686
2017-03,10.12691128287997,15.283810577392586
2017-04,12.281535388749232,15.934837635961085
2017-05,15.325350105857872,16.994732089996354
2017-06,11.112063660590875,17.136491519558827
2017-07,11.839780781090248,18.97368247628213
2017-08,16.27259167532489,18.72021334214644
2017-09,12.84576380634308,20.55446576735553
2017-10,15.787892942319615,22.72430744825091
2017-11,18.77907816982272,25.80142356872559
2017-12,5.328582245027724,26.694769996436875
2018-01,5.313057031882451,32.97909767351652
2018-02,7.100662445557426,27.21647870068676
2018-03,10.029085672330872,23.43972660999301
2018-04,10.369135598996792,23.331216960069632
2018-05,4.924445578438919,25.71673701695034
2018-06,15.173533491445168,26.03137057779001
2018-07,14.31433816324581,29.88571162189137
2018-08,14.481488761647544,33.36296950802276
2018-09,12.724725860346918,33.3918790653063
2018-10,8.856429494330232,23.634906579200265
2018-11,13.691393200397496,25.430798621495576
2018-12,7.359161595753272,13.860616566560724
2019-01,15.938179986190804,22.547338644561776
2019-02,19.04090742055109,26.049386642904835
2019-03,24.95554518314509,27.93759137138956
2019-04,26.529363999960577,32.513803738576065
2019-05,29.500808650228706,23.552872470997
2019-06,34.821668194614766,31.707439969149533
2019-07,33.17145927235059,33.02750794274467
2019-08,38.643889164640186,30.28605754383824
2019-09,44.76840970269564,32.31786238834778
2019-10,40.99512048236396,34.651508380954546
2019-11,42.95054497680666,38.90061049753826
2019-12,47.25254298275807,42.375704128077786
2020-01,55.366021906698926,41.62131643898259
2020-02,34.42686069682288,29.5427321130662
2020-03,9.320572932600978,12.97110064816478
2020-04,19.804737268477247,27.26038035595235
2020-05,21.92229229510916,32.88546118568654
2020-06,13.808446560646171,34.81822934404062
2020-07,20.54975036632316,42.17250576456857
2020-08,19.467194008702823,51.40204012431269
2020-09,15.150479203987132,44.99916935479303
2020-10,21.71591111835964,40.68801371689919
2020-11,23.43509376192092,55.41064799700845
2020-12,24.04040215865881,60.411175375010885
2021-01,20.20320543897476,57.97923380929071
2021-02,12.378408831634546,61.51733406178792
2021-03,29.337258842468277,68.00672805394625
2021-04,33.80954245227963,75.92919507777228
2021-05,31.34981100615477,76.11248373677182
2021-06,28.03370282298705,79.0925594350115
2021-07,26.935869516825672,82.44035500230791
2021-08,28.24756613434687,86.77094594460945
2021-09,23.261111848854444,77.06185421966927
2021-10,24.08225142566269,88.49487247136128
2021-11,16.253148071061997,86.06099285770598
2021-12,29.174852965635424,93.48968627094942
2022-01,34.558688615000534,82.32639536010389
2022-02,40.05746908187868,75.96183801348457
2022-03,63.89641304362905,81.72838743808055
2022-04,56.60213454874445,64.93007274593398
2022-05,58.39560774815877,64.61976239615548
2022-06,44.67293861192139,50.393086845901
2022-07,60.30742808711012,63.583325070505566
2022-08,58.857200793973874,56.17965769901072
2022-09,44.79732937536849,41.27471529607571
2022-10,45.24682197293735,52.2262462709929
2022-11,59.387121321558965,60.02454893517495
2022-12,48.72440212800333,50.263925301699295
2023-01,53.78012503705707,59.16942546354023
2023-02,43.32671370427297,54.60519879543422
2023-03,45.21802448776244,59.76581059638979
2023-04,48.92274150863496,61.693779144060514
2023-05,37.01839852931455,61.85998552696379
2023-06,38.61061046692933,71.72745327973598
2023-07,42.65111182737351,76.66096866028127
2023-08,34.06405196929205,73.06741170138406
2023-09,30.654867904627103,64.21149489212037
2023-10,34.23610088908118,60.05627311257336
2023-11,39.334770801756136,74.10481166945564
2023-12,43.68593908068456,81.34791674629705
2024-01,37.19676116336477,83.50704028424352
2024-02,35.010785938469134,92.2476011635033
2024-03,38.2541986459664,97.68818280867168
2024-04,37.53594358626509,88.93486018297314
2024-05,47.54080223990322,97.60024152113265
2024-06,46.46726328572812,103.75723332804804
2024-07,53.75366932326351,105.20664699547866
2024-08,57.33256506895408,109.20046217170128
2024-09,60.805793265520514,112.81713208492734
2024-10,59.789477009749234,109.86680119330146
2024-11,78.98034801940919,121.24141039193472
2024-12,68.15072435996947,115.0932300270648
2025-01,66.46669272588512,113.64879989017425
