Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,rate_vs,shares_vs,Close_vs
2015-01-02,105.61939239501953,104.1378268676722,105.91716459264295,103.7674474652455,105.61939239501953,1453513,2000.0,0,2000.0,0.0,0.0,0.0,2000,Monthly invest,0.0,0.0,0.0,0.0,0.0,0.0,105.61939239501953,0.0,APD,0.0,0.0,157.63284301757812
2015-01-05,102.24234008789062,104.84234028125529,104.84234028125529,101.47250695916172,102.24234008789062,1905371,1990.2869776916505,0,47.68251602172859,1942.6044616699219,19.0,-0.48565111541747363,2000,Buy all cash ,0.0,0.0,0.0,0.0,0.0,0.0,105.61939239501953,-0.2045,APD,-0.4645900268554714,12.0,154.86334228515625
2015-01-06,102.20603942871094,102.7579910106655,103.67307462308754,101.46525631585351,102.20603942871094,1280120,1989.5972651672364,0,47.68251602172859,1941.9147491455078,19.0,-0.5201367416381775,2000,,0.0,0.0,0.0,0.0,0.0,0.0,105.61939239501953,-0.3246,APD,-1.3782496948242184,12.0,153.340576171875
2015-01-07,103.30992889404297,103.0048971059136,103.6004296544458,102.20601402509942,103.30992889404297,731945,2010.571165008545,0,47.68251602172859,1962.8886489868164,19.0,0.5285582504272579,2000,,0.0,0.0,0.0,0.0,0.0,0.0,105.61939239501953,-0.3147,APD,-0.2286220092773461,12.0,155.25662231445312
2015-01-08,105.69932556152344,103.78200822009929,105.96077629270651,103.78200822009929,105.69932556152344,1077865,2055.969701690674,0,47.68251602172859,2008.2871856689453,19.0,2.798485084533686,2000,,0.0,103.8154,0.0,0.0,0.0,0.0,105.69932556152344,-0.1444,APD,1.4079746704101614,12.0,157.98428344726562
2015-01-09,104.11607360839844,105.94624041542811,105.94624041542811,103.99987330188308,104.11607360839844,803399,2025.887914581299,0,47.68251602172859,1978.2053985595703,19.0,1.2943957290649344,2000,,0.0,103.5147,0.0,0.0,0.0,0.0,105.69932556152344,-0.1244,APD,0.6097263793945373,12.0,156.65386962890625
2015-01-12,103.39707946777344,104.0361811427959,104.1015408192518,102.78701588947553,103.39707946777344,573362,2012.227025909424,0,47.68251602172859,1964.5445098876953,19.0,0.6113512954711853,2000,,0.0,103.7457,0.0,0.0,0.0,0.0,105.69932556152344,-0.1467,APD,-0.0880702514648446,12.0,155.49087524414062
2015-01-13,102.85237121582031,104.05068367138217,104.7914664849803,101.74845651845168,102.85237121582031,744917,2001.8775691223145,0,47.68251602172859,1954.195053100586,19.0,0.09387845611572576,2000,,0.0,103.875,0.0,0.0,0.0,0.0,105.69932556152344,-0.1837,APD,-0.3340266723632745,12.0,155.08094787597656
2015-01-14,101.62500762939453,101.3054568082801,101.83561767573052,99.94735084427852,101.62500762939453,1106728,1978.5576609802247,0,47.68251602172859,1930.875144958496,19.0,-1.0721169509887662,2000,,0.0,103.538,0.0,0.0,0.0,0.0,105.69932556152344,-0.2695,APD,-0.8812282104492142,12.0,154.1689453125
2015-01-15,101.28369140625,102.64905723308145,103.16468720153364,101.02224066951071,101.28369140625,992034,1972.0726527404786,0,47.68251602172859,1924.39013671875,19.0,-1.3963673629760698,2000,,0.0,102.6548,0.0,0.0,0.0,0.0,105.69932556152344,-0.3269,APD,-1.7447261352539043,12.0,152.7297821044922
