Date,rate_WBD_5D,rate_VOO_20D
2016-01,2.3174,-0.2222
2016-02,-8.8516,-0.538
2016-03,1.7252,5.4876
2016-04,-2.3686,4.3009
2016-05,-2.4628,5.0489
2016-06,-9.8698,4.5571
2016-07,-9.2169,7.6935
2016-08,-6.6485,6.9533
2016-09,-0.9453,6.2375
2016-10,-4.0367,3.7854
2016-11,-0.2893,7.1677
2016-12,0.3898,8.807
2017-01,3.6082,9.8558
2017-02,4.9082,13.2781
2017-03,5.9122,12.5186
2017-04,4.4382,12.862
2017-05,-3.5117,13.671
2017-06,-5.8345,13.5989
2017-07,-10.1251,15.144
2017-08,-18.0691,14.7216
2017-09,-20.6752,16.3433
2017-10,-28.9095,18.2694
2017-11,-26.8681,21.041
2017-12,-12.8498,21.7242
2018-01,-1.9762,27.4695
2018-02,-11.468,19.3615
2018-03,-21.6419,15.7832
2018-04,-12.9275,14.8108
2018-05,-22.0159,17.0438
2018-06,2.2626,17.3176
2018-07,-1.2087,20.8062
2018-08,3.389,23.987
2018-09,18.4108,23.9821
2018-10,17.942,13.9627
2018-11,8.0658,14.891
2018-12,1.6254,4.3997
2019-01,11.2683,12.4657
2019-02,12.9845,15.764
2019-03,5.4971,17.5172
2019-04,20.3141,21.7565
2019-05,5.5601,15.9825
2019-06,14.8468,19.9006
2019-07,12.6485,21.1479
2019-08,9.3924,18.2717
2019-09,5.2537,20.1285
2019-10,6.4222,20.2617
2019-11,29.7523,24.1404
2019-12,28.3633,27.2792
2020-01,14.4259,26.2131
2020-02,0.1305,19.7543
2020-03,-19.4238,15.6821
2020-04,-7.126,30.2617
2020-05,-10.5311,35.8523
2020-06,-9.6174,35.1239
2020-07,-11.9448,39.5012
2020-08,-7.7169,48.4406
2020-09,-13.0351,40.57
2020-10,-19.0812,35.226
2020-11,4.6182,43.8337
2020-12,12.6889,48.4074
2021-01,48.294,45.5769
2021-02,67.9224,42.6135
2021-03,97.7924,44.2303
2021-04,85.4728,51.092
2021-05,57.0876,46.9262
2021-06,49.2772,49.4935
2021-07,40.4401,52.3787
2021-08,39.033,56.0652
2021-09,24.0209,48.0452
2021-10,12.5156,55.9789
2021-11,15.8458,53.5023
2021-12,15.2019,55.7997
2022-01,29.2813,46.4229
2022-02,26.1964,38.1146
2022-03,15.5672,42.2235
2022-04,-9.5865,34.5061
2022-05,-7.5424,35.9861
2022-06,-27.8726,21.1493
2022-07,-22.8524,31.8499
2022-08,-31.6905,26.0177
2022-09,-40.8619,14.2613
2022-10,-36.0743,23.1597
2022-11,-46.8308,29.6167
2022-12,-54.0862,24.435
2023-01,-33.9195,29.2005
2023-02,-33.9499,25.863
2023-03,-33.7701,29.3114
2023-04,-38.7419,31.0157
2023-05,-45.6737,31.2861
2023-06,-40.986,39.4108
2023-07,-38.0698,43.5156
2023-08,-38.8152,39.1934
2023-09,-45.2805,32.2074
2023-10,-49.8467,28.9933
2023-11,-49.9126,40.4062
2023-12,-44.9868,46.3831
2024-01,-51.0336,48.2211
2024-02,-58.2841,55.3929
2024-03,-58.0205,59.893
2024-04,-64.1283,54.279
2024-05,-59.2378,58.6437
2024-06,-62.6879,63.681
2024-07,-55.8913,62.4028
2024-08,-59.1937,65.2032
2024-09,-60.6707,63.6745
2024-10,-60.7805,61.537
2024-11,-48.9527,70.3476
2024-12,-48.0732,65.7569
2025-01,-48.2777,69.5588
2025-02,-42.7253,66.3116
2025-03,-48.7626,60.3346
2025-04,-52.02,59.0646
2025-05,-44.2791,68.4722
2025-06,-35.5181,76.5005
2025-07,-25.5194,79.8502
2025-08,-31.2404,82.8659
2025-09,15.5795,88.5978
2025-10,19.1449,92.3152
2025-11,27.1746,91.9565
2025-12,52.3551,91.3383
2026-01,50.6677,93.2969
