Date,rate_BG_5D,rate_VOO_20D
2016-01,0.0,0.7475
2016-02,-7.7148,0.3631
2016-03,5.8014,6.1635
2016-04,15.2276,4.8532
2016-05,21.7173,5.5092
2016-06,8.1362,4.9516
2016-07,16.8621,8.0529
2016-08,12.7771,7.2728
2016-09,4.1675,6.525
2016-10,7.9675,4.0384
2016-11,18.5762,7.3996
2016-12,23.6399,9.0221
2017-01,17.1467,10.0556
2017-02,37.8466,13.4646
2017-03,31.2939,12.6934
2017-04,29.1172,13.0265
2017-05,29.8863,13.8264
2017-06,19.731,13.7461
2017-07,24.5829,15.2839
2017-08,18.4308,14.8547
2017-09,9.3045,16.4705
2017-10,7.6395,18.391
2017-11,5.0584,21.1572
2017-12,5.0866,21.8357
2018-01,24.0886,27.5767
2018-02,22.4949,19.4887
2018-03,21.0157,15.9328
2018-04,16.1624,14.9578
2018-05,12.109,17.1859
2018-06,11.9435,17.444
2018-07,10.6924,20.9505
2018-08,4.7298,24.1299
2018-09,10.6347,24.1209
2018-10,4.6114,14.1084
2018-11,2.4975,15.0224
2018-12,-7.3095,4.4886
2019-01,-6.4603,12.5608
2019-02,-8.8412,15.8612
2019-03,-8.6461,17.612
2019-04,-9.5735,21.8639
2019-05,-11.0369,16.0646
2019-06,-8.6472,19.9808
2019-07,-7.2939,21.2252
2019-08,-14.5487,18.3328
2019-09,-12.2041,20.1882
2019-10,-18.8146,20.3259
2019-11,-18.7123,24.2116
2019-12,-12.0185,27.349
2020-01,-19.6321,26.2815
2020-02,-24.4858,19.8213
2020-03,-22.4059,15.7478
2020-04,-24.2467,30.3559
2020-05,-28.0888,35.9447
2020-06,-23.7387,35.2146
2020-07,-23.5674,39.5903
2020-08,-17.9965,48.5304
2020-09,-19.5995,40.6583
2020-10,-3.2087,35.284
2020-11,-3.0406,43.8758
2020-12,-1.1891,48.4488
2021-01,-3.1505,45.6177
2021-02,4.7176,42.6536
2021-03,3.2662,44.2697
2021-04,7.5914,51.1309
2021-05,11.578,46.9645
2021-06,8.0795,49.5312
2021-07,10.5102,52.4159
2021-08,8.3798,56.1018
2021-09,16.234,48.0813
2021-10,32.1058,56.0144
2021-11,27.1749,53.5374
2021-12,33.87,55.8343
2022-01,35.2781,46.4571
2022-02,35.108,38.1483
2022-03,32.9466,42.2675
2022-04,37.5763,34.5494
2022-05,40.6298,36.0289
2022-06,20.5544,21.1749
2022-07,26.0449,31.8752
2022-08,35.8387,26.0562
2022-09,12.9511,14.2993
2022-10,34.645,23.2183
2022-11,37.0895,29.7022
2022-12,35.0071,24.5108
2023-01,27.3795,29.2932
2023-02,23.2244,25.9536
2023-03,15.9909,29.4041
2023-04,13.4727,31.1074
2023-05,11.7099,31.3785
2023-06,13.6465,39.5074
2023-07,30.6686,43.6112
2023-08,34.5907,39.288
2023-09,32.0724,32.2789
2023-10,31.2755,29.0551
2023-11,36.5858,40.4823
2023-12,25.1593,46.4584
2024-01,9.1294,48.2956
2024-02,17.5886,55.4714
2024-03,27.5648,59.9707
2024-04,23.5327,54.3559
2024-05,26.0996,58.7198
2024-06,24.8796,63.7565
2024-07,22.3999,62.4775
2024-08,22.1588,65.2821
2024-09,16.2848,63.7333
2024-10,0.9768,61.5953
2024-11,8.6049,70.4058
2024-12,-5.9538,65.7986
2025-01,-7.8764,69.6123
2025-02,-9.256,66.3646
2025-03,-6.4214,60.3871
2025-04,-6.9691,59.1236
2025-05,-13.7012,68.5307
2025-06,-17.8333,76.5585
2025-07,-18.0974,79.9077
2025-08,-12.6367,82.9229
2025-09,-14.852,88.6543
2025-10,-0.7432,92.3724
2025-11,1.5198,92.0168
2025-12,-5.7023,91.3981
2026-01,11.4868,92.8862
