Date,rate_HCA_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Volatility_Adjustment,Expected_Return
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-03-03,-2.02,4.16,-6.18,23.23,-19.61,2.05,2.7,0.0
2015-04-29,5.21,3.8,1.41,69.33,-16.82,5.87,1.83,-0.0
2015-06-25,25.3,3.4,21.9,100.0,7.58,21.9,1.52,0.02
2015-08-21,18.65,-2.77,21.42,83.56,-11.41,27.34,1.38,0.59
2015-10-19,0.93,0.19,0.74,26.13,-42.99,27.34,1.4,1.78
2015-12-15,-9.78,0.99,-10.77,5.32,-1.14,27.34,1.63,0.0
2016-02-12,-9.21,-8.03,-1.18,29.14,9.36,27.34,1.78,0.0
2016-04-12,9.66,1.51,8.15,52.32,12.87,27.34,1.83,0.02
2016-06-08,11.14,4.64,6.5,48.22,-4.8,27.34,1.84,0.03
2016-08-04,3.2,6.55,-3.35,23.75,-14.29,27.34,1.88,0.0
2016-09-30,3.68,6.55,-2.87,24.94,2.63,27.34,1.95,0.0
2016-11-28,-3.48,8.53,-12.01,2.24,-33.24,27.34,1.99,0.0
2017-01-26,9.98,12.65,-2.67,25.44,16.47,27.34,2.03,0.0
2017-03-24,17.6,14.65,2.95,39.4,-0.03,27.34,2.18,0.03
2017-05-22,12.25,17.16,-4.91,19.88,-9.46,27.34,2.22,0.0
2017-07-19,15.96,20.55,-4.59,20.67,1.56,27.34,1.63,0.0
2017-09-14,8.56,21.78,-13.22,7.23,3.48,27.34,1.75,0.0
2017-11-09,7.84,25.33,-17.49,10.87,10.87,27.34,1.76,0.0
2018-01-09,16.53,32.87,-16.34,14.97,-5.41,27.34,1.79,0.0
2018-03-08,38.13,32.18,5.95,58.36,4.2,27.34,1.85,-0.02
2018-05-04,31.22,27.87,3.35,53.3,-2.51,27.34,1.96,-0.02
2018-07-02,38.24,30.25,7.99,62.33,-0.29,27.34,2.0,-0.02
2018-08-28,73.99,38.61,35.38,93.54,-5.68,39.48,1.88,-0.0
2018-10-24,67.94,26.38,41.56,89.4,-10.6,49.34,2.42,0.0
2018-12-21,58.42,14.29,44.13,80.24,-12.48,60.92,2.1,0.01
2019-02-21,86.3,31.47,54.83,92.83,4.35,60.92,1.91,0.01
2019-04-18,50.32,36.81,13.51,44.19,-36.56,60.92,1.8,0.1
2019-06-17,66.35,36.1,30.25,63.9,4.95,60.92,1.7,0.33
2019-08-13,65.11,37.04,28.07,61.33,-14.2,60.92,1.55,0.83
2019-10-09,51.07,35.98,15.09,46.05,-15.9,60.92,1.46,3.35
2019-12-05,79.81,45.14,34.67,69.1,5.82,60.92,1.39,4.39
2020-02-04,83.47,52.49,30.98,64.76,-9.45,60.92,1.35,4.88
2020-04-01,6.11,13.74,-7.63,19.68,-40.08,60.92,1.36,0.0
2020-05-29,35.25,40.47,-5.22,22.51,-11.87,60.92,1.41,0.0
2020-07-27,58.11,48.57,9.54,40.56,37.81,60.92,1.52,1.94
2020-09-22,51.49,51.8,-0.31,29.16,-14.04,60.92,1.56,0.0
2020-11-17,91.27,64.37,26.9,60.64,14.78,60.92,1.46,1.74
2021-01-15,109.72,70.52,39.2,74.87,7.15,60.92,1.41,0.81
2021-03-16,129.12,78.86,50.26,87.33,13.95,61.25,1.42,0.83
2021-05-12,150.4,82.17,68.23,95.98,9.28,72.16,1.5,0.46
2021-07-09,166.55,94.62,71.93,96.15,4.82,75.83,1.6,0.26
2021-09-03,205.86,101.38,104.48,95.18,-1.36,111.07,1.56,0.32
2021-11-01,201.27,103.4,97.87,86.2,-4.53,117.62,1.51,0.78
2021-12-29,209.2,110.49,98.71,86.79,20.53,117.62,1.5,1.72
2022-02-25,200.82,91.86,108.96,93.95,18.02,117.62,1.43,0.99
2022-04-25,148.23,86.8,61.43,55.09,-30.69,132.3,1.34,9.39
2022-06-22,106.92,63.12,43.8,43.92,-15.57,132.3,1.28,27.45
2022-08-18,150.52,84.98,65.54,57.7,16.7,132.3,1.27,16.49
2022-10-14,133.33,53.85,79.48,66.53,1.8,132.3,1.24,17.67
2022-12-12,179.33,70.93,108.4,84.86,13.15,132.3,1.23,9.43
2023-02-09,192.87,73.66,119.21,91.71,-0.69,132.3,1.22,5.1
2023-04-10,207.73,73.97,133.76,99.25,9.15,134.97,1.21,5.42
2023-06-06,205.87,81.01,124.86,85.76,-8.33,149.83,1.22,11.52
2023-08-03,203.32,88.91,114.41,77.58,-17.26,154.85,1.23,11.88
2023-09-29,174.66,79.47,95.19,66.92,-14.36,154.85,1.23,23.91
2023-11-27,178.98,90.05,88.93,63.45,5.66,154.85,1.26,23.86
2024-01-25,215.43,103.14,112.29,76.4,5.61,154.85,1.27,12.01
2024-03-22,261.41,115.96,145.45,94.79,5.4,154.85,1.25,6.12
2024-05-20,253.66,118.46,135.2,89.11,1.56,154.85,1.22,12.93
2024-07-18,247.71,126.6,121.11,81.29,-12.59,154.85,1.18,18.32
2024-09-13,323.57,129.28,194.29,96.31,-1.97,202.7,1.16,9.87
2024-10-22,337.77,136.39,201.38,97.79,-0.41,206.51,1.15,10.36
