Date,rate_TJX_5D,rate_VOO_20D
2016-01,0.574,-3.28
2016-02,4.1958,-2.376
2016-03,8.5248,4.071
2016-04,3.2975,3.4463
2016-05,3.0686,4.5141
2016-06,4.0235,4.1644
2016-07,9.5412,7.3333
2016-08,3.1699,6.6525
2016-09,-0.7003,6.013
2016-10,-1.9469,3.6115
2016-11,4.7862,7.182
2016-12,0.226,8.8567
2017-01,-0.0977,10.0774
2017-02,4.9579,13.6125
2017-03,5.4819,12.8284
2017-04,4.6336,13.2286
2017-05,0.3328,14.0432
2017-06,-3.7722,13.9758
2017-07,-6.0116,15.5728
2017-08,-2.6838,15.1519
2017-09,-0.6541,16.7674
2017-10,-5.8777,18.6971
2017-11,2.5193,21.4906
2017-12,3.6548,22.1742
2018-01,8.6988,28.0253
2018-02,11.9754,22.3109
2018-03,10.0337,18.5822
2018-04,14.1313,18.439
2018-05,21.5246,20.6342
2018-06,27.291,20.8295
2018-07,29.1964,24.4195
2018-08,45.547,27.64
2018-09,46.8364,27.5571
2018-10,42.7228,18.148
2018-11,26.3991,19.8158
2018-12,15.1827,8.7803
2019-01,27.5255,17.0692
2019-02,31.3234,20.3898
2019-03,35.3607,22.1512
2019-04,38.7015,26.4471
2019-05,26.9206,17.8766
2019-06,32.7898,25.6026
2019-07,36.2181,26.8029
2019-08,37.0792,24.165
2019-09,38.2069,26.0707
2019-10,42.097,28.2682
2019-11,50.2582,32.2632
2019-12,49.0907,35.5066
2020-01,43.2081,34.7146
2020-02,44.6985,23.2206
2020-03,15.0378,7.5857
2020-04,17.8588,21.2139
2020-05,26.407,26.5664
2020-06,20.679,28.3643
2020-07,23.6749,35.3077
2020-08,29.8699,44.0007
2020-09,31.361,37.8818
2020-10,19.4332,33.7409
2020-11,48.7363,47.6567
2020-12,58.9918,52.3191
2021-01,48.2737,49.9619
2021-02,52.5789,53.2489
2021-03,52.0817,59.3139
2021-04,62.3349,66.7128
2021-05,54.1189,66.7978
2021-06,53.0475,69.5264
2021-07,55.3857,72.593
2021-08,63.9387,76.58
2021-09,47.9809,67.3306
2021-10,46.202,78.0118
2021-11,54.768,75.6346
2021-12,68.4791,82.5203
2022-01,58.8703,71.9304
2022-02,45.7875,65.8784
2022-03,33.1601,71.2418
2022-04,34.2504,55.3862
2022-05,39.4111,55.0693
2022-06,22.1334,41.677
2022-07,33.3883,54.0588
2022-08,36.1623,47.0803
2022-09,35.1781,33.1115
2022-10,56.2984,43.3799
2022-11,73.3703,50.707
2022-12,71.5443,41.5455
2023-01,75.5538,49.9054
2023-02,64.1142,45.6128
2023-03,67.1186,50.431
2023-04,67.3312,52.2262
2023-05,63.0152,52.3734
2023-06,79.1753,61.6123
2023-07,81.9701,66.208
2023-08,94.1973,62.8182
2023-09,85.6898,54.4786
2023-10,83.1113,50.5707
2023-11,83.0151,63.7242
2023-12,93.8855,70.5007
2024-01,95.1894,72.5028
2024-02,103.5167,80.6678
2024-03,107.1332,85.7322
2024-04,91.2335,77.499
2024-05,109.2774,85.5862
2024-06,122.2718,91.319
2024-07,126.9404,92.6342
2024-08,134.9406,96.3435
2024-09,134.1968,99.6776
2024-10,124.0311,96.8805
2024-11,148.5233,107.4927
2024-12,137.5732,101.7132
2025-01,144.0884,106.1747
2025-02,143.4636,102.6383
2025-03,136.4623,90.4787
2025-04,148.5028,88.1311
2025-05,144.6103,99.0692
2025-06,136.8053,108.4087
2025-07,137.594,112.1972
2025-08,160.0926,115.6241
2025-09,173.6949,122.2463
2025-10,163.9653,126.4867
2025-11,185.4207,125.9202
2025-12,187.0451,125.0582
2026-01,184.8226,126.4133
