Date,rate_APD_5D,rate_VOO_20D
2015-01,0.3898,-3.5197
2015-02,6.746,1.8044
2015-03,1.9013,-0.4337
2015-04,-3.9592,0.3137
2015-05,-1.7147,1.1276
2015-06,-7.6709,-1.1499
2015-07,-3.0012,0.7758
2015-08,-4.8105,-5.2144
2015-09,-11.4642,-6.8385
2015-10,-3.1859,1.456
2015-11,-4.3957,1.6267
2015-12,-8.0791,-0.222
2016-01,-9.8928,-4.5787
2016-02,-5.4029,-4.4957
2016-03,3.6642,2.1419
2016-04,4.6816,2.3064
2016-05,2.2198,3.8577
2016-06,2.1696,3.9516
2016-07,7.2323,7.5258
2016-08,11.2908,7.2904
2016-09,6.9798,6.9152
2016-10,2.9292,4.7071
2016-11,11.3215,8.3327
2016-12,11.0264,10.2273
2017-01,7.3934,11.6751
2017-02,7.5712,15.4735
2017-03,3.9805,15.0273
2017-04,7.8203,15.6585
2017-05,10.2242,16.7221
2017-06,9.8534,16.8703
2017-07,8.7672,18.6815
2017-08,10.7853,18.4357
2017-09,14.8202,20.2701
2017-10,21.3084,22.4385
2017-11,23.4227,25.4799
2017-12,24.2643,26.382
2018-01,26.815,32.6335
2018-02,18.0808,24.401
2018-03,15.8804,20.8199
2018-04,15.7616,19.9601
2018-05,14.7043,22.3447
2018-06,11.0335,22.6955
2018-07,16.734,26.4604
2018-08,17.8806,29.8718
2018-09,18.7597,29.9572
2018-10,11.2478,22.7067
2018-11,14.855,23.8107
2018-12,12.1176,12.3859
2019-01,14.8988,21.0019
2019-02,26.2611,24.492
2019-03,33.2201,26.3604
2019-04,42.8603,30.8943
2019-05,40.5737,22.1898
2019-06,56.1437,30.1362
2019-07,56.4137,31.4649
2019-08,53.8436,28.7871
2019-09,50.9222,30.8192
2019-10,44.282,33.1174
2019-11,59.0578,37.3445
2019-12,57.9668,40.7675
2020-01,59.4925,40.0464
2020-02,45.8326,28.1097
2020-03,33.0407,14.1258
2020-04,50.3158,28.8488
2020-05,60.2051,34.5177
2020-06,60.0653,36.4534
2020-07,88.8607,43.8611
2020-08,91.1921,53.1728
2020-09,94.3501,46.7108
2020-10,79.0209,42.3217
2020-11,80.288,57.1162
2020-12,75.6118,62.1532
2021-01,70.4842,59.6449
2021-02,62.482,63.1645
2021-03,78.829,69.6919
2021-04,82.292,77.68
2021-05,88.1878,77.8489
2021-06,80.5066,80.8455
2021-07,81.5705,84.2132
2021-08,67.2309,88.5531
2021-09,59.0558,78.7406
2021-10,85.3014,90.2577
2021-11,76.6903,87.7749
2021-12,86.9387,95.1983
2022-01,72.4374,83.9233
2022-02,43.9606,74.9471
2022-03,52.786,79.8863
2022-04,44.4465,68.9809
2022-05,50.5812,72.0347
2022-06,45.8436,51.9659
2022-07,52.1337,65.2912
2022-08,57.4168,61.4331
2022-09,52.418,55.0186
2022-10,56.6718,61.1847
2022-11,93.2752,69.3799
2022-12,93.2395,60.7615
2023-01,96.1568,68.1643
2023-02,72.9906,63.5066
2023-03,74.0603,67.5341
2023-04,77.6312,69.5109
2023-05,61.7269,69.6316
2023-06,80.3197,79.9299
2023-07,83.0275,85.0404
2023-08,74.9443,79.5624
2023-09,68.2195,70.329
2023-10,59.5527,65.9818
2023-11,46.7145,80.4767
2023-12,48.979,87.9484
2024-01,38.7223,84.9593
2024-02,26.7472,93.7564
2024-03,31.8991,99.2291
2024-04,26.0635,92.0909
2024-05,41.9746,97.5079
2024-06,41.0266,103.6455
2024-07,40.5971,101.9435
2024-08,48.1437,106.6686
2024-09,53.3072,104.1626
2024-10,51.6883,101.367
2024-11,55.954,106.0673
2024-12,42.8246,99.3439
2025-01,61.5267,100.1367
2025-02,49.4508,96.2248
2025-03,45.6053,89.8214
2025-04,30.5668,71.0184
