Date,rate_PL_5D,rate_VOO_20D
2021-04,0.0,-0.1053
2021-05,-0.6403,-3.3954
2021-06,-1.3579,-1.0145
2021-07,-0.642,1.7588
2021-08,-0.2011,5.277
2021-09,-0.2187,-2.0975
2021-10,1.8636,4.9732
2021-11,1.1418,2.8352
2021-12,-12.9093,5.8144
2022-01,-12.0591,-2.8056
2022-02,-21.7564,-10.0206
2022-03,-29.1984,-6.0297
2022-04,-32.6436,-13.9199
2022-05,-14.527,-12.6469
2022-06,-31.7921,-26.0312
2022-07,-18.5576,-15.8916
2022-08,-13.1842,-17.6795
2022-09,-12.6427,-20.2321
2022-10,-19.6644,-14.4803
2022-11,-16.4733,-7.8897
2022-12,-24.6212,-13.8557
2023-01,-19.2957,-8.0567
2023-02,-25.5446,-11.5521
2023-03,-30.5727,-7.9869
2023-04,-25.4351,-6.2695
2023-05,-17.4879,-6.0213
2023-06,-41.8752,2.2281
2023-07,-31.685,6.3796
2023-08,-39.6687,2.1453
2023-09,-48.1062,-5.0224
2023-10,-54.176,-8.3476
2023-11,-46.6591,3.2901
2023-12,-48.4341,9.3555
2024-01,-50.1845,5.8593
2024-02,-51.1511,12.9144
2024-03,-42.6644,17.3473
2024-04,-52.6745,11.6601
2024-05,-50.9427,16.006
2024-06,-55.2971,20.9682
2024-07,-41.4241,20.0806
2024-08,-44.6906,23.0338
2024-09,-50.5057,22.1474
2024-10,-49.7985,20.0255
2024-11,-15.6229,28.7916
2024-12,-16.0455,23.6493
2025-01,-10.722,24.4693
2025-02,-13.3973,23.2195
2025-03,-29.3986,18.0865
2025-04,-28.9339,14.019
2025-05,-16.4769,23.1676
2025-06,18.0108,30.9736
2025-07,17.5414,34.2403
2025-08,18.8359,37.1797
2025-09,63.8992,42.7454
2025-10,80.4328,46.3612
2025-11,76.0766,41.8297
2025-12,107.9238,41.0847
2026-01,191.6386,42.4719
